*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.608e-01  1.608e-01  7.389e+00  1.061e-07  1.000e-09  1.000e-09  0.5000  7.854e-01  0.000e+00  6.604e+00 -2.480e-01 -1.608e-01 -2.480e-01 -1.608e-01
   1  1.867e-01  1.867e-01  1.217e+01  1.095e-01  1.000e-09  1.000e-09  0.5000  3.927e-01  0.000e+00  1.177e+01 -1.911e-02 -2.590e-02 -1.911e-02 -2.590e-02
   2  1.354e-01  1.651e-01  4.997e+00  1.634e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  4.997e+00  5.074e-02  5.134e-02  9.345e-02  9.405e-02
   3  1.351e-01  1.489e-01  4.630e+00  8.064e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  4.630e+00  1.672e-03  2.263e-04  2.765e-03  1.320e-03
   4  1.296e-01  1.480e-01  5.858e+00  8.290e-02  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  5.858e+00  1.021e-02  5.565e-03  6.339e-03  1.698e-03
   5  1.269e-01  1.315e-01  2.916e+00  3.954e-02  1.000e-07  1.000e-07  0.5000  2.070e-17  0.000e+00  2.916e+00  5.015e-04  2.665e-03  2.818e-03  7.298e-03
   6  1.445e-01  1.463e-01  2.281e+00  1.468e-02  1.000e-06  1.000e-06  0.2500  2.646e-17  0.000e+00  2.281e+00 -1.914e-02 -1.754e-02 -1.901e-02 -1.704e-02
   7  1.479e-01  1.483e-01  1.132e+00  3.082e-02  2.000e-07  2.000e-07  0.5000  1.879e-17  0.000e+00  1.132e+00 -5.856e-03 -3.399e-03 -5.630e-03 -2.947e-03
   8  1.767e-01  1.769e-01  9.199e-01  3.786e-02  2.000e-06  2.000e-06  0.2500  2.413e-17  0.000e+00  9.199e-01 -3.083e-02 -2.887e-02 -3.082e-02 -2.883e-02
   9  3.224e-01  3.232e-01  7.213e+00  2.804e-02  4.000e-07  4.000e-07  1.0000  0.000e+00  0.000e+00  7.213e+00 -1.874e-01 -1.457e-01 -1.880e-01 -1.463e-01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  3.144e-01  3.174e-01  1.960e+00  2.592e-02  8.000e-08  8.000e-08  1.0000  0.000e+00  0.000e+00  1.960e+00  7.690e-03  8.054e-03  1.569e-02  1.605e-02
  11  2.450e-01  2.876e-01  8.950e-01  9.759e-02  1.600e-08  1.600e-08  1.0000  0.000e+00  0.000e+00  8.950e-01  6.538e-02  6.941e-02  1.161e-01  1.202e-01
  12  1.934e-01  3.146e-01  1.470e+00  8.975e-02  3.200e-09  3.200e-09  1.0000  0.000e+00  0.000e+00  1.470e+00  5.167e-02  5.154e-02  4.282e-03  4.155e-03
  13  1.699e-01  2.043e-01  8.339e-01  6.226e-02  1.000e-09  1.000e-09  0.5000  3.221e-17  0.000e+00  8.339e-01  2.188e-02  2.349e-02  3.499e-02  4.970e-02
  14  2.007e-01  2.152e-01  7.036e-01  1.687e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  7.036e-01 -3.080e-02 -3.076e-02 -2.812e-02 -2.807e-02
  15  1.897e-01  1.961e-01  4.080e-01  3.418e-02  1.000e-09  1.000e-09  0.5000  2.786e-17  0.000e+00  4.080e-01  1.048e-02  1.098e-02  1.280e-02  1.563e-02
  16  1.865e-01  1.907e-01  4.355e-01  1.760e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  4.355e-01  2.764e-03  3.254e-03  2.497e-03  2.988e-03
  17  1.604e-01  2.364e-01  6.226e-01  6.432e-02  1.000e-08  1.000e-08  0.5000  2.148e-17  0.000e+00  6.226e-01  2.539e-02  2.610e-02  1.396e-02  3.247e-03
  18  1.780e-01  2.171e-01  6.397e-01  2.857e-03  2.000e-09  2.000e-09  1.0000  0.000e+00  0.000e+00  6.397e-01 -1.830e-02 -1.766e-02 -1.934e-02 -1.870e-02
  19  1.398e-01  1.918e-01  4.352e-01  9.896e-02  1.000e-09  1.000e-09  0.5000  2.173e-17  0.000e+00  4.352e-01  3.811e-02  3.822e-02  5.032e-02  6.264e-02
