*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  2.594e+02  4.691e+02  4.415e+00  5.158e+02  1.000e-09  1.000e-09  0.0625  1.048e+00  0.000e+00  3.367e+00  3.069e+01  2.993e+01  2.831e+01 -8.171e+00
   1  2.465e+02  5.241e+02  4.284e+00  4.559e+02  1.000e-09  1.000e-09  0.0312  1.025e+00  0.000e+00  3.258e+00  1.400e+01  1.290e+01  1.427e+01  2.144e+01
   2  2.467e+02  4.927e+02  4.214e+00  4.107e+02  1.000e-09  1.000e-09  0.0156  1.008e+00  0.000e+00  3.207e+00  6.359e+00 -1.501e-01  6.423e+00  3.898e+00
   3  2.573e+02  4.832e+02  3.856e+00  4.115e+02  1.000e-09  1.000e-09  0.0625  8.527e-01  0.000e+00  3.004e+00  2.479e+01 -1.066e+01  2.610e+01  1.031e+01
   4  2.299e+02  4.901e+02  3.510e+00  4.587e+02  1.000e-09  1.000e-09  0.0625  6.944e-01  0.000e+00  2.815e+00  2.766e+01  2.740e+01  2.927e+01  5.308e+01
   5  2.172e+02  4.509e+02  3.221e+00  4.106e+02  1.000e-09  1.000e-09  0.0625  5.829e-01  0.000e+00  2.638e+00  2.476e+01  1.277e+01  2.607e+01  3.376e+01
   6  2.071e+02  4.346e+02  3.105e+00  3.830e+02  1.000e-09  1.000e-09  0.0312  5.497e-01  0.000e+00  2.555e+00  1.176e+01  1.003e+01  1.202e+01  1.853e+01
   7  2.026e+02  4.090e+02  3.067e+00  3.559e+02  1.000e-09  1.000e-09  0.0156  5.519e-01  0.000e+00  2.515e+00  5.509e+00  4.516e+00  5.549e+00  7.061e+00
   8  2.033e+02  4.038e+02  3.046e+00  3.457e+02  1.000e-09  1.000e-09  0.0078  5.510e-01  0.000e+00  2.495e+00  2.688e+00 -6.497e-01  2.699e+00  7.031e-01
   9  1.991e+02  3.974e+02  3.013e+00  3.457e+02  1.000e-09  1.000e-09  0.0156  5.563e-01  0.000e+00  2.456e+00  5.352e+00  4.155e+00  5.386e+00  6.376e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.979e+02  3.915e+02  3.002e+00  3.363e+02  1.000e-09  1.000e-09  0.0039  5.549e-01  0.000e+00  2.447e+00  1.311e+00  1.240e+00  1.314e+00  1.947e+00
  11  1.980e+02  3.904e+02  2.996e+00  3.339e+02  1.000e-09  1.000e-09  0.0020  5.540e-01  0.000e+00  2.442e+00  6.513e-01 -1.753e-01  6.520e-01  1.883e-01
  12  1.933e+02  3.817e+02  2.955e+00  3.335e+02  1.000e-09  1.000e-09  0.0312  5.890e-01  0.000e+00  2.366e+00  1.023e+01  4.705e+00  1.031e+01  7.341e+00
  13  1.911e+02  3.802e+02  2.934e+00  3.257e+02  1.000e-09  1.000e-09  0.0078  5.866e-01  0.000e+00  2.347e+00  2.532e+00  2.249e+00  2.543e+00  3.598e+00
  14  1.912e+02  3.774e+02  2.928e+00  3.206e+02  1.000e-09  1.000e-09  0.0020  5.856e-01  0.000e+00  2.343e+00  6.254e-01 -9.620e-02  6.261e-01  2.597e-01
  15  1.872e+02  3.707e+02  2.891e+00  3.205e+02  1.000e-09  1.000e-09  0.0156  5.849e-01  0.000e+00  2.306e+00  4.961e+00  4.032e+00  4.998e+00  6.393e+00
  16  1.855e+02  3.653e+02  2.870e+00  3.121e+02  1.000e-09  1.000e-09  0.0078  5.822e-01  0.000e+00  2.288e+00  2.427e+00  1.690e+00  2.437e+00  2.991e+00
  17  1.797e+02  3.546e+02  2.808e+00  3.083e+02  1.000e-09  1.000e-09  0.0312  5.915e-01  0.000e+00  2.217e+00  9.457e+00  5.797e+00  9.578e+00  9.668e+00
  18  1.797e+02  3.546e+02  2.808e+00  2.963e+02  1.000e-09  1.000e-09  0.0020  5.915e-01  0.000e+00  2.217e+00  5.781e-01 -7.101e-01  5.787e-01 -3.764e-01
  19  1.797e+02  3.546e+02  2.808e+00  2.963e+02  1.000e-08  1.000e-08  0.0020  5.915e-01  0.000e+00  2.217e+00  5.780e-01 -7.083e-01  5.787e-01 -3.745e-01
