iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  2.352e+03  2.352e+03  1.881e+00  8.812e+03  1.000e-03  1.000e-03  0.2500  0.000e+00  0.000e+00  0.000e+00  1.929e+03  2.090e+03  1.929e+03  2.090e+03
   1  1.780e+03  1.780e+03  1.314e+00  4.675e+03  2.000e-04  2.000e-04  0.1250  3.036e-18  0.000e+00  0.000e+00  5.479e+02  5.717e+02  5.479e+02  5.717e+02
   2  1.015e+03  1.015e+03  1.739e+00  3.529e+03  2.000e-04  2.000e-04  0.2500  4.163e-17  0.000e+00  0.000e+00  7.723e+02  7.647e+02  7.723e+02  7.647e+02
   3  7.841e+02  7.841e+02  1.280e+00  2.007e+03  4.000e-05  4.000e-05  0.1250  4.857e-17  0.000e+00  0.000e+00  2.352e+02  2.313e+02  2.352e+02  2.313e+02
   4  6.084e+02  6.084e+02  1.273e+00  1.549e+03  4.000e-05  4.000e-05  0.1250  4.848e-17  0.000e+00  0.000e+00  1.815e+02  1.757e+02  1.815e+02  1.757e+02
   5  4.781e+02  4.781e+02  1.252e+00  1.197e+03  4.000e-05  4.000e-05  0.1250  4.843e-17  0.000e+00  0.000e+00  1.403e+02  1.303e+02  1.403e+02  1.303e+02
   6  3.814e+02  3.814e+02  1.233e+00  9.415e+02  4.000e-05  4.000e-05  0.1250  4.838e-17  0.000e+00  0.000e+00  1.103e+02  9.676e+01  1.103e+02  9.676e+01
   7  2.980e+02  2.980e+02  1.253e+00  7.476e+02  4.000e-05  4.000e-05  0.1250  4.845e-17  0.000e+00  0.000e+00  8.762e+01  8.337e+01  8.762e+01  8.337e+01
   8  1.815e+02  1.815e+02  1.600e+00  5.827e+02  4.000e-05  4.000e-05  0.2500  3.112e-17  0.000e+00  0.000e+00  1.275e+02  1.165e+02  1.275e+02  1.165e+02
   9  1.498e+02  1.498e+02  1.175e+00  3.539e+02  8.000e-06  8.000e-06  0.1250  2.424e-17  0.000e+00  0.000e+00  4.148e+01  3.168e+01  4.148e+01  3.168e+01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.180e+02  1.180e+02  1.220e+00  2.899e+02  8.000e-06  8.000e-06  0.2500  2.079e-17  0.000e+00  0.000e+00  6.343e+01  3.180e+01  6.343e+01  3.180e+01
  11  1.012e+02  1.012e+02  1.112e+00  2.271e+02  1.600e-06  1.600e-06  0.2500  2.081e-17  0.000e+00  0.000e+00  4.969e+01  1.681e+01  4.969e+01  1.681e+01
  12  6.538e+01  6.538e+01  1.460e+00  1.938e+02  3.200e-07  3.200e-07  0.2500  2.082e-17  0.000e+00  0.000e+00  4.239e+01  3.579e+01  4.239e+01  3.579e+01
  13  4.212e+01  4.212e+01  1.418e+00  1.223e+02  6.400e-08  6.400e-08  0.2500  5.204e-18  0.000e+00  0.000e+00  2.676e+01  2.326e+01  2.676e+01  2.326e+01
  14  1.559e+01  1.559e+01  2.285e+00  7.580e+01  1.280e-08  1.280e-08  0.5000  1.388e-17  0.000e+00  0.000e+00  2.842e+01  2.653e+01  2.842e+01  2.653e+01
  15  1.147e+01  1.147e+01  9.595e-01  2.393e+01  2.560e-09  2.560e-09  0.2500  5.204e-18  0.000e+00  0.000e+00  5.235e+00  4.117e+00  5.235e+00  4.117e+00
  16  6.958e+00  6.958e+00  9.885e-01  1.573e+01  1.000e-09  1.000e-09  0.5000  6.939e-18  0.000e+00  0.000e+00  5.900e+00  4.513e+00  5.900e+00  4.513e+00
  17  4.359e+00  4.359e+00  6.274e-01  6.725e+00  1.000e-09  1.000e-09  0.5000  6.939e-18  0.000e+00  0.000e+00  2.522e+00  2.599e+00  2.522e+00  2.599e+00
  18  3.869e+00  3.869e+00  1.577e-01  1.536e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  7.679e-01  4.906e-01  7.679e-01  4.906e-01
  19  3.600e+00  3.600e+00  6.114e-02  5.625e-01  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  0.000e+00  2.813e-01  2.686e-01  2.813e-01  2.686e-01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  3.583e+00  3.583e+00  3.994e-03  3.660e-02  1.000e-07  1.000e-07  1.0000  0.000e+00  0.000e+00  0.000e+00  1.830e-02  1.748e-02  1.830e-02  1.748e-02
