*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  7.291e+04  3.135e+05  2.248e+00  1.550e+05  1.000e-09  1.000e-09  0.0625  2.248e+00  0.000e+00  0.000e+00  9.384e+03  6.731e+03  1.281e+03 -1.229e+05
   1  6.733e+04  2.260e+05  2.965e+00  1.443e+05  1.000e-09  1.000e-09  0.1250  2.965e+00  0.000e+00  0.000e+00  1.691e+04  5.582e+03  1.212e+04 -3.276e+04
   2  5.282e+04  1.510e+05  3.069e+00  1.331e+05  1.000e-09  1.000e-09  0.1250  3.069e+00  0.000e+00  0.000e+00  1.559e+04  1.452e+04  1.518e+04  1.119e+04
   3  5.124e+04  1.249e+05  3.066e+00  1.035e+05  1.000e-09  1.000e-09  0.0312  3.066e+00  0.000e+00  0.000e+00  3.183e+03  1.582e+03  3.185e+03  1.636e+03
   4  4.968e+04  1.206e+05  3.059e+00  9.995e+04  1.000e-09  1.000e-09  0.0312  3.059e+00  0.000e+00  0.000e+00  3.074e+03  1.556e+03  3.080e+03  1.730e+03
   5  4.883e+04  1.168e+05  3.003e+00  9.714e+04  1.000e-09  1.000e-09  0.0312  3.003e+00  0.000e+00  0.000e+00  2.988e+03  8.525e+02  3.028e+03  2.116e+03
   6  5.081e+04  1.162e+05  2.880e+00  9.562e+04  1.000e-09  1.000e-09  0.0625  2.880e+00  0.000e+00  0.000e+00  5.789e+03 -1.978e+03  5.964e+03  8.233e+02
   7  4.953e+04  1.190e+05  2.806e+00  9.991e+04  1.000e-09  1.000e-09  0.0312  2.806e+00  0.000e+00  0.000e+00  3.073e+03  1.275e+03  3.130e+03  3.098e+03
   8  4.793e+04  1.157e+05  2.735e+00  9.750e+04  1.000e-09  1.000e-09  0.0312  2.735e+00  0.000e+00  0.000e+00  2.999e+03  1.600e+03  3.054e+03  3.365e+03
   9  4.652e+04  1.119e+05  2.656e+00  9.441e+04  1.000e-09  1.000e-09  0.0312  2.656e+00  0.000e+00  0.000e+00  2.904e+03  1.410e+03  2.965e+03  3.360e+03
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  4.577e+04  1.078e+05  2.517e+00  9.167e+04  1.000e-09  1.000e-09  0.0625  2.517e+00  0.000e+00  0.000e+00  5.550e+03  7.483e+02  5.763e+03  4.156e+03
  11  4.675e+04  1.091e+05  2.434e+00  9.032e+04  1.000e-09  1.000e-09  0.0312  2.434e+00  0.000e+00  0.000e+00  2.778e+03 -9.755e+02  2.845e+03  1.155e+03
  12  4.687e+04  1.106e+05  2.353e+00  9.230e+04  1.000e-09  1.000e-09  0.0312  2.353e+00  0.000e+00  0.000e+00  2.839e+03 -1.241e+02  2.908e+03  2.076e+03
  13  4.462e+04  1.055e+05  2.168e+00  9.253e+04  1.000e-09  1.000e-09  0.0625  2.168e+00  0.000e+00  0.000e+00  5.603e+03  2.252e+03  5.926e+03  7.434e+03
  14  4.916e+04  1.064e+05  1.972e+00  8.815e+04  1.000e-09  1.000e-09  0.0625  1.972e+00  0.000e+00  0.000e+00  5.337e+03 -4.543e+03  5.693e+03  1.149e+03
  15  4.467e+04  1.087e+05  1.816e+00  9.731e+04  1.000e-09  1.000e-09  0.1250  1.816e+00  0.000e+00  0.000e+00  1.140e+04  4.493e+03  1.209e+04  9.985e+03
  16  4.431e+04  1.066e+05  1.789e+00  8.852e+04  1.000e-09  1.000e-09  0.0156  1.789e+00  0.000e+00  0.000e+00  1.372e+03  3.574e+02  1.387e+03  1.308e+03
  17  3.999e+04  9.842e+04  1.668e+00  8.777e+04  1.000e-09  1.000e-09  0.1250  1.668e+00  0.000e+00  0.000e+00  1.029e+04  4.319e+03  1.082e+04  8.570e+03
  18  3.905e+04  9.431e+04  1.628e+00  7.924e+04  1.000e-09  1.000e-09  0.0312  1.628e+00  0.000e+00  0.000e+00  2.438e+03  9.458e+02  2.479e+03  2.276e+03
  19  3.143e+04  1.029e+05  2.107e+00  7.735e+04  1.000e-09  1.000e-09  0.1250  2.107e+00  0.000e+00  0.000e+00  9.065e+03  7.617e+03  7.034e+03 -8.629e+03
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  2.939e+04  7.364e+04  2.100e+00  6.218e+04  1.000e-09  1.000e-09  0.0625  2.100e+00  0.000e+00  0.000e+00  3.765e+03  2.045e+03  3.774e+03  2.193e+03
  21  3.088e+04  6.613e+04  1.784e+00  5.812e+04  1.000e-09  1.000e-09  0.2500  1.784e+00  0.000e+00  0.000e+00  1.271e+04 -1.493e+03  1.428e+04  4.763e+03
  22  2.981e+04  7.554e+04  1.866e+00  6.121e+04  1.000e-09  1.000e-09  0.1250  1.866e+00  0.000e+00  0.000e+00  7.173e+03  1.071e+03  6.922e+03 -9.383e+02
  23  2.084e+04  5.422e+04  1.475e+00  5.910e+04  1.000e-09  1.000e-09  0.2500  1.475e+00  0.000e+00  0.000e+00  1.293e+04  8.964e+03  1.514e+04  1.780e+04
  24  2.028e+04  4.637e+04  1.307e+00  4.122e+04  1.000e-09  1.000e-09  0.1250  1.307e+00  0.000e+00  0.000e+00  4.830e+03  5.657e+02  5.249e+03  3.918e+03
  25  1.647e+04  4.537e+04  1.319e+00  4.009e+04  1.000e-09  1.000e-09  0.5000  1.319e+00  0.000e+00  0.000e+00  1.504e+04  3.812e+03  1.490e+04  3.548e+03
  26  1.173e+04  3.003e+04  1.386e+00  3.252e+04  1.000e-09  1.000e-09  0.2500  1.039e+00  0.000e+00  0.000e+00  7.113e+03  4.738e+03  8.345e+03  9.664e+03
