*** double-pendulum inertial parameter estimation (fwddyn) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  2.682e-06  2.682e-06  2.089e+00  0.000e+00  1.000e-09  1.000e-09  0.0625  2.089e+00  0.000e+00  0.000e+00 -7.144e-07 -2.682e-06 -7.144e-07 -2.682e-06
   1  9.706e-06  9.706e-06  1.959e+00  1.723e-05  1.000e-09  1.000e-09  0.0625  1.959e+00  0.000e+00  0.000e+00 -1.709e-06 -7.025e-06 -1.709e-06 -7.025e-06
   2  1.975e-05  1.975e-05  1.836e+00  2.497e-05  1.000e-09  1.000e-09  0.0625  1.836e+00  0.000e+00  0.000e+00 -2.155e-06 -1.004e-05 -2.155e-06 -1.004e-05
   3  3.172e-05  3.172e-05  1.722e+00  2.678e-05  1.000e-09  1.000e-09  0.0625  1.722e+00  0.000e+00  0.000e+00 -2.256e-06 -1.197e-05 -2.256e-06 -1.197e-05
   4  4.475e-05  4.475e-05  1.614e+00  2.519e-05  1.000e-09  1.000e-09  0.0625  1.614e+00  0.000e+00  0.000e+00 -2.159e-06 -1.303e-05 -2.159e-06 -1.303e-05
   5  5.819e-05  5.819e-05  1.513e+00  2.202e-05  1.000e-09  1.000e-09  0.0625  1.513e+00  0.000e+00  0.000e+00 -1.967e-06 -1.344e-05 -1.967e-06 -1.344e-05
   6  7.154e-05  7.154e-05  1.419e+00  1.850e-05  1.000e-09  1.000e-09  0.0625  1.419e+00  0.000e+00  0.000e+00 -1.753e-06 -1.336e-05 -1.753e-06 -1.336e-05
   7  7.497e-05  7.497e-05  1.374e+00  1.542e-05  1.000e-09  1.000e-09  0.0312  1.374e+00  0.000e+00  0.000e+00 -6.321e-07 -3.428e-06 -6.321e-07 -3.428e-06
   8  8.766e-05  8.766e-05  1.288e+00  2.026e-05  1.000e-09  1.000e-09  0.0625  1.288e+00  0.000e+00  0.000e+00 -1.855e-06 -1.269e-05 -1.855e-06 -1.269e-05
   9  9.973e-05  9.973e-05  1.208e+00  1.861e-05  1.000e-09  1.000e-09  0.0625  1.208e+00  0.000e+00  0.000e+00 -1.749e-06 -1.206e-05 -1.749e-06 -1.206e-05
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.111e-04  1.111e-04  1.132e+00  1.806e-05  1.000e-09  1.000e-09  0.0625  1.132e+00  0.000e+00  0.000e+00 -1.707e-06 -1.135e-05 -1.707e-06 -1.135e-05
  11  1.217e-04  1.217e-04  1.062e+00  1.862e-05  1.000e-09  1.000e-09  0.0625  1.062e+00  0.000e+00  0.000e+00 -1.730e-06 -1.062e-05 -1.730e-06 -1.062e-05
  12  1.316e-04  1.316e-04  9.952e-01  2.021e-05  1.000e-09  1.000e-09  0.0625  9.952e-01  0.000e+00  0.000e+00 -1.812e-06 -9.907e-06 -1.812e-06 -9.907e-06
  13  1.667e-04  1.667e-04  8.708e-01  2.267e-05  1.000e-09  1.000e-09  0.1250  8.708e-01  0.000e+00  0.000e+00 -4.950e-06 -3.509e-05 -4.950e-06 -3.509e-05
  14  1.667e-04  1.667e-04  8.708e-01  3.583e-06  1.000e-09  1.000e-09  0.0020  8.708e-01  0.000e+00  0.000e+00  6.465e-09 -1.138e-10  6.465e-09 -1.138e-10
  15  1.667e-04  1.667e-04  8.708e-01  3.582e-06  1.000e-08  1.000e-08  0.0020  8.708e-01  0.000e+00  0.000e+00  6.465e-09 -1.140e-10  6.465e-09 -1.140e-10
  16  1.667e-04  1.667e-04  8.708e-01  3.581e-06  1.000e-07  1.000e-07  0.0020  8.708e-01  0.000e+00  0.000e+00  6.463e-09 -1.160e-10  6.463e-09 -1.160e-10
  17  1.667e-04  1.667e-04  8.708e-01  3.571e-06  1.000e-06  1.000e-06  0.0020  8.708e-01  0.000e+00  0.000e+00  6.443e-09 -1.361e-10  6.443e-09 -1.361e-10
  18  1.667e-04  1.667e-04  8.708e-01  3.468e-06  1.000e-05  1.000e-05  0.0020  8.708e-01  0.000e+00  0.000e+00  6.241e-09 -3.372e-10  6.241e-09 -3.372e-10
  19  1.667e-04  1.667e-04  8.708e-01  2.441e-06  1.000e-04  1.000e-04  0.0020  8.708e-01  0.000e+00  0.000e+00  4.240e-09 -2.331e-09  4.240e-09 -2.331e-09
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  1.741e-04  1.741e-04  8.164e-01  7.008e-06  1.000e-03  1.000e-03  0.0625  8.164e-01  0.000e+00  0.000e+00 -9.429e-07 -7.370e-06 -9.429e-07 -7.370e-06
  21  2.001e-04  2.001e-04  7.143e-01  1.209e-05  1.000e-03  1.000e-03  0.1250  7.143e-01  0.000e+00  0.000e+00 -3.418e-06 -2.605e-05 -3.418e-06 -2.605e-05
  22  2.001e-04  2.001e-04  7.143e-01  7.969e-08  1.000e-03  1.000e-03  0.0020  7.143e-01  0.000e+00  0.000e+00 -2.923e-10 -5.007e-09 -2.923e-10 -5.007e-09
  23  2.953e-04  2.953e-04  5.357e-01  5.397e-05  1.000e-02  1.000e-02  0.2500  5.357e-01  0.000e+00  0.000e+00 -1.836e-05 -9.517e-05 -1.836e-05 -9.517e-05
  24  5.939e-04  5.939e-04  2.679e-01  9.046e-05  1.000e-01  1.000e-01  0.5000  2.679e-01  0.000e+00  0.000e+00 -5.597e-05 -2.986e-04 -5.597e-05 -2.986e-04
  25  7.107e-04  7.107e-04  1.339e-01  3.533e-05  1.000e+00  1.000e+00  0.5000  1.339e-01  0.000e+00  0.000e+00 -2.428e-05 -1.168e-04 -2.428e-05 -1.168e-04
  26  9.136e-04  9.136e-04  7.734e-05  7.029e-05  1.000e+01  1.000e+01  1.0000  0.000e+00  0.000e+00  0.000e+00 -7.741e-05 -2.029e-04 -7.741e-05 -2.029e-04
  27  9.093e-04  9.093e-04  4.241e-06  4.264e-06  1.000e+02  1.000e+02  1.0000  0.000e+00  0.000e+00  0.000e+00  4.244e-06  4.244e-06  4.244e-06  4.244e-06
  28  9.089e-04  9.089e-04  4.216e-07  4.221e-07  1.000e+03  1.000e+03  1.0000  0.000e+00  0.000e+00  0.000e+00  4.219e-07  4.219e-07  4.219e-07  4.219e-07
  29  9.089e-04  9.089e-04  4.213e-08  4.217e-08  1.000e+04  1.000e+04  1.0000  0.000e+00  0.000e+00  0.000e+00  4.217e-08  4.217e-08  4.217e-08  4.217e-08
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
