*** quadrotor inertial parameter estimation (fwddyn) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.389e-06  1.389e-06  1.869e+00  0.000e+00  1.000e-09  1.000e-09  0.0625  1.869e+00  0.000e+00  0.000e+00 -3.678e-07 -1.389e-06 -3.678e-07 -1.389e-06
   1  4.846e-06  4.846e-06  1.752e+00  9.415e-06  1.000e-09  1.000e-09  0.0625  1.752e+00  0.000e+00  0.000e+00 -9.273e-07 -3.457e-06 -9.273e-07 -3.457e-06
   2  2.877e-05  2.877e-05  1.533e+00  1.451e-05  1.000e-09  1.000e-09  0.1250  1.533e+00  0.000e+00  0.000e+00 -3.085e-06 -2.393e-05 -3.085e-06 -2.393e-05
   3  2.876e-05  2.876e-05  1.527e+00  9.130e-06  1.000e-09  1.000e-09  0.0039  1.527e+00  0.000e+00  0.000e+00  3.434e-08  9.934e-09  3.434e-08  9.934e-09
   4  2.875e-05  2.875e-05  1.521e+00  8.430e-06  1.000e-09  1.000e-09  0.0039  1.521e+00  0.000e+00  0.000e+00  3.162e-08  7.454e-09  3.162e-08  7.454e-09
   5  2.875e-05  2.875e-05  1.515e+00  7.737e-06  1.000e-09  1.000e-09  0.0039  1.515e+00  0.000e+00  0.000e+00  2.891e-08  4.996e-09  2.891e-08  4.996e-09
   6  2.875e-05  2.875e-05  1.509e+00  7.049e-06  1.000e-09  1.000e-09  0.0039  1.509e+00  0.000e+00  0.000e+00  2.623e-08  2.559e-09  2.623e-08  2.559e-09
   7  2.875e-05  2.875e-05  1.504e+00  6.367e-06  1.000e-09  1.000e-09  0.0039  1.504e+00  0.000e+00  0.000e+00  2.358e-08  1.433e-10  2.358e-08  1.433e-10
   8  2.874e-05  2.874e-05  1.501e+00  5.692e-06  1.000e-09  1.000e-09  0.0020  1.501e+00  0.000e+00  0.000e+00  1.080e-08  4.985e-09  1.080e-08  4.985e-09
   9  2.874e-05  2.874e-05  1.498e+00  5.345e-06  1.000e-09  1.000e-09  0.0020  1.498e+00  0.000e+00  0.000e+00  1.012e-08  4.339e-09  1.012e-08  4.339e-09
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  2.873e-05  2.873e-05  1.495e+00  5.000e-06  1.000e-09  1.000e-09  0.0020  1.495e+00  0.000e+00  0.000e+00  9.446e-09  3.695e-09  9.446e-09  3.695e-09
  11  2.873e-05  2.873e-05  1.492e+00  4.656e-06  1.000e-09  1.000e-09  0.0020  1.492e+00  0.000e+00  0.000e+00  8.776e-09  3.055e-09  8.776e-09  3.055e-09
  12  2.873e-05  2.873e-05  1.489e+00  4.314e-06  1.000e-09  1.000e-09  0.0020  1.489e+00  0.000e+00  0.000e+00  8.109e-09  2.418e-09  8.109e-09  2.418e-09
  13  2.873e-05  2.873e-05  1.486e+00  3.974e-06  1.000e-09  1.000e-09  0.0020  1.486e+00  0.000e+00  0.000e+00  7.445e-09  1.784e-09  7.445e-09  1.784e-09
  14  2.873e-05  2.873e-05  1.483e+00  3.635e-06  1.000e-09  1.000e-09  0.0020  1.483e+00  0.000e+00  0.000e+00  6.785e-09  1.152e-09  6.785e-09  1.152e-09
  15  2.872e-05  2.872e-05  1.480e+00  3.298e-06  1.000e-09  1.000e-09  0.0020  1.480e+00  0.000e+00  0.000e+00  6.127e-09  5.236e-10  6.127e-09  5.236e-10
