*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  5.846e+00  5.846e+00  1.184e+00  3.066e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.184e+00 -5.774e+00 -5.779e+00 -5.774e+00 -5.779e+00
   1  3.757e+00  4.217e+00  4.381e-01  4.134e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.830e-01  2.084e+00  2.089e+00  4.602e+00  4.606e+00
   2  3.839e+00  3.896e+00  4.591e-02  2.875e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  4.591e-02 -8.417e-02 -8.156e-02  8.819e-02  9.080e-02
   3  3.764e+00  3.769e+00  1.565e-02  9.134e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.265e-03  7.458e-02  7.458e-02  1.759e-01  1.759e-01
   4  3.758e+00  3.759e+00  1.245e-03  7.396e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.375e-04  5.921e-03  5.928e-03  1.387e-02  1.387e-02
   5  3.758e+00  3.758e+00  6.907e-05  3.930e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  5.729e-06  3.286e-04  3.289e-04  7.785e-04  7.788e-04
   6  3.758e+00  3.758e+00  3.514e-06  1.985e-05  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  2.877e-07  1.672e-05  1.673e-05  3.940e-05  3.942e-05
   7  3.758e+00  3.758e+00  1.780e-07  1.005e-06  1.000e-07  1.000e-07  1.0000  0.000e+00  0.000e+00  1.436e-08  8.470e-07  8.477e-07  1.997e-06  1.997e-06
   8  3.758e+00  3.758e+00  9.040e-09  5.105e-08  1.000e-06  1.000e-06  1.0000  0.000e+00  0.000e+00  7.302e-10  4.301e-08  4.304e-08  1.004e-07  1.004e-07
*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  5.846e+00  8.338e+00  1.185e+00  3.066e-02  1.000e-09  1.000e-09  1.0000  8.358e-05  0.000e+00  1.185e+00 -5.774e+00 -5.779e+00 -1.884e+00 -1.888e+00
   1  3.758e+00  4.317e+00  4.380e-01  4.134e+00  1.000e-09  1.000e-09  1.0000  1.974e-02  0.000e+00  2.030e-01  2.084e+00  2.088e+00  4.501e+00  4.506e+00
   2  3.834e+00  3.887e+00  4.255e-02  2.908e-01  1.000e-09  1.000e-09  1.0000  3.587e-03  0.000e+00  3.896e-02 -7.842e-02 -7.600e-02  1.480e-01  1.504e-01
   3  3.764e+00  3.767e+00  1.465e-02  8.631e-02  1.000e-09  1.000e-09  1.0000  1.760e-04  0.000e+00  1.211e-03  6.980e-02  6.981e-02  1.663e-01  1.663e-01
   4  3.758e+00  3.758e+00  1.214e-03  7.040e-03  1.000e-09  1.000e-09  1.0000  8.469e-06  0.000e+00  2.383e-05  5.776e-03  5.781e-03  1.383e-02  1.384e-02
   5  3.758e+00  3.758e+00  6.082e-05  3.455e-04  1.000e-09  1.000e-09  1.0000  4.996e-07  0.000e+00  3.425e-07  2.894e-04  2.896e-04  6.920e-04  6.922e-04
   6  3.758e+00  3.758e+00  3.081e-06  1.740e-05  1.000e-08  1.000e-08  1.0000  2.574e-08  0.000e+00  2.232e-08  1.466e-05  1.467e-05  3.440e-05  3.442e-05
   7  3.758e+00  3.758e+00  1.561e-07  8.815e-07  1.000e-07  1.000e-07  1.0000  1.297e-09  0.000e+00  1.090e-09  7.427e-07  7.433e-07  1.751e-06  1.752e-06
   8  3.758e+00  3.758e+00  7.926e-09  4.476e-08  1.000e-06  1.000e-06  1.0000  6.604e-11  0.000e+00  5.615e-11  3.771e-08  3.774e-08  8.772e-08  8.775e-08
*** SOLVE (HybridShoot: 11) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  5.846e+00  1.893e+01  1.185e+00  3.066e-02  1.000e-09  1.000e-09  1.0000  4.783e-04  0.000e+00  1.185e+00 -5.774e+00 -5.779e+00  1.464e+01  1.464e+01
   1  3.757e+00  5.637e+00  4.380e-01  4.134e+00  1.000e-09  1.000e-09  1.0000  1.374e-01  0.000e+00  2.030e-01  2.084e+00  2.089e+00  6.746e+00  6.751e+00
   2  3.833e+00  4.018e+00  6.688e-02  2.908e-01  1.000e-09  1.000e-09  1.0000  2.792e-02  0.000e+00  3.896e-02 -7.842e-02 -7.594e-02  6.766e-01  6.791e-01
   3  3.764e+00  3.767e+00  1.460e-02  8.604e-02  1.000e-09  1.000e-09  1.0000  1.104e-03  0.000e+00  1.214e-03  6.954e-02  6.955e-02  1.654e-01  1.655e-01
   4  3.758e+00  3.758e+00  1.213e-03  7.032e-03  1.000e-09  1.000e-09  1.0000  7.787e-05  0.000e+00  2.382e-05  5.770e-03  5.776e-03  1.365e-02  1.366e-02
   5  3.758e+00  3.758e+00  6.081e-05  3.454e-04  1.000e-09  1.000e-09  1.0000  4.245e-06  0.000e+00  3.423e-07  2.893e-04  2.896e-04  6.840e-04  6.842e-04
   6  3.758e+00  3.758e+00  3.078e-06  1.739e-05  1.000e-08  1.000e-08  1.0000  2.131e-07  0.000e+00  2.229e-08  1.464e-05  1.466e-05  3.449e-05  3.450e-05
   7  3.758e+00  3.758e+00  1.559e-07  8.807e-07  1.000e-07  1.000e-07  1.0000  1.078e-08  0.000e+00  1.089e-09  7.419e-07  7.425e-07  1.748e-06  1.749e-06
   8  3.758e+00  3.758e+00  7.918e-09  4.471e-08  1.000e-06  1.000e-06  1.0000  5.473e-10  0.000e+00  5.609e-11  3.767e-08  3.770e-08  8.838e-08  8.841e-08
*** SOLVE (OdynSQP) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  5.846e+00  5.846e+00  1.185e+00  3.066e-02  1.000e-09  1.000e-09  1.0000  8.358e-05  0.000e+00  1.185e+00 -5.774e+00 -5.779e+00 -5.774e+00 -5.779e+00
   1  2.326e+01  2.326e+01  2.635e+00  1.160e+01  1.000e-09  1.000e-09  1.0000  3.604e-04  0.000e+00  2.634e+00 -1.742e+01 -1.741e+01 -1.742e+01 -1.741e+01
   2  6.775e+01  6.775e+01  6.467e-01  2.149e+01  1.000e-09  1.000e-09  1.0000  1.068e-01  0.000e+00  9.987e-02 -4.446e+01 -4.449e+01 -4.446e+01 -4.449e+01
   3  4.164e+01  4.464e+01  6.122e-01  5.001e+01  1.000e-09  1.000e-09  1.0000  1.648e-02  0.000e+00  1.413e-04  2.611e+01  2.611e+01  6.040e+01  6.041e+01
   4  4.162e+01  4.232e+01  7.721e-03  3.301e+00  1.000e-09  1.000e-09  1.0000  7.684e-03  0.000e+00  3.728e-05  1.958e-02  2.079e-02  8.223e-01  8.235e-01
   5  4.158e+01  4.162e+01  9.645e-04  5.778e-01  1.000e-09  1.000e-09  1.0000  9.247e-04  0.000e+00  6.807e-07  4.107e-02  4.069e-02  3.476e-01  3.472e-01
   6  4.117e+01  4.200e+01  9.616e-03  7.719e-01  1.000e-09  1.000e-09  1.0000  1.320e-03  0.000e+00  3.584e-07  4.056e-01  4.054e-01  1.581e-01  1.579e-01
   7  4.067e+01  4.116e+01  1.208e-02  7.548e-01  1.000e-09  1.000e-09  1.0000  8.953e-04  0.000e+00  3.799e-08  5.035e-01  5.030e-01  7.351e-01  7.346e-01
   8  4.016e+01  4.092e+01  1.241e-02  7.720e-01  1.000e-09  1.000e-09  1.0000  9.335e-04  0.000e+00  1.188e-07  5.109e-01  5.107e-01  4.797e-01  4.795e-01
   9  3.968e+01  4.029e+01  1.183e-02  7.184e-01  1.000e-09  1.000e-09  1.0000  8.260e-04  0.000e+00  1.213e-07  4.814e-01  4.813e-01  5.606e-01  5.605e-01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  3.923e+01  3.985e+01  1.114e-02  6.716e-01  1.000e-09  1.000e-09  1.0000  7.961e-04  0.000e+00  2.528e-07  4.480e-01  4.481e-01  4.711e-01  4.711e-01
  11  3.882e+01  3.938e+01  1.024e-02  6.109e-01  1.000e-09  1.000e-09  1.0000  7.586e-04  0.000e+00  3.144e-07  4.078e-01  4.079e-01  4.352e-01  4.353e-01
  12  3.846e+01  3.895e+01  9.310e-03  5.511e-01  1.000e-09  1.000e-09  1.0000  7.117e-04  0.000e+00  3.768e-07  3.674e-01  3.676e-01  3.997e-01  3.999e-01
  13  3.813e+01  3.856e+01  8.377e-03  4.920e-01  1.000e-09  1.000e-09  1.0000  6.573e-04  0.000e+00  4.009e-07  3.278e-01  3.281e-01  3.635e-01  3.638e-01
  14  3.784e+01  3.822e+01  7.484e-03  4.365e-01  1.000e-09  1.000e-09  1.0000  6.002e-04  0.000e+00  4.037e-07  2.907e-01  2.910e-01  3.267e-01  3.270e-01
  15  3.758e+01  3.791e+01  6.645e-03  3.850e-01  1.000e-09  1.000e-09  1.0000  5.423e-04  0.000e+00  3.860e-07  2.564e-01  2.567e-01  2.917e-01  2.920e-01
  16  3.735e+01  3.769e+01  5.934e-03  3.430e-01  1.000e-09  1.000e-09  1.0000  5.579e-04  0.000e+00  2.771e-06  2.276e-01  2.279e-01  2.168e-01  2.171e-01
  17  3.708e+01  3.771e+01  7.155e-03  4.274e-01  1.000e-09  1.000e-09  1.0000  8.999e-04  0.000e+00  2.494e-06  2.724e-01  2.728e-01  3.523e-02  3.556e-02
  18  3.666e+01  3.758e+01  1.107e-02  6.522e-01  1.000e-09  1.000e-09  1.0000  1.393e-03  0.000e+00  3.500e-06  4.170e-01  4.176e-01  9.072e-02  9.136e-02
  19  3.607e+01  3.728e+01  1.590e-02  9.186e-01  1.000e-09  1.000e-09  1.0000  2.003e-03  0.000e+00  4.671e-06  5.896e-01  5.906e-01  2.210e-01  2.221e-01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  3.532e+01  3.676e+01  2.070e-02  1.165e+00  1.000e-09  1.000e-09  1.0000  2.552e-03  0.000e+00  1.521e-04  7.520e-01  7.534e-01  3.797e-01  3.812e-01
  21  3.442e+01  3.589e+01  2.540e-02  1.387e+00  1.000e-09  1.000e-09  1.0000  2.930e-03  0.000e+00  1.715e-04  8.996e-01  9.013e-01  7.107e-01  7.124e-01
  22  3.345e+01  3.476e+01  2.789e-02  1.464e+00  1.000e-09  1.000e-09  1.0000  2.895e-03  0.000e+00  4.909e-05  9.610e-01  9.627e-01  1.031e+00  1.032e+00
  23  3.255e+01  3.367e+01  2.701e-02  1.363e+00  1.000e-09  1.000e-09  1.0000  2.495e-03  0.000e+00  6.436e-05  9.060e-01  9.074e-01  1.075e+00  1.076e+00
  24  3.177e+01  3.267e+01  2.380e-02  1.161e+00  1.000e-09  1.000e-09  1.0000  1.968e-03  0.000e+00  1.093e-04  7.798e-01  7.808e-01  9.896e-01  9.906e-01
  25  3.113e+01  3.183e+01  1.984e-02  9.418e-01  1.000e-09  1.000e-09  1.0000  1.481e-03  0.000e+00  1.173e-04  6.375e-01  6.382e-01  8.475e-01  8.482e-01
  26  3.061e+01  3.117e+01  1.623e-02  7.551e-01  1.000e-09  1.000e-09  1.0000  1.104e-03  0.000e+00  1.162e-04  5.130e-01  5.134e-01  6.862e-01  6.867e-01
  27  3.019e+01  3.071e+01  1.345e-02  6.174e-01  1.000e-09  1.000e-09  1.0000  9.379e-04  0.000e+00  1.141e-04  4.195e-01  4.198e-01  5.022e-01  5.025e-01
  28  2.983e+01  3.033e+01  1.166e-02  5.308e-01  1.000e-09  1.000e-09  1.0000  8.891e-04  0.000e+00  1.188e-04  3.597e-01  3.598e-01  3.812e-01  3.814e-01
  29  2.950e+01  3.000e+01  1.096e-02  4.964e-01  1.000e-09  1.000e-09  1.0000  9.195e-04  0.000e+00  1.375e-04  3.343e-01  3.344e-01  3.110e-01  3.111e-01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  30  2.915e+01  2.975e+01  1.162e-02  5.255e-01  1.000e-09  1.000e-09  1.0000  1.084e-03  0.000e+00  1.852e-04  3.503e-01  3.505e-01  2.500e-01  2.502e-01
  31  2.871e+01  2.961e+01  1.463e-02  6.612e-01  1.000e-09  1.000e-09  1.0000  1.523e-03  0.000e+00  3.057e-04  4.347e-01  4.347e-01  1.606e-01  1.607e-01
  32  2.828e+01  2.922e+01  2.316e-02  1.051e+00  1.000e-09  1.000e-09  0.5000  1.453e-03  0.000e+00  3.210e-04  4.323e-01  4.323e-01  4.467e-01  4.612e-01
  33  2.769e+01  2.934e+01  3.095e-02  1.469e+00  1.000e-09  1.000e-09  0.5000  1.836e-03  0.000e+00  4.678e-04  5.892e-01  5.891e-01  3.999e-01  2.105e-01
