iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.926e+03  1.926e+03  6.906e-01  2.685e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.331e+03  8.047e+02  3.231e+03  2.705e+03
   1  1.661e+03  1.661e+03  1.149e+00  3.817e+03  1.000e-09  1.000e-09  0.1250  3.450e-17  0.000e+00  0.000e+00  4.473e+02  2.650e+02  4.473e+02  2.650e+02
   2  6.675e+02  6.675e+02  2.456e+00  3.283e+03  1.000e-09  1.000e-09  0.5000  2.336e-17  0.000e+00  0.000e+00  1.231e+03  9.930e+02  1.231e+03  9.930e+02
   3  4.681e+02  4.681e+02  1.384e+00  1.299e+03  1.000e-09  1.000e-09  0.2500  2.837e-17  0.000e+00  0.000e+00  2.841e+02  1.994e+02  2.841e+02  1.994e+02
   4  4.193e+02  4.193e+02  1.073e+00  9.020e+02  1.000e-09  1.000e-09  0.1250  4.446e-17  0.000e+00  0.000e+00  1.057e+02  4.880e+01  1.057e+02  4.880e+01
   5  2.507e+02  2.507e+02  1.588e+00  7.994e+02  1.000e-09  1.000e-09  0.5000  1.970e-17  0.000e+00  0.000e+00  2.998e+02  1.686e+02  2.998e+02  1.686e+02
   6  2.505e+02  2.505e+02  9.272e-01  4.664e+02  1.000e-09  1.000e-09  0.0020  3.423e-17  0.000e+00  0.000e+00  9.100e-01  2.159e-01  9.100e-01  2.159e-01
   7  2.502e+02  2.502e+02  9.265e-01  4.656e+02  1.000e-09  1.000e-09  0.0020  4.908e-17  0.000e+00  0.000e+00  9.084e-01  2.470e-01  9.084e-01  2.470e-01
   8  2.144e+02  2.144e+02  1.079e+00  4.647e+02  1.000e-09  1.000e-09  0.2500  2.078e-17  0.000e+00  0.000e+00  1.016e+02  3.588e+01  1.016e+02  3.588e+01
   9  1.772e+02  1.772e+02  1.096e+00  3.905e+02  1.000e-09  1.000e-09  0.5000  2.124e-17  0.000e+00  0.000e+00  1.465e+02  3.712e+01  1.465e+02  3.712e+01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  5.886e+01  5.886e+01  2.661e+00  3.186e+02  1.000e-09  1.000e-09  0.5000  2.038e-17  0.000e+00  0.000e+00  1.195e+02  1.184e+02  1.195e+02  1.184e+02
  11  3.633e+01  3.633e+01  1.048e+00  7.824e+01  1.000e-09  1.000e-09  0.5000  1.882e-17  0.000e+00  0.000e+00  2.934e+01  2.252e+01  2.934e+01  2.252e+01
  12  3.584e+01  3.584e+01  5.239e-01  3.860e+01  1.000e-09  1.000e-09  0.0625  5.047e-17  0.000e+00  0.000e+00  2.337e+00  4.917e-01  2.337e+00  4.917e-01
  13  3.542e+01  3.542e+01  5.519e-01  4.020e+01  1.000e-09  1.000e-09  0.0625  6.644e-17  0.000e+00  0.000e+00  2.434e+00  4.249e-01  2.434e+00  4.249e-01
  14  3.459e+01  3.459e+01  5.851e-01  4.164e+01  1.000e-09  1.000e-09  0.0625  4.870e-17  0.000e+00  0.000e+00  2.521e+00  8.291e-01  2.521e+00  8.291e-01
  15  3.340e+01  3.340e+01  6.063e-01  4.171e+01  1.000e-09  1.000e-09  0.0625  3.045e-17  0.000e+00  0.000e+00  2.526e+00  1.188e+00  2.526e+00  1.188e+00
  16  3.201e+01  3.201e+01  6.187e-01  4.084e+01  1.000e-09  1.000e-09  0.0625  4.085e-17  0.000e+00  0.000e+00  2.473e+00  1.391e+00  2.473e+00  1.391e+00
  17  3.055e+01  3.055e+01  6.224e-01  3.927e+01  1.000e-09  1.000e-09  0.0625  4.309e-17  0.000e+00  0.000e+00  2.378e+00  1.461e+00  2.378e+00  1.461e+00
  18  2.917e+01  2.917e+01  6.220e-01  3.753e+01  1.000e-09  1.000e-09  0.0625  6.660e-17  0.000e+00  0.000e+00  2.272e+00  1.380e+00  2.272e+00  1.380e+00
  19  2.791e+01  2.791e+01  6.270e-01  3.626e+01  1.000e-09  1.000e-09  0.1250  4.596e-17  0.000e+00  0.000e+00  4.249e+00  1.256e+00  4.249e+00  1.256e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  2.550e+01  2.550e+01  6.801e-01  3.605e+01  1.000e-09  1.000e-09  0.1250  5.210e-17  0.000e+00  0.000e+00  4.224e+00  2.410e+00  4.224e+00  2.410e+00
  21  2.257e+01  2.257e+01  6.770e-01  3.191e+01  1.000e-09  1.000e-09  0.2500  4.457e-17  0.000e+00  0.000e+00  6.980e+00  2.937e+00  6.980e+00  2.937e+00
  22  1.955e+01  1.955e+01  6.528e-01  2.683e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.342e+01  3.013e+00  1.342e+01  3.013e+00
  23  8.821e+00  8.821e+00  1.124e+00  2.208e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.104e+01  1.073e+01  1.104e+01  1.073e+01
  24  8.359e+00  8.359e+00  4.516e-02  8.453e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  4.226e-01  4.622e-01  4.226e-01  4.622e-01
  25  8.298e+00  8.298e+00  3.610e-03  6.712e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  3.356e-02  6.116e-02  3.356e-02  6.116e-02
  26  8.249e+00  8.249e+00  3.028e-03  5.601e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.800e-02  4.862e-02  2.800e-02  4.862e-02
  27  8.212e+00  8.212e+00  2.161e-03  3.981e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.990e-02  3.715e-02  1.990e-02  3.715e-02
  28  8.183e+00  8.183e+00  1.742e-03  3.200e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.600e-02  2.921e-02  1.600e-02  2.921e-02
  29  8.162e+00  8.162e+00  1.240e-03  2.273e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.137e-02  2.023e-02  1.137e-02  2.023e-02
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  30  8.150e+00  8.150e+00  7.801e-04  1.427e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  7.137e-03  1.257e-02  7.137e-03  1.257e-02
  31  8.142e+00  8.142e+00  4.725e-04  8.639e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  4.320e-03  7.635e-03  4.320e-03  7.635e-03
  32  8.137e+00  8.137e+00  2.978e-04  5.443e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.721e-03  4.798e-03  2.721e-03  4.798e-03
  33  8.134e+00  8.134e+00  1.864e-04  3.406e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.703e-03  3.042e-03  1.703e-03  3.042e-03
  34  8.132e+00  8.132e+00  1.217e-04  2.223e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.111e-03  1.997e-03  1.111e-03  1.997e-03
  35  8.131e+00  8.131e+00  8.096e-05  1.478e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  7.392e-04  1.334e-03  7.392e-04  1.334e-03
  36  8.130e+00  8.130e+00  5.446e-05  9.945e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  4.972e-04  8.999e-04  4.972e-04  8.999e-04
  37  8.129e+00  8.129e+00  3.686e-05  6.731e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  3.366e-04  6.104e-04  3.366e-04  6.104e-04
  38  8.129e+00  8.129e+00  2.504e-05  4.572e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.286e-04  4.152e-04  2.286e-04  4.152e-04
  39  8.129e+00  8.129e+00  1.704e-05  3.111e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.555e-04  2.829e-04  1.555e-04  2.829e-04
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  40  8.129e+00  8.129e+00  1.161e-05  2.119e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.060e-04  1.929e-04  1.060e-04  1.929e-04
  41  8.128e+00  8.128e+00  7.914e-06  1.445e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  7.224e-05  1.380e-04  7.224e-05  1.380e-04
  42  8.126e+00  8.126e+00  2.887e-04  5.269e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.635e-03  2.761e-03  2.635e-03  2.761e-03
  43  8.125e+00  8.125e+00  2.697e-05  4.922e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.461e-04  3.164e-04  2.461e-04  3.164e-04
  44  8.125e+00  8.125e+00  7.240e-06  1.321e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  6.607e-05  1.031e-04  6.607e-05  1.031e-04
  45  8.125e+00  8.125e+00  3.339e-06  6.093e-05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  3.047e-05  5.274e-05  3.047e-05  5.274e-05
  46  8.125e+00  8.125e+00  1.985e-06  3.622e-05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.811e-05  3.249e-05  1.811e-05  3.249e-05
  47  8.125e+00  8.125e+00  1.289e-06  2.353e-05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.176e-05  2.133e-05  1.176e-05  2.133e-05
  48  8.125e+00  8.125e+00  8.610e-07  1.571e-05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  7.857e-06  1.429e-05  7.857e-06  1.429e-05
  49  8.125e+00  8.125e+00  5.804e-07  1.059e-05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  5.296e-06  9.643e-06  5.296e-06  9.643e-06
