iter     cost         stop         grad         xreg         ureg       step    ||ffeas||    ||hfeas||
   0  4.98536e+02  1.60535e+01  3.21013e+01  1.00000e-09  1.00000e-09  1.0000  1.00000e+00  1.32719e+01
   1  4.15420e+02  4.79723e+01  9.74707e+01  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  4.43368e+00
   2  2.96558e+02  8.43425e+01  1.68581e+02  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  4.95815e+00
   3  2.06904e+02  6.49969e+01  1.29229e+02  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  4.58501e+00
   4  1.72869e+02  2.68525e+01  5.35924e+01  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  2.00580e+00
   5  1.67130e+02  4.66104e+00  9.31821e+00  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  5.21976e-01
   6  1.66544e+02  4.53969e-01  9.18353e-01  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  5.65826e-02
   7  1.66479e+02  4.73547e-02  9.66382e-02  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  9.97526e-03
   8  1.66469e+02  6.92344e-03  1.40057e-02  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.71788e-03
   9  1.66467e+02  1.04909e-03  2.14077e-03  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  2.75829e-04
iter     cost         stop         grad         xreg         ureg       step    ||ffeas||    ||hfeas||
  10  1.66467e+02  1.65056e-04  3.35503e-04  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  4.45073e-05
  11  1.66467e+02  2.60682e-05  5.30180e-05  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  7.17733e-06
  12  1.66467e+02  4.13981e-06  8.40496e-06  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.14432e-06
  13  1.66467e+02  6.56853e-07  1.33408e-06  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.82768e-07
  14  1.66467e+02  1.04365e-07  2.11853e-07  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  2.90597e-08
  15  1.66467e+02  1.65736e-08  3.36485e-08  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  4.62395e-09
  16  1.66467e+02  2.63302e-09  5.34479e-09  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  7.34659e-10
  17  1.66467e+02  4.18219e-10  8.48998e-10  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  1.16740e-10
Finally reached =  [ 0.01800052 -0.22824123  0.38563321]
