iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  2.519e+03  3.437e+03  1.286e+03  2.640e+03  1.000e-09  1.000e-09  0.5000  1.571e+00  0.000e+00  0.000e+00  9.813e+02  2.114e+02  1.440e+03  1.130e+03
   1  2.051e+03  3.824e+03  2.482e+03  4.996e+03  1.000e-09  1.000e-09  0.5000  7.854e-01  0.000e+00  0.000e+00  1.870e+03  4.678e+02  2.756e+03  2.241e+03
   2  1.938e+03  3.340e+03  1.963e+03  3.944e+03  1.000e-09  1.000e-09  0.5000  3.927e-01  0.000e+00  0.000e+00  1.477e+03  1.128e+02  2.178e+03  1.515e+03
   3  1.265e+03  1.265e+03  1.907e+03  3.820e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.907e+03  6.728e+02  4.630e+03  3.396e+03
   4  9.383e+02  9.383e+02  1.223e+03  2.446e+03  1.000e-09  1.000e-09  0.5000  1.381e-17  0.000e+00  0.000e+00  9.171e+02  3.271e+02  9.171e+02  3.271e+02
   5  5.971e+02  5.971e+02  8.930e+02  1.786e+03  1.000e-09  1.000e-09  0.2500  4.434e-17  0.000e+00  0.000e+00  3.907e+02  3.412e+02  3.907e+02  3.412e+02
   6  3.672e+02  3.672e+02  4.918e+02  9.836e+02  1.000e-09  1.000e-09  0.2500  3.974e-17  0.000e+00  0.000e+00  2.152e+02  2.299e+02  2.152e+02  2.299e+02
   7  2.216e+02  2.216e+02  2.811e+02  5.623e+02  1.000e-09  1.000e-09  0.2500  4.037e-17  0.000e+00  0.000e+00  1.230e+02  1.456e+02  1.230e+02  1.456e+02
   8  1.634e+02  1.634e+02  1.675e+02  3.350e+02  1.000e-09  1.000e-09  0.1250  5.132e-17  0.000e+00  0.000e+00  3.926e+01  5.823e+01  3.926e+01  5.823e+01
   9  1.265e+02  1.265e+02  1.237e+02  2.475e+02  1.000e-09  1.000e-09  0.1250  4.704e-17  0.000e+00  0.000e+00  2.900e+01  3.690e+01  2.900e+01  3.690e+01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  8.557e+01  8.557e+01  1.078e+02  2.156e+02  1.000e-09  1.000e-09  0.2500  4.340e-17  0.000e+00  0.000e+00  4.715e+01  4.093e+01  4.715e+01  4.093e+01
  11  3.231e+01  3.231e+01  7.327e+01  1.465e+02  1.000e-09  1.000e-09  0.5000  2.890e-17  0.000e+00  0.000e+00  5.495e+01  5.326e+01  5.495e+01  5.326e+01
  12  1.554e+01  1.554e+01  2.156e+01  4.313e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.156e+01  1.676e+01  2.156e+01  1.676e+01
  13  9.539e+00  9.539e+00  5.952e+00  1.190e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  5.952e+00  6.005e+00  5.952e+00  6.005e+00
  14  9.022e+00  9.022e+00  4.159e-01  8.317e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  4.159e-01  5.176e-01  4.159e-01  5.176e-01
  15  8.906e+00  8.906e+00  7.193e-02  1.439e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  7.193e-02  1.158e-01  7.193e-02  1.158e-01
  16  8.847e+00  8.847e+00  3.622e-02  7.243e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  3.622e-02  5.851e-02  3.622e-02  5.851e-02
  17  8.817e+00  8.817e+00  1.550e-02  3.100e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.550e-02  2.998e-02  1.550e-02  2.998e-02
  18  8.796e+00  8.796e+00  1.128e-02  2.255e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.128e-02  2.146e-02  1.128e-02  2.146e-02
  19  8.779e+00  8.779e+00  9.894e-03  1.979e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  9.894e-03  1.666e-02  9.894e-03  1.666e-02
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  8.765e+00  8.765e+00  9.478e-03  1.896e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  9.478e-03  1.433e-02  9.478e-03  1.433e-02
  21  8.757e+00  8.757e+00  3.292e-03  6.583e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  3.292e-03  7.562e-03  3.292e-03  7.562e-03
  22  8.748e+00  8.748e+00  6.659e-03  1.332e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  6.659e-03  9.853e-03  6.659e-03  9.853e-03
