*** SOLVE walking (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.699e+05  1.699e+05  1.329e+02  4.516e+07  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.258e+07  2.241e+07  2.258e+07  2.241e+07
   1  3.101e+04  3.101e+04  5.326e+00  3.303e+05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.652e+05  1.389e+05  1.652e+05  1.389e+05
   2  2.388e+04  2.388e+04  1.080e+00  5.160e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.580e+04  7.124e+03  2.580e+04  7.124e+03
   3  1.159e+04  1.159e+04  1.625e+00  3.767e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.883e+04  1.230e+04  1.883e+04  1.230e+04
   4  1.063e+04  1.063e+04  6.063e-01  1.289e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  6.444e+03  9.599e+02  6.444e+03  9.599e+02
   5  6.960e+03  6.960e+03  7.986e-01  1.112e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  5.559e+03  3.667e+03  5.559e+03  3.667e+03
   6  6.218e+03  6.218e+03  3.061e-01  3.808e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.904e+03  7.417e+02  1.904e+03  7.417e+02
   7  5.347e+03  5.347e+03  2.074e-01  2.218e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.109e+03  8.718e+02  1.109e+03  8.718e+02
   8  5.208e+03  5.208e+03  5.539e-02  5.770e+02  1.000e-09  1.000e-09  0.5000  4.337e-19  0.000e+00  0.000e+00  2.164e+02  1.388e+02  2.164e+02  1.388e+02
   9  5.071e+03  5.071e+03  2.657e-02  2.695e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.348e+02  1.366e+02  1.348e+02  1.366e+02
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  5.070e+03  5.070e+03  4.492e-04  4.556e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.278e+00  1.134e+00  2.278e+00  1.134e+00
  11  5.069e+03  5.069e+03  3.257e-04  3.302e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.651e+00  1.239e+00  1.651e+00  1.239e+00
  12  5.068e+03  5.068e+03  7.874e-05  7.983e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  3.991e-01  4.120e-01  3.991e-01  4.120e-01
  13  5.068e+03  5.068e+03  6.699e-06  6.792e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  3.396e-02  3.392e-02  3.396e-02  3.392e-02
  14  5.068e+03  5.068e+03  5.525e-09  5.602e-05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.801e-05  2.805e-05  2.801e-05  2.805e-05
*** SOLVE walking (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.620e+05  1.620e+05  1.393e+02  4.516e+07  1.000e-09  1.000e-09  1.0000  8.874e-01  0.000e+00  0.000e+00  2.258e+07  2.242e+07  2.258e+07  2.242e+07
   1  4.793e+04  1.089e+05  3.278e+00  3.147e+05  1.000e-09  1.000e-09  1.0000  2.409e-01  0.000e+00  0.000e+00  1.571e+05  1.141e+05  3.206e+05  2.776e+05
