*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.504e+03  1.504e+03  3.121e+00  9.420e+00  1.000e-09  1.000e-09  0.2500  2.638e-15  0.000e+00  7.526e-02 -2.918e+02 -1.484e+03 -2.918e+02 -1.484e+03
   1  1.498e+03  1.498e+03  1.499e+00  6.518e+02  1.000e-09  1.000e-09  0.0312  2.555e-15  0.000e+00  7.291e-02  1.754e+01  6.392e+00  1.754e+01  6.392e+00
   2  1.494e+03  1.494e+03  1.737e+00  3.989e+02  1.000e-09  1.000e-09  0.0156  2.516e-15  0.000e+00  7.178e-02  5.502e+00  3.241e+00  5.502e+00  3.241e+00
   3  1.493e+03  1.493e+03  1.850e+00  2.680e+02  1.000e-09  1.000e-09  0.0078  2.496e-15  0.000e+00  7.122e-02  1.909e+00  1.284e+00  1.909e+00  1.284e+00
   4  1.492e+03  1.492e+03  1.961e+00  1.818e+02  1.000e-09  1.000e-09  0.0156  2.457e-15  0.000e+00  7.010e-02  2.082e+00  1.180e+00  2.082e+00  1.180e+00
   5  1.550e+03  1.550e+03  1.972e+00  5.623e+01  1.000e-09  1.000e-09  0.0625  2.303e-15  0.000e+00  6.574e-02 -8.657e+00 -5.844e+01 -8.657e+00 -5.844e+01
   6  3.434e+03  3.434e+03  9.391e-01  2.717e+02  1.000e-09  1.000e-09  0.2500  1.728e-15  0.000e+00  4.949e-02 -2.526e+02 -1.884e+03 -2.526e+02 -1.884e+03
   7  3.424e+03  3.424e+03  8.612e-01  9.589e+02  1.000e-09  1.000e-09  0.1250  1.512e-15  0.000e+00  4.333e-02  5.879e+01  1.031e+01  5.879e+01  1.031e+01
   8  3.406e+03  3.406e+03  5.545e-01  9.776e+02  1.000e-09  1.000e-09  0.0625  1.417e-15  0.000e+00  4.063e-02  4.990e+01  1.826e+01  4.990e+01  1.826e+01
   9  3.399e+03  3.399e+03  6.348e-01  4.534e+02  1.000e-09  1.000e-09  0.0156  1.395e-15  0.000e+00  3.999e-02  6.447e+00  6.183e+00  6.447e+00  6.183e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.026e+04  1.026e+04  3.184e-01  4.619e+02  1.000e-09  1.000e-09  0.5000  6.976e-16  0.000e+00  2.028e-02 -9.322e+02 -6.861e+03 -9.322e+02 -6.861e+03
  11  1.029e+04  1.581e+04  4.286e-01  1.139e+04  1.000e-09  1.000e-09  0.1250  6.132e-16  0.000e+00  1.775e-02  1.315e+03 -3.188e+01  1.413e+03  7.541e+02
  12  9.642e+03  1.436e+04  3.917e-01  1.018e+04  1.000e-09  1.000e-09  0.1250  5.343e-16  0.000e+00  1.553e-02  1.173e+03  6.506e+02  1.257e+03  1.325e+03
  13  9.029e+03  1.292e+04  3.450e-01  8.543e+03  1.000e-09  1.000e-09  0.1250  4.675e-16  0.000e+00  1.359e-02  9.831e+02  6.134e+02  1.053e+03  1.170e+03
  14  7.317e+03  8.880e+03  2.975e-01  6.563e+03  1.000e-09  1.000e-09  0.5000  2.342e-16  0.000e+00  6.826e-03  2.185e+03  1.712e+03  2.959e+03  3.260e+03
  15  6.973e+03  7.365e+03  6.387e-02  2.008e+03  1.000e-09  1.000e-09  0.5000  1.171e-16  0.000e+00  3.420e-03  6.133e+02  3.439e+02  8.082e+02  7.337e+02
  16  6.888e+03  6.986e+03  1.552e-02  7.715e+02  1.000e-09  1.000e-09  0.5000  1.110e-16  0.000e+00  1.707e-03  2.196e+02  8.500e+01  2.686e+02  1.830e+02
  17  6.895e+03  6.896e+03  4.759e-04  2.889e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.827e-05  3.282e+00 -7.022e+00  5.131e+01  4.101e+01
  18  6.907e+03  7.140e+03  2.517e-02  3.470e+02  1.000e-09  1.000e-09  0.0625  1.551e-24  0.000e+00  2.657e-05  2.101e+01 -1.139e+01  2.195e+01  3.583e+00
  19  6.800e+03  6.947e+03  1.591e-02  2.157e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.524e-05  1.082e+02  1.070e+02  1.159e+02  1.147e+02
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  6.784e+03  6.810e+03  2.483e-03  3.205e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  8.962e-06  1.685e+01  1.595e+01  6.418e+01  6.329e+01
  21  6.783e+03  6.783e+03  1.564e-04  1.640e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.375e-08  1.061e+00  9.643e-01  1.408e+01  1.398e+01
  22  6.783e+03  6.783e+03  1.733e-05  2.350e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.190e-08  1.176e-01  1.104e-01  1.203e-01  1.131e-01
  23  6.783e+03  6.783e+03  1.043e-06  1.418e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  3.253e-10  7.073e-03  7.077e-03  2.390e-02  2.391e-02
  24  6.783e+03  6.783e+03  1.123e-10  6.855e-07  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.271e-13 -7.621e-07 -7.620e-07  4.720e-04  4.720e-04
*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.311e+03  1.928e+05  3.580e+00  9.420e+00  1.000e-09  1.000e-09  0.2500  1.873e-01  0.000e+00  7.595e-02 -2.918e+02 -1.291e+03 -2.998e+04 -1.200e+05
   1  4.323e+03  8.711e+04  5.685e-01  4.800e+02  1.000e-09  1.000e-09  0.2500  1.705e-01  0.000e+00  5.722e-02 -6.365e+01 -3.012e+03  3.172e+03  9.930e+03
   2  6.117e+03  3.896e+04  1.807e-01  4.457e+03  1.000e-09  1.000e-09  0.2500  1.376e-01  0.000e+00  4.302e-02  8.029e+02 -1.794e+03  2.941e+03  6.758e+03
   3  5.342e+03  1.808e+04  1.402e-01  4.936e+03  1.000e-09  1.000e-09  0.2500  1.078e-01  0.000e+00  3.233e-02  8.849e+02  7.748e+02  1.805e+03  4.455e+03
   4  5.299e+03  1.012e+04  3.095e-01  1.674e+03  1.000e-09  1.000e-09  0.2500  8.179e-02  0.000e+00  2.428e-02  2.113e+02  4.278e+01  5.987e+02  1.593e+03
   5  5.570e+03  7.366e+03  2.801e-01  5.884e+02  1.000e-09  1.000e-09  0.2500  6.082e-02  0.000e+00  1.823e-02  1.279e+01 -2.705e+02  1.663e+02  3.437e+02
   6  5.553e+03  6.423e+03  7.657e-02  1.596e+03  1.000e-09  1.000e-09  0.0312  5.891e-02  0.000e+00  1.766e-02  4.795e+01  1.694e+01  4.883e+01  4.511e+01
   7  7.923e+03  8.146e+03  1.668e-01  1.175e+02  1.000e-09  1.000e-09  0.5000  3.032e-02  0.000e+00  8.870e-03 -3.012e+02 -2.370e+03 -1.950e+02 -2.158e+03
   8  7.178e+03  8.091e+03  1.404e-01  3.435e+03  1.000e-09  1.000e-09  0.5000  2.040e-02  0.000e+00  4.446e-03  1.111e+03  7.454e+02  1.374e+03  1.272e+03
   9  7.167e+03  8.018e+03  8.872e-02  1.935e+03  1.000e-09  1.000e-09  0.0625  1.911e-02  0.000e+00  4.168e-03  1.158e+02  1.099e+01  1.194e+02  6.820e+01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  6.917e+03  7.131e+03  3.551e-02  1.167e+03  1.000e-09  1.000e-09  0.5000  9.642e-03  0.000e+00  2.087e-03  3.533e+02  2.501e+02  4.589e+02  4.613e+02
  11  6.816e+03  7.073e+03  2.812e-02  4.499e+02  1.000e-09  1.000e-09  0.5000  2.708e-02  0.000e+00  1.044e-03  1.263e+02  1.010e+02  5.138e+01 -4.890e+01
  12  6.859e+03  6.932e+03  1.607e-02  1.104e+02  1.000e-09  1.000e-09  1.0000  1.607e-02  0.000e+00  6.657e-07 -2.956e+01 -4.261e+01  2.553e+01  1.248e+01
  13  6.796e+03  6.887e+03  1.530e-02  1.338e+02  1.000e-09  1.000e-09  1.0000  1.530e-02  0.000e+00  1.466e-11  6.706e+01  6.264e+01  7.166e+01  6.724e+01
  14  6.784e+03  6.799e+03  5.169e-03  2.432e+01  1.000e-09  1.000e-09  1.0000  5.169e-03  0.000e+00  3.228e-11  1.246e+01  1.182e+01  4.265e+01  4.201e+01
  15  6.783e+03  6.784e+03  4.779e-04  3.182e+00  1.000e-09  1.000e-09  1.0000  4.779e-04  0.000e+00  2.854e-13  1.626e+00  8.932e-01  8.618e+00  7.885e+00
  16  6.783e+03  6.783e+03  8.774e-05  1.106e+00  1.000e-09  1.000e-09  1.0000  8.774e-05  0.000e+00  1.336e-13  5.536e-01  5.027e-01  1.199e+00  1.148e+00
  17  6.783e+03  6.783e+03  5.537e-06  7.453e-02  1.000e-09  1.000e-09  1.0000  1.444e-06  0.000e+00  8.198e-13  3.756e-02  3.755e-02  1.090e-01  1.089e-01
  18  6.783e+03  6.783e+03  2.198e-09  1.507e-05  1.000e-09  1.000e-09  1.0000  8.330e-10  0.000e+00  3.242e-13  1.491e-05  1.491e-05  6.118e-04  6.118e-04
*** SOLVE (HybridShoot: 10) ***
