*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.274e+03  1.274e+03  2.708e+01  1.304e+01  1.000e-09  1.000e-09  0.2500  0.000e+00  0.000e+00  2.708e+01 -2.979e+02 -1.254e+03 -2.979e+02 -1.254e+03
   1  1.270e+03  1.270e+03  2.667e+01  3.924e+02  1.000e-09  1.000e-09  0.0156  1.590e-27  0.000e+00  2.667e+01  5.426e+00  3.418e+00  5.426e+00  3.418e+00
   2  1.269e+03  1.269e+03  2.627e+01  2.611e+02  1.000e-09  1.000e-09  0.0156  0.000e+00  0.000e+00  2.627e+01  3.363e+00  7.011e-01  3.363e+00  7.011e-01
   3  1.269e+03  1.269e+03  2.607e+01  1.228e+02  1.000e-09  1.000e-09  0.0078  3.362e-21  0.000e+00  2.607e+01  7.764e-01  1.492e-01  7.764e-01  1.492e-01
   4  1.283e+03  1.283e+03  2.532e+01  3.784e+01  1.000e-09  1.000e-09  0.0312  3.282e-21  0.000e+00  2.532e+01 -1.821e+00 -1.384e+01 -1.821e+00 -1.384e+01
   5  1.709e+03  1.709e+03  2.309e+01  1.890e+02  1.000e-09  1.000e-09  0.1250  2.965e-21  0.000e+00  2.309e+01 -7.191e+01 -4.263e+02 -7.191e+01 -4.263e+02
   6  2.054e+03  2.054e+03  2.075e+01  2.592e+02  1.000e-09  1.000e-09  0.1250  2.965e-21  0.000e+00  2.075e+01 -7.837e+01 -3.443e+02 -7.837e+01 -3.443e+02
   7  8.773e+03  8.773e+03  1.595e+01  9.973e+02  1.000e-09  1.000e-09  0.5000  1.084e-19  0.000e+00  1.595e+01 -1.294e+03 -6.719e+03 -1.294e+03 -6.719e+03
   8  9.075e+03  1.357e+04  1.397e+01  1.018e+04  1.000e-09  1.000e-09  0.1250  5.929e-21  0.000e+00  1.397e+01  1.169e+03 -3.017e+02  1.249e+03  3.365e+02
   9  9.547e+03  1.261e+04  1.047e+01  9.094e+03  1.000e-09  1.000e-09  0.2500  1.626e-19  0.000e+00  1.047e+01  1.884e+03 -4.719e+02  2.140e+03  5.517e+02
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  7.308e+03  9.259e+03  5.284e+00  8.364e+03  1.000e-09  1.000e-09  0.5000  5.420e-20  0.000e+00  5.284e+00  2.768e+03  2.239e+03  3.725e+03  4.154e+03
  11  7.196e+03  8.050e+03  4.623e+00  2.756e+03  1.000e-09  1.000e-09  0.1250  1.518e-18  0.000e+00  4.623e+00  3.117e+02  1.117e+02  3.269e+02  2.337e+02
  12  6.689e+03  6.909e+03  2.330e+00  1.950e+03  1.000e-09  1.000e-09  0.5000  8.674e-19  0.000e+00  2.330e+00  5.639e+02  5.072e+02  6.722e+02  7.238e+02
  13  6.660e+03  6.743e+03  1.749e+00  3.025e+02  1.000e-09  1.000e-09  0.2500  1.626e-19  0.000e+00  1.749e+00  4.521e+01  2.847e+01  5.207e+01  5.593e+01
  14  6.653e+03  6.693e+03  1.694e+00  3.846e+02  1.000e-09  1.000e-09  0.0312  2.101e-19  0.000e+00  1.694e+00  1.159e+01  7.034e+00  1.163e+01  8.327e+00
  15  7.221e+03  7.225e+03  3.469e-01  4.076e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  3.469e-01 -2.256e+02 -5.677e+02 -2.097e+02 -5.518e+02
  16  7.209e+03  7.882e+03  3.244e-01  1.007e+03  1.000e-09  1.000e-09  0.0625  1.271e-20  0.000e+00  3.244e-01  6.099e+01  1.164e+01  6.390e+01  5.831e+01
  17  6.904e+03  7.877e+03  5.431e-01  8.139e+02  1.000e-09  1.000e-09  0.5000  6.776e-21  0.000e+00  5.431e-01  3.051e+02  3.052e+02  1.093e+02 -8.660e+01
  18  6.853e+03  7.188e+03  3.741e-01  2.136e+02  1.000e-09  1.000e-09  0.5000  2.068e-25  0.000e+00  3.741e-01  8.007e+01  5.075e+01  1.557e+02  2.021e+02
  19  6.800e+03  6.858e+03  1.277e-01  1.053e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.277e-01  5.266e+01  5.288e+01  1.630e+02  1.632e+02
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
