*** SOLVE walking (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.514e+06  1.514e+06  1.496e+01  4.529e+07  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.264e+07  2.114e+07  2.264e+07  2.114e+07
   1  8.187e+04  8.187e+04  1.843e+01  3.017e+06  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.509e+06  1.432e+06  1.509e+06  1.432e+06
   2  2.480e+04  2.480e+04  3.101e+00  1.538e+05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  7.690e+04  5.707e+04  7.690e+04  5.707e+04
   3  9.951e+03  9.951e+03  1.981e+00  3.943e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.972e+04  1.485e+04  1.972e+04  1.485e+04
   4  7.424e+03  7.424e+03  6.636e-01  9.856e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  4.928e+03  2.527e+03  4.928e+03  2.527e+03
   5  5.284e+03  5.284e+03  4.340e-01  4.588e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.294e+03  2.140e+03  2.294e+03  2.140e+03
   6  5.225e+03  5.225e+03  3.879e-02  4.055e+02  1.000e-09  1.000e-09  0.2500  1.665e-16  0.000e+00  0.000e+00  8.871e+01  5.885e+01  8.871e+01  5.885e+01
   7  5.093e+03  5.093e+03  2.868e-02  2.922e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.461e+02  1.321e+02  1.461e+02  1.321e+02
   8  5.082e+03  5.082e+03  2.715e-03  2.760e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.380e+01  1.174e+01  1.380e+01  1.174e+01
   9  5.081e+03  5.081e+03  6.538e-04  6.646e+00  1.000e-09  1.000e-09  0.2500  1.665e-16  0.000e+00  0.000e+00  1.454e+00  6.260e-01  1.454e+00  6.260e-01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  5.080e+03  5.080e+03  3.520e-04  3.577e+00  1.000e-09  1.000e-09  0.5000  2.220e-16  0.000e+00  0.000e+00  1.341e+00  1.341e+00  1.341e+00  1.341e+00
  11  5.080e+03  5.080e+03  8.923e-05  9.067e-01  1.000e-09  1.000e-09  0.5000  2.220e-16  0.000e+00  0.000e+00  3.400e-01  4.381e-02  3.400e-01  4.381e-02
  12  5.080e+03  5.080e+03  2.415e-04  2.454e+00  1.000e-09  1.000e-09  0.0312  2.151e-16  0.000e+00  0.000e+00  7.549e-02  4.804e-02  7.549e-02  4.804e-02
  13  5.079e+03  5.079e+03  9.504e-05  9.656e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  4.828e-01  4.799e-01  4.828e-01  4.799e-01
  14  5.079e+03  5.079e+03  2.002e-06  2.034e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.017e-02  1.097e-02  1.017e-02  1.097e-02
  15  5.079e+03  5.079e+03  9.691e-07  9.846e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  4.923e-03  3.329e-03  4.923e-03  3.329e-03
