*** SOLVE walking ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.699e+05  0.000e+00  2.258e+07  4.516e+07  1.000e-09  1.000e-09  1.0000  8.527e-15  0.000e+00  0.000e+00  2.258e+07  2.241e+07  0.000e+00  0.000e+00
   1  3.101e+04  0.000e+00  1.652e+05  3.303e+05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.652e+05  1.389e+05  0.000e+00  0.000e+00
   2  2.388e+04  0.000e+00  2.580e+04  5.160e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.580e+04  7.124e+03  0.000e+00  0.000e+00
   3  1.159e+04  0.000e+00  1.883e+04  3.767e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.883e+04  1.230e+04  0.000e+00  0.000e+00
   4  1.063e+04  0.000e+00  6.444e+03  1.289e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  6.444e+03  9.599e+02  0.000e+00  0.000e+00
   5  6.960e+03  0.000e+00  5.559e+03  1.112e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  5.559e+03  3.667e+03  0.000e+00  0.000e+00
   6  6.218e+03  0.000e+00  1.904e+03  3.808e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.904e+03  7.417e+02  0.000e+00  0.000e+00
   7  5.347e+03  0.000e+00  1.109e+03  2.218e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.109e+03  8.718e+02  0.000e+00  0.000e+00
   8  5.208e+03  0.000e+00  2.885e+02  5.770e+02  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  0.000e+00  2.164e+02  1.388e+02  0.000e+00  0.000e+00
   9  5.071e+03  0.000e+00  1.348e+02  2.695e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.348e+02  1.366e+02  0.000e+00  0.000e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  5.070e+03  0.000e+00  2.278e+00  4.556e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.278e+00  1.134e+00  0.000e+00  0.000e+00
  11  5.069e+03  0.000e+00  1.651e+00  3.302e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.651e+00  1.239e+00  0.000e+00  0.000e+00
  12  5.068e+03  0.000e+00  3.991e-01  7.983e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  3.991e-01  4.120e-01  0.000e+00  0.000e+00
  13  5.068e+03  0.000e+00  3.396e-02  6.792e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  3.396e-02  3.392e-02  0.000e+00  0.000e+00
  14  5.068e+03  0.000e+00  2.801e-05  5.602e-05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.801e-05  2.805e-05  0.000e+00  0.000e+00
  15  5.068e+03  0.000e+00  2.367e-08  4.735e-08  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.367e-08  2.127e-08  0.000e+00  0.000e+00
*** SOLVE jumping ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  7.051e+06  0.000e+00  9.014e+06  1.930e+07  1.000e-09  1.000e-09  0.1250  2.232e+00  0.000e+00  0.000e+00  2.252e+06  2.018e+06  0.000e+00  0.000e+00
   1  4.222e+06  0.000e+00  6.973e+06  1.469e+07  1.000e-09  1.000e-09  0.2500  1.953e+00  0.000e+00  0.000e+00  3.190e+06  2.830e+06  0.000e+00  0.000e+00
   2  3.095e+06  0.000e+00  4.141e+06  8.664e+06  1.000e-09  1.000e-09  0.2500  1.465e+00  0.000e+00  0.000e+00  1.883e+06  1.127e+06  0.000e+00  0.000e+00
