*** SOLVE walking ***
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||hfeas||   dV-exp       dV    
   0  1.667e+05  5.881e+07  1.365e+06  1.000e-09  1.000e-09  1.0000  8.185e-14  0.000e+00  6.826e+05  5.208e+05
   1  4.399e+04  1.220e+11  3.256e+05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.628e+05  1.227e+05
   2  1.934e+04  1.261e+10  8.047e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  4.023e+04  2.465e+04
   3  5.961e+03  2.172e+07  3.122e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.561e+04  1.338e+04
   4  5.684e+03  6.143e+06  4.615e+03  1.000e-09  1.000e-09  0.1250  0.000e+00  0.000e+00  5.408e+02  2.768e+02
   5  3.818e+03  4.720e+06  4.015e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.008e+03  1.866e+03
   6  3.774e+03  3.452e+03  4.089e+02  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  1.533e+02  4.388e+01
   7  3.748e+03  1.311e+03  3.446e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.723e+02  2.610e+01
   8  3.703e+03  5.496e+02  2.765e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.383e+02  4.519e+01
   9  3.686e+03  3.109e+02  2.028e+02  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  7.604e+01  1.743e+01
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||hfeas||   dV-exp       dV    
  10  3.607e+03  1.813e+02  1.567e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  7.837e+01  7.881e+01
  11  3.607e+03  3.402e+01  1.296e+01  1.000e-09  1.000e-09  0.0312  0.000e+00  0.000e+00  3.986e-01  3.261e-01
  12  3.606e+03  2.739e+00  2.630e+00  1.000e-09  1.000e-09  0.1250  0.000e+00  0.000e+00  3.082e-01  1.718e-01
