*** SOLVE walking ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.731e+05  1.731e+05  2.264e+07  4.529e+07  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  6.265e+01  2.264e+07  2.248e+07  2.264e+07  2.248e+07
   1  2.655e+04  6.314e+04  1.684e+05  3.353e+05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  9.529e+00  1.684e+05  1.466e+05  3.724e+05  3.506e+05
   2  2.019e+04  3.015e+04  2.134e+04  4.271e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.592e+00  2.134e+04  6.352e+03  4.798e+04  3.299e+04
   3  8.670e+03  1.813e+04  1.505e+04  3.009e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.140e+00  1.505e+04  1.152e+04  2.709e+04  2.356e+04
   4  5.268e+03  1.190e+04  3.575e+03  7.152e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  7.999e-01  3.575e+03  3.402e+03  6.398e+03  6.225e+03
   5  5.503e+03  9.659e+03  2.117e+02  4.240e+02  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  5.011e-01  1.589e+02 -2.352e+02  1.398e+03  2.243e+03
   6  5.086e+03  5.484e+03  4.158e+02  8.321e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  4.793e-02  4.158e+02  4.167e+02  4.174e+03  4.175e+03
   7  5.098e+03  5.323e+03  2.736e+01  5.476e+01  1.000e-09  1.000e-09  0.2500  0.000e+00  0.000e+00  2.711e-02  1.198e+01 -1.206e+01  5.516e+01  1.607e+02
   8  5.075e+03  5.308e+03  2.365e+01  4.734e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.818e-02  2.365e+01  2.358e+01  1.475e+01  1.468e+01
   9  5.083e+03  5.090e+03  5.148e-01  1.024e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  8.962e-04  5.148e-01 -8.320e+00  2.268e+02  2.180e+02
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  5.078e+03  5.084e+03  8.513e+00  1.703e+01  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  4.894e-04  6.385e+00  5.426e+00  9.145e+00  1.095e+01
  11  5.074e+03  5.078e+03  3.368e+00  6.737e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.592e-04  3.368e+00  3.390e+00  6.492e+00  6.513e+00
  12  5.075e+03  5.078e+03  4.173e-01  8.346e-01  1.000e-09  1.000e-09  0.2500  0.000e+00  0.000e+00  1.927e-04  1.826e-01 -8.136e-01  4.083e-01  8.911e-02
  13  5.074e+03  5.076e+03  8.480e-01  1.696e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.232e-04  8.480e-01  8.485e-01  1.791e+00  1.791e+00
  14  5.075e+03  5.075e+03  3.197e-02  6.395e-02  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  6.536e-05  2.398e-02 -3.120e-01  4.165e-01  4.730e-01
  15  5.074e+03  5.074e+03  3.211e-01  6.422e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.616e-05  3.211e-01  3.211e-01  9.888e-01  9.888e-01
  16  5.074e+03  5.074e+03  4.951e-06  6.387e-06  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  3.571e-08  4.951e-06  4.977e-06  2.188e-01  2.188e-01
  17  5.074e+03  5.074e+03  9.482e-08  7.046e-08  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  3.431e-10 -9.482e-08 -9.449e-08  4.799e-04  4.799e-04
*** SOLVE walking ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
