*** SOLVE walking ***
iter    cost       merit      stop       grad       preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.532e+05  0.000e+00  2.264e+07  4.528e+07  1.000e-02  1.000e-02  1.0000  5.457e-14  0.000e+00  0.000e+00  2.264e+07  2.250e+07  0.000e+00  0.000e+00
   1  8.625e+04  0.000e+00  5.223e+04  3.272e+05  1.000e-03  1.000e-03  1.0000  0.000e+00  0.000e+00  0.000e+00  5.223e+04  6.693e+04  0.000e+00  0.000e+00
   2  1.567e+04  0.000e+00  8.159e+04  1.622e+05  1.000e-04  1.000e-04  1.0000  0.000e+00  0.000e+00  0.000e+00  8.159e+04  7.058e+04  0.000e+00  0.000e+00
   3  1.050e+04  0.000e+00  1.076e+04  2.150e+04  1.000e-04  1.000e-04  0.5000  0.000e+00  0.000e+00  0.000e+00  8.067e+03  5.167e+03  0.000e+00  0.000e+00
   4  5.164e+03  0.000e+00  5.408e+03  1.081e+04  1.000e-05  1.000e-05  1.0000  0.000e+00  0.000e+00  0.000e+00  5.408e+03  5.340e+03  0.000e+00  0.000e+00
   5  5.142e+03  0.000e+00  1.113e+02  2.225e+02  1.000e-05  1.000e-05  0.2500  0.000e+00  0.000e+00  0.000e+00  4.867e+01  2.205e+01  0.000e+00  0.000e+00
   6  5.076e+03  0.000e+00  7.020e+01  1.404e+02  1.000e-06  1.000e-06  1.0000  0.000e+00  0.000e+00  0.000e+00  7.020e+01  6.657e+01  0.000e+00  0.000e+00
   7  5.075e+03  0.000e+00  4.787e+00  9.575e+00  1.000e-07  1.000e-07  1.0000  0.000e+00  0.000e+00  0.000e+00  4.787e+00  1.058e+00  0.000e+00  0.000e+00
   8  5.073e+03  0.000e+00  3.941e+00  7.881e+00  1.000e-07  1.000e-07  0.5000  0.000e+00  0.000e+00  0.000e+00  2.955e+00  1.968e+00  0.000e+00  0.000e+00
   9  5.071e+03  0.000e+00  1.794e+00  3.588e+00  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  0.000e+00  1.794e+00  1.815e+00  0.000e+00  0.000e+00
iter    cost       merit      stop       grad       preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  5.071e+03  0.000e+00  4.193e-01  8.386e-01  1.000e-08  1.000e-08  0.0312  0.000e+00  0.000e+00  0.000e+00  2.580e-02  1.051e-02  0.000e+00  0.000e+00
  11  5.071e+03  0.000e+00  1.438e-02  2.876e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.438e-02  1.438e-02  0.000e+00  0.000e+00
  12  5.071e+03  0.000e+00  1.109e-06  2.219e-06  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.109e-06  1.196e-06  0.000e+00  0.000e+00
  13  5.071e+03  0.000e+00  2.984e-08  5.968e-08  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.984e-08  3.373e-08  0.000e+00  0.000e+00
*** SOLVE walking ***
iter    cost       merit      stop       grad       preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  9.507e+06  0.000e+00  3.630e+07  7.216e+07  1.000e-01  1.000e-01  0.5000  2.098e+00  0.000e+00  0.000e+00  2.717e+07  2.683e+07  0.000e+00  0.000e+00
