*** SOLVE walking ***
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
   0  1.15825e+06  3.08454e+09  8.10612e+07  1.00000e-02  1.00000e-02   1.0000     1
   1  1.20312e+05  1.18690e+08  2.31390e+06  1.00000e-03  1.00000e-03   1.0000     1
   2  1.73531e+03  3.46775e+07  2.39055e+05  1.00000e-04  1.00000e-04   1.0000     1
   3  7.65753e+02  3.94554e+06  1.94737e+03  1.00000e-05  1.00000e-05   1.0000     1
   4  7.61391e+02  1.31205e+04  8.72483e+00  1.00000e-06  1.00000e-06   1.0000     1
   5  7.61391e+02  2.51348e-02  6.88733e-05  1.00000e-07  1.00000e-07   1.0000     1
   6  7.61391e+02  3.59103e-07  5.86257e-07  1.00000e-08  1.00000e-08   1.0000     1
   7  7.61391e+02  8.32446e-10  8.94004e-09  1.00000e-09  1.00000e-09   1.0000     1
*** SOLVE walking ***
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
   0  1.23256e+06  1.32614e+10  3.69455e+08  1.00000e-02  1.00000e-02   1.0000     1
   1  1.25284e+05  1.25947e+08  2.46199e+06  1.00000e-03  1.00000e-03   1.0000     1
   2  1.96372e+03  3.80122e+07  2.48604e+05  1.00000e-04  1.00000e-04   1.0000     1
   3  9.57185e+02  3.93920e+06  2.02273e+03  1.00000e-05  1.00000e-05   1.0000     1
   4  9.51989e+02  1.42955e+04  1.03902e+01  1.00000e-06  1.00000e-06   1.0000     1
   5  9.51989e+02  1.31179e-01  1.73358e-04  1.00000e-07  1.00000e-07   1.0000     1
   6  9.51989e+02  1.04273e-06  1.49430e-06  1.00000e-08  1.00000e-08   1.0000     1
   7  9.51989e+02  3.09952e-09  2.48889e-08  1.00000e-09  1.00000e-09   1.0000     1
   8  9.51989e+02  8.74225e-11  4.67994e-10  1.00000e-09  1.00000e-09   1.0000     1
*** SOLVE walking ***
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
   0  1.10575e+06  3.07089e+10  8.74294e+08  1.00000e-02  1.00000e-02   1.0000     1
   1  9.82289e+04  1.04452e+08  2.20834e+06  1.00000e-03  1.00000e-03   1.0000     1
   2  2.29493e+03  3.32464e+07  1.94494e+05  1.00000e-04  1.00000e-04   1.0000     1
   3  9.59187e+02  4.83906e+06  2.68405e+03  1.00000e-05  1.00000e-05   1.0000     1
   4  9.52600e+02  1.63914e+04  1.31751e+01  1.00000e-06  1.00000e-06   1.0000     1
   5  9.52600e+02  3.84877e-01  4.84417e-04  1.00000e-07  1.00000e-07   1.0000     1
   6  9.52600e+02  3.93861e-06  3.80078e-06  1.00000e-08  1.00000e-08   1.0000     1
   7  9.52600e+02  1.09984e-08  6.38295e-08  1.00000e-09  1.00000e-09   1.0000     1
   8  9.52600e+02  2.13976e-10  1.11149e-09  1.00000e-09  1.00000e-09   1.0000     1
*** SOLVE walking ***
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
   0  9.97256e+05  5.54162e+10  1.59558e+09  1.00000e-02  1.00000e-02   1.0000     1
   1  7.26949e+04  8.87034e+07  1.99131e+06  1.00000e-03  1.00000e-03   1.0000     1
   2  2.91463e+03  2.87425e+07  1.43426e+05  1.00000e-04  1.00000e-04   1.0000     1
   3  9.63182e+02  6.07916e+06  3.92224e+03  1.00000e-05  1.00000e-05   1.0000     1
   4  9.53306e+02  2.02322e+04  1.97555e+01  1.00000e-06  1.00000e-06   1.0000     1
   5  9.53305e+02  1.11507e+00  1.41303e-03  1.00000e-07  1.00000e-07   1.0000     1
   6  9.53305e+02  1.68794e-05  8.18142e-06  1.00000e-08  1.00000e-08   1.0000     1
   7  9.53305e+02  2.79751e-08  1.36155e-07  1.00000e-09  1.00000e-09   1.0000     1
   8  9.53305e+02  4.52188e-10  2.35055e-09  1.00000e-09  1.00000e-09   1.0000     1
