iter     cost         stop         grad         xreg         ureg       step    ||ffeas||
   0  7.81696e-04  7.74442e-05  -3.34270e-01  1.00000e-09  1.00000e-09  0.0625  3.14000e+00
   1  1.71758e-03  6.77315e-05  -2.57466e-01  1.00000e-09  1.00000e-09  0.0312  2.94375e+00
   2  3.34279e-03  6.36317e-05  -2.15947e-01  1.00000e-09  1.00000e-09  0.0312  2.85176e+00
   3  4.01943e-03  5.97250e-05  -2.28465e-01  1.00000e-09  1.00000e-09  0.0156  2.76264e+00
   4  4.94844e-03  5.79593e-05  -2.49335e-01  1.00000e-09  1.00000e-09  0.0156  2.71947e+00
   5  6.89115e-03  5.63982e-05  -3.25607e-01  1.00000e-09  1.00000e-09  0.0156  2.67698e+00
   6  7.89744e-03  4.53301e-05  -6.74346e-01  1.00000e-09  1.00000e-09  0.0312  2.63515e+00
   7  9.19933e-03  4.25147e-05  -4.23795e-01  1.00000e-09  1.00000e-09  0.0312  2.55281e+00
   8  1.08819e-02  4.01123e-05  -3.36961e-01  1.00000e-09  1.00000e-09  0.0312  2.47303e+00
   9  1.49149e-02  3.81512e-05  -2.57511e-01  1.00000e-09  1.00000e-09  0.0625  2.39575e+00
iter     cost         stop         grad         xreg         ureg       step    ||ffeas||
  10  2.12472e-02  3.43679e-05  -1.44855e-01  1.00000e-09  1.00000e-09  0.1250  2.24601e+00
  11  2.40644e-02  2.60782e-05  -3.82550e-02  1.00000e-09  1.00000e-09  0.1250  1.96526e+00
  12  2.51584e-02  2.02085e-05  -6.04018e-03  1.00000e-09  1.00000e-09  0.1250  1.71960e+00
  13  2.75658e-02  1.70977e-05  3.45513e-03  1.00000e-09  1.00000e-09  0.2500  1.50465e+00
  14  2.66307e-02  9.71336e-06  7.17335e-03  1.00000e-09  1.00000e-09  0.2500  1.12849e+00
  15  2.60061e-02  5.84670e-06  5.04973e-03  1.00000e-09  1.00000e-09  0.1250  8.46368e-01
  16  2.55208e-02  4.56039e-06  3.98509e-03  1.00000e-09  1.00000e-09  0.1250  7.40572e-01
  17  2.54342e-02  3.71776e-06  3.28496e-03  1.00000e-09  1.00000e-09  0.2500  6.48000e-01
  18  2.47101e-02  2.62370e-06  3.97878e-03  1.00000e-09  1.00000e-09  0.5000  4.86000e-01
  19  2.34023e-02  2.16771e-06  4.62598e-03  1.00000e-09  1.00000e-09  0.2500  2.43000e-01
iter     cost         stop         grad         xreg         ureg       step    ||ffeas||
  20  2.26875e-02  1.41034e-06  2.77357e-03  1.00000e-09  1.00000e-09  0.2500  1.82250e-01
  21  2.21794e-02  9.87102e-07  1.94514e-03  1.00000e-09  1.00000e-09  0.2500  1.36688e-01
  22  2.17419e-02  6.91452e-07  1.40402e-03  1.00000e-09  1.00000e-09  0.2500  1.02516e-01
  23  2.13914e-02  4.62661e-07  9.09440e-04  1.00000e-09  1.00000e-09  0.2500  7.68868e-02
  24  2.09937e-02  3.00613e-07  5.21654e-04  1.00000e-09  1.00000e-09  0.5000  5.76651e-02
  25  2.06390e-02  2.06143e-07  2.27861e-04  1.00000e-09  1.00000e-09  1.0000  2.88325e-02
  26  2.06022e-02  8.14512e-08  7.24839e-05  1.00000e-09  1.00000e-09  1.0000  0.00000e+00
  27  2.05919e-02  3.74923e-07  1.92014e-05  1.00000e-09  1.00000e-09  1.0000  0.00000e+00
  28  2.05898e-02  5.69203e-08  5.46940e-06  1.00000e-09  1.00000e-09  1.0000  0.00000e+00
  29  2.05889e-02  2.19882e-09  5.76087e-06  1.00000e-09  1.00000e-09  0.5000  0.00000e+00
iter     cost         stop         grad         xreg         ureg       step    ||ffeas||
  30  2.05884e-02  1.30788e-09  2.78592e-06  1.00000e-09  1.00000e-09  0.5000  0.00000e+00
  31  2.05881e-02  7.88890e-10  1.68261e-06  1.00000e-09  1.00000e-09  0.5000  0.00000e+00
