*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  4.509e-03  4.509e-03  3.283e+00  0.000e+00  1.000e-09  1.000e-09  0.0625  2.944e+00  0.000e+00  3.394e-01 -4.247e-03 -4.509e-03 -4.247e-03 -4.509e-03
   1  9.933e-03  9.933e-03  3.428e+00  1.259e-01  1.000e-09  1.000e-09  0.0312  2.852e+00  0.000e+00  5.764e-01 -4.818e-03 -5.424e-03 -4.818e-03 -5.424e-03
   2  1.959e-02  1.959e-02  3.581e+00  1.776e-01  1.000e-09  1.000e-09  0.0312  2.763e+00  0.000e+00  8.188e-01 -6.372e-03 -9.660e-03 -6.372e-03 -9.660e-03
   3  2.475e-02  2.475e-02  3.517e+00  2.413e-01  1.000e-09  1.000e-09  0.0156  2.719e+00  0.000e+00  7.975e-01 -4.000e-03 -5.162e-03 -4.000e-03 -5.162e-03
   4  3.269e-02  3.269e-02  3.346e+00  2.786e-01  1.000e-09  1.000e-09  0.0156  2.677e+00  0.000e+00  6.693e-01 -4.619e-03 -7.931e-03 -4.619e-03 -7.931e-03
   5  3.689e-02  3.689e-02  3.190e+00  3.180e-01  1.000e-09  1.000e-09  0.0078  2.656e+00  0.000e+00  5.342e-01 -2.580e-03 -4.206e-03 -2.580e-03 -4.206e-03
   6  5.115e-02  5.115e-02  3.426e+00  3.056e-01  1.000e-09  1.000e-09  0.0156  2.615e+00  0.000e+00  8.119e-01 -5.200e-03 -1.426e-02 -5.200e-03 -1.426e-02
   7  4.955e-02  4.955e-02  3.342e+00  1.519e-01  1.000e-09  1.000e-09  0.0312  2.533e+00  0.000e+00  8.096e-01  1.951e-03  1.604e-03  1.951e-03  1.604e-03
   8  5.532e-02  5.532e-02  3.448e+00  2.145e-01  1.000e-09  1.000e-09  0.0156  2.493e+00  0.000e+00  9.542e-01 -3.873e-03 -5.777e-03 -3.873e-03 -5.777e-03
   9  5.687e-02  5.687e-02  3.979e+00  7.769e-02  1.000e-09  1.000e-09  0.0156  2.454e+00  0.000e+00  1.525e+00 -1.604e-03 -1.545e-03 -1.604e-03 -1.545e-03
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  5.875e-02  5.875e-02  4.788e+00  1.280e-01  1.000e-09  1.000e-09  0.0156  2.416e+00  0.000e+00  2.372e+00 -2.314e-03 -1.878e-03 -2.314e-03 -1.878e-03
  11  6.007e-02  6.007e-02  6.820e+00  1.437e-01  1.000e-09  1.000e-09  0.0156  2.378e+00  0.000e+00  4.442e+00 -2.504e-03 -1.327e-03 -2.504e-03 -1.327e-03
  12  6.149e-02  6.149e-02  6.900e+00  1.585e-01  1.000e-09  1.000e-09  0.0078  2.360e+00  0.000e+00  4.540e+00 -1.292e-03 -1.414e-03 -1.292e-03 -1.414e-03
  13  6.672e-02  6.672e-02  9.665e+00  1.699e-01  1.000e-09  1.000e-09  0.0156  2.323e+00  0.000e+00  7.342e+00 -2.854e-03 -5.226e-03 -2.854e-03 -5.226e-03
  14  7.122e-02  7.122e-02  1.102e+01  1.682e-01  1.000e-09  1.000e-09  0.0156  2.286e+00  0.000e+00  8.731e+00 -2.800e-03 -4.508e-03 -2.800e-03 -4.508e-03
  15  8.260e-02  8.260e-02  8.459e+00  1.829e-01  1.000e-09  1.000e-09  0.0156  2.251e+00  0.000e+00  6.209e+00 -3.019e-03 -1.138e-02 -3.019e-03 -1.138e-02
  16  8.801e-02  8.801e-02  8.102e+00  1.469e-01  1.000e-09  1.000e-09  0.0312  2.180e+00  0.000e+00  5.922e+00 -5.181e-03 -5.404e-03 -5.181e-03 -5.404e-03
  17  9.428e-02  9.428e-02  7.268e+00  1.591e-01  1.000e-09  1.000e-09  0.0312  2.112e+00  0.000e+00  5.156e+00 -5.453e-03 -6.270e-03 -5.453e-03 -6.270e-03
  18  1.002e-01  1.002e-01  6.467e+00  1.554e-01  1.000e-09  1.000e-09  0.0312  2.046e+00  0.000e+00  4.421e+00 -5.259e-03 -5.909e-03 -5.259e-03 -5.909e-03
  19  1.126e-01  1.126e-01  5.414e+00  1.517e-01  1.000e-09  1.000e-09  0.0625  1.918e+00  0.000e+00  3.496e+00 -1.087e-02 -1.244e-02 -1.087e-02 -1.244e-02
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  1.300e-01  1.300e-01  6.281e+00  9.985e-02  1.000e-09  1.000e-09  0.1250  1.679e+00  0.000e+00  4.602e+00 -1.645e-02 -1.734e-02 -1.645e-02 -1.734e-02
  21  1.418e-01  1.418e-01  6.443e+00  6.490e-02  1.000e-09  1.000e-09  0.1250  1.469e+00  0.000e+00  4.975e+00 -1.103e-02 -1.179e-02 -1.103e-02 -1.179e-02
  22  1.796e-01  1.796e-01  1.168e+01  8.318e-02  1.000e-09  1.000e-09  0.2500  1.102e+00  0.000e+00  1.058e+01 -3.519e-02 -3.782e-02 -3.519e-02 -3.782e-02
  23  1.656e-01  1.668e-01  3.123e+00  6.508e-02  1.000e-09  1.000e-09  0.5000  5.508e-01  0.000e+00  2.572e+00  1.706e-02  1.394e-02  1.871e-02  1.724e-02
  24  2.726e-01  2.808e-01  4.283e+01  8.990e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  4.283e+01 -8.548e-02 -1.069e-01 -9.314e-02 -1.146e-01
  25  2.524e-01  3.392e-01  3.466e+01  1.863e-01  1.000e-09  1.000e-09  0.1250  0.000e+00  0.000e+00  3.466e+01  2.155e-02  2.014e-02  2.410e-02  4.061e-02
  26  2.251e-01  3.696e-01  2.914e+01  2.332e-01  1.000e-09  1.000e-09  0.1250  0.000e+00  0.000e+00  2.914e+01  2.738e-02  2.735e-02  3.080e-02  5.473e-02
  27  2.065e-01  2.931e-01  2.448e+01  1.596e-01  1.000e-09  1.000e-09  0.1250  0.000e+00  0.000e+00  2.448e+01  1.858e-02  1.860e-02  2.064e-02  3.507e-02
  28  1.921e-01  2.283e-01  2.049e+01  1.089e-01  1.000e-09  1.000e-09  0.1250  0.000e+00  0.000e+00  2.049e+01  1.226e-02  1.438e-02  1.315e-02  2.144e-02
  29  1.816e-01  1.948e-01  1.484e+01  7.069e-02  1.000e-09  1.000e-09  0.2500  0.000e+00  0.000e+00  1.484e+01  1.309e-02  1.044e-02  1.435e-02  1.544e-02
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  30  1.685e-01  2.228e-01  1.037e+01  1.180e-01  1.000e-09  1.000e-09  0.1250  0.000e+00  0.000e+00  1.037e+01  1.376e-02  1.314e-02  1.668e-02  3.650e-02
  31  1.430e-01  1.666e-01  4.097e+00  8.969e-02  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  4.097e+00  3.288e-02  2.553e-02  5.096e-02  6.168e-02
  32  1.310e-01  1.449e-01  3.623e+00  3.828e-02  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  3.623e+00  1.232e-02  1.193e-02  1.323e-02  1.375e-02
  33  1.326e-01  1.338e-01  6.067e-01  4.952e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  6.067e-01 -1.394e-03 -1.597e-03  4.396e-03  4.193e-03
  34  1.322e-01  1.323e-01  8.115e-02  5.282e-04  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  8.115e-02  3.794e-04  4.181e-04  8.837e-04  9.225e-04
  35  1.323e-01  1.323e-01  2.568e-04  3.899e-05  1.000e-07  1.000e-07  1.0000  0.000e+00  0.000e+00  2.568e-04 -5.005e-05 -5.997e-05 -1.123e-05 -2.115e-05
  36  1.323e-01  1.323e-01  1.155e-04  2.830e-05  1.000e-06  1.000e-06  1.0000  0.000e+00  0.000e+00  1.155e-04  1.524e-05 -6.033e-06  2.722e-05  5.945e-06
  37  1.323e-01  1.323e-01  1.763e-04  3.341e-05  1.000e-05  1.000e-05  0.5000  0.000e+00  0.000e+00  1.763e-04  1.456e-05  1.039e-05  5.233e-06 -8.256e-06
  38  1.323e-01  1.323e-01  9.384e-07  1.090e-06  1.000e-04  1.000e-04  1.0000  0.000e+00  0.000e+00  6.277e-07  1.063e-06  1.015e-06  2.802e-05  2.798e-05
  39  1.323e-01  1.323e-01  3.157e-08  3.592e-08  1.000e-03  1.000e-03  1.0000  0.000e+00  0.000e+00  1.587e-09  3.574e-08  3.544e-08  8.667e-08  8.637e-08
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  40  1.323e-01  1.323e-01  2.881e-09  3.263e-09  1.000e-02  1.000e-02  1.0000  0.000e+00  0.000e+00  1.358e-11  3.262e-09  3.259e-09  3.390e-09  3.387e-09
  41  1.323e-01  1.323e-01  2.865e-10  3.244e-10  1.000e-01  1.000e-01  1.0000  0.000e+00  0.000e+00  7.017e-14  3.244e-10  3.244e-10  3.255e-10  3.255e-10
*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.087e+00  4.561e+00  8.541e+01  0.000e+00  1.000e-09  1.000e-09  1.0000  8.541e+01  0.000e+00  5.494e-11 -1.087e+00 -1.087e+00 -4.433e+00 -4.433e+00
   1  9.056e-01  1.791e+00  4.354e+01  5.333e-01  1.000e-09  1.000e-09  0.5000  4.354e+01  0.000e+00  2.992e-11  1.817e-01  1.817e-01  6.074e-01  1.033e+00
   2  8.173e-01  1.138e+00  3.156e+01  2.890e-01  1.000e-09  1.000e-09  0.5000  3.156e+01  0.000e+00  2.097e-11  8.833e-02  8.833e-02  1.492e-01  2.101e-01
   3  8.328e-01  1.010e+00  3.488e+01  7.194e-02  1.000e-09  1.000e-09  1.0000  3.488e+01  0.000e+00  7.792e-12 -1.549e-02 -1.549e-02 -3.237e-02 -3.237e-02
   4  7.242e-01  9.415e-01  4.886e+01  2.555e-01  1.000e-09  1.000e-09  1.0000  4.886e+01  0.000e+00  2.399e-12  1.086e-01  1.086e-01  4.645e-02  4.645e-02
   5  5.813e-01  6.617e-01  1.925e+01  3.368e-01  1.000e-09  1.000e-09  1.0000  1.925e+01  0.000e+00  1.333e-12  1.429e-01  1.429e-01  2.666e-01  2.666e-01
   6  4.801e-01  6.450e-01  1.922e+01  2.889e-01  1.000e-09  1.000e-09  0.5000  1.922e+01  0.000e+00  1.993e-12  1.011e-01  1.011e-01  1.012e-01  1.014e-01
   7  4.562e-01  5.554e-01  2.315e+01  8.681e-02  1.000e-09  1.000e-09  1.0000  2.315e+01  0.000e+00  1.951e-12  2.393e-02  2.393e-02  7.119e-03  7.119e-03
   8  3.864e-01  5.548e-01  1.878e+01  3.241e-01  1.000e-09  1.000e-09  0.2500  1.878e+01  0.000e+00  2.138e-12  6.985e-02  6.985e-02  7.964e-02  1.090e-01
   9  3.477e-01  4.221e-01  1.660e+01  8.524e-02  1.000e-09  1.000e-09  1.0000  1.660e+01  0.000e+00  1.132e-11  3.869e-02  3.869e-02  4.848e-02  4.848e-02
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  2.769e-01  4.460e-01  2.777e+01  1.416e-01  1.000e-09  1.000e-09  1.0000  2.777e+01  0.000e+00  6.550e-12  7.073e-02  7.073e-02  2.746e-03  2.746e-03
  11  2.658e-01  2.938e-01  9.206e+00  7.997e-02  1.000e-09  1.000e-09  1.0000  9.206e+00  0.000e+00  3.199e-12  1.114e-02  1.114e-02  6.763e-02  6.763e-02
  12  2.205e-01  2.762e-01  9.690e+00  1.441e-01  1.000e-09  1.000e-09  0.5000  9.690e+00  0.000e+00  4.281e-12  4.527e-02  4.527e-02  4.388e-02  4.250e-02
