iter     cost         stop         grad         xreg         ureg       step    ||ffeas||    ||hfeas||
   0  1.64333e-01  1.82649e+01  3.19236e-13  1.00000e-09  1.00000e-09  1.0000  3.14000e+00  1.82649e+01
   1  1.64333e-01  1.82649e+01  2.72367e+00  1.00000e-09  1.00000e-09  0.0020  0.00000e+00  1.82649e+01
   2  1.16901e+01  6.67471e+04  2.54581e+05  1.00000e-03  1.00000e-03  1.0000  0.00000e+00  3.45026e+01
   3  8.85855e+01  3.54232e+04  1.47829e+06  1.00000e-03  1.00000e-03  1.0000  0.00000e+00  2.60965e+01
   4  2.37556e+01  1.41141e+04  5.49588e+05  1.00000e-03  1.00000e-03  1.0000  0.00000e+00  5.22900e+01
   5  2.71180e+00  4.61828e+02  4.28731e+04  1.00000e-04  1.00000e-04  1.0000  0.00000e+00  1.39465e+01
   6  1.54703e+00  1.63901e+02  6.52153e+03  1.00000e-05  1.00000e-05  1.0000  0.00000e+00  2.30959e+01
   7  3.93073e-01  1.30699e+01  6.67717e+02  1.00000e-06  1.00000e-06  1.0000  0.00000e+00  1.30699e+01
   8  3.47499e-01  8.02227e+00  5.72234e+01  1.00000e-07  1.00000e-07  1.0000  0.00000e+00  8.02227e+00
   9  3.15354e-01  1.45123e+00  4.50556e+00  1.00000e-08  1.00000e-08  1.0000  0.00000e+00  1.45123e+00
iter     cost         stop         grad         xreg         ureg       step    ||ffeas||    ||hfeas||
  10  2.72987e-01  3.00194e+00  1.19905e-01  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  3.00194e+00
  11  2.56556e-01  1.83058e+00  3.06444e-01  1.00000e-09  1.00000e-09  0.5000  0.00000e+00  1.83058e+00
  12  2.49312e-01  6.92248e-01  1.28323e-01  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  6.92248e-01
  13  2.35078e-01  9.42186e-01  1.50632e-01  1.00000e-09  1.00000e-09  1.0000  0.00000e+00  9.42186e-01
