*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  2.181e+06  5.456e+06  3.589e+00  4.651e+06  1.000e-09  1.000e-09  0.0312  3.589e+00  0.000e+00  0.000e+00  1.431e+05  1.454e+05  1.445e+05  1.915e+05
   1  2.046e+06  7.223e+06  5.969e+00  4.361e+06  1.000e-09  1.000e-09  0.0312  5.969e+00  0.000e+00  0.000e+00  1.341e+05  1.357e+05  6.962e+04 -1.929e+06
   2  1.795e+06  6.733e+06  1.009e+01  4.090e+06  1.000e-09  1.000e-09  0.0625  1.009e+01  0.000e+00  0.000e+00  2.476e+05  2.502e+05  1.215e+05 -1.768e+06
   3  1.576e+06  5.915e+06  1.708e+01  3.590e+06  1.000e-09  1.000e-09  0.0625  1.708e+01  0.000e+00  0.000e+00  2.174e+05  2.193e+05  1.064e+05 -1.556e+06
   4  1.385e+06  3.036e+06  1.252e+01  3.151e+06  1.000e-09  1.000e-09  0.0625  1.252e+01  0.000e+00  0.000e+00  1.908e+05  1.906e+05  2.283e+05  7.909e+05
   5  1.217e+06  4.915e+06  2.341e+01  2.769e+06  1.000e-09  1.000e-09  0.0625  2.341e+01  0.000e+00  0.000e+00  1.677e+05  1.683e+05  6.021e+04 -1.551e+06
   6  1.070e+06  1.960e+06  1.127e+01  2.433e+06  1.000e-09  1.000e-09  0.0625  1.127e+01  0.000e+00  0.000e+00  1.473e+05  1.474e+05  2.072e+05  1.106e+06
   7  9.400e+05  3.034e+06  1.546e+01  2.138e+06  1.000e-09  1.000e-09  0.0625  1.546e+01  0.000e+00  0.000e+00  1.295e+05  1.298e+05  9.399e+04 -4.375e+05
   8  7.192e+05  3.368e+06  3.053e+01  1.878e+06  1.000e-09  1.000e-09  0.1250  3.053e+01  0.000e+00  0.000e+00  2.201e+05  2.208e+05  5.666e+04 -1.087e+06
   9  6.322e+05  1.440e+06  1.862e+01  1.437e+06  1.000e-09  1.000e-09  0.0625  1.862e+01  0.000e+00  0.000e+00  8.702e+04  8.705e+04  1.193e+05  6.037e+05
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  5.558e+05  2.012e+06  3.009e+01  1.263e+06  1.000e-09  1.000e-09  0.0625  3.009e+01  0.000e+00  0.000e+00  7.646e+04  7.640e+04  4.178e+04 -4.786e+05
  11  5.216e+05  1.453e+06  3.535e+01  1.110e+06  1.000e-09  1.000e-09  0.0312  3.535e+01  0.000e+00  0.000e+00  3.416e+04  3.415e+04  2.983e+04 -1.045e+05
  12  4.895e+05  1.439e+06  4.515e+01  1.042e+06  1.000e-09  1.000e-09  0.0312  4.515e+01  0.000e+00  0.000e+00  3.205e+04  3.208e+04  2.561e+04 -1.740e+05
  13  4.595e+05  1.393e+06  6.043e+01  9.778e+05  1.000e-09  1.000e-09  0.0312  6.043e+01  0.000e+00  0.000e+00  3.008e+04  3.003e+04  2.270e+04 -2.061e+05
  14  4.312e+05  1.267e+06  7.710e+01  9.179e+05  1.000e-09  1.000e-09  0.0312  7.710e+01  0.000e+00  0.000e+00  2.824e+04  2.825e+04  2.259e+04 -1.524e+05
  15  4.048e+05  1.188e+06  9.826e+01  8.614e+05  1.000e-09  1.000e-09  0.0312  9.826e+01  0.000e+00  0.000e+00  2.650e+04  2.644e+04  2.123e+04 -1.423e+05
