*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.388e+06  6.983e+06  1.494e+03  4.651e+06  1.000e-09  1.000e-09  0.2500  7.645e-01  0.000e+00  1.493e+03  1.017e+06  9.384e+05  4.487e+05 -1.336e+06
   1  1.095e+06  3.357e+06  1.208e+03  2.773e+06  1.000e-09  1.000e-09  0.1250  6.689e-01  0.000e+00  1.207e+03  3.249e+05  2.937e+05  3.918e+05  8.291e+05
   2  8.383e+05  3.008e+06  1.681e+03  2.187e+06  1.000e-09  1.000e-09  0.1250  5.853e-01  0.000e+00  1.681e+03  2.563e+05  2.562e+05  1.799e+05 -3.546e+05
   3  4.721e+05  1.876e+06  1.975e+03  1.674e+06  1.000e-09  1.000e-09  0.2500  4.390e-01  0.000e+00  1.975e+03  3.662e+05  3.662e+05  3.140e+05  1.573e+05
   4  2.674e+05  8.685e+05  1.691e+03  9.421e+05  1.000e-09  1.000e-09  0.2500  3.292e-01  0.000e+00  1.691e+03  2.061e+05  2.047e+05  2.313e+05  3.056e+05
   5  1.538e+05  4.673e+05  1.393e+03  5.331e+05  1.000e-09  1.000e-09  0.2500  2.469e-01  0.000e+00  1.393e+03  1.166e+05  1.137e+05  1.334e+05  1.808e+05
   6  5.425e+04  4.331e+05  2.416e+03  3.059e+05  1.000e-09  1.000e-09  0.5000  1.235e-01  0.000e+00  2.416e+03  1.147e+05  9.953e+04  3.448e+04 -6.091e+04
   7  1.957e+04  1.394e+05  1.529e+03  1.070e+05  1.000e-09  1.000e-09  0.5000  6.173e-02  0.000e+00  1.529e+03  4.010e+04  3.468e+04  7.489e+04  1.043e+05
   8  1.132e+04  7.182e+04  1.543e+03  3.775e+04  1.000e-09  1.000e-09  0.2500  4.630e-02  0.000e+00  1.543e+03  8.256e+03  8.246e+03  8.111e+03  7.664e+03
   9  1.446e+04  3.858e+04  1.231e+03  2.130e+04  1.000e-09  1.000e-09  0.2500  3.472e-02  0.000e+00  1.231e+03  4.658e+03 -3.134e+03  6.188e+03  2.988e+03
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.026e+04  3.229e+04  1.375e+03  2.766e+04  1.000e-09  1.000e-09  0.5000  1.866e-02  0.000e+00  1.375e+03  1.037e+04  4.197e+03  9.213e+03  1.888e+03
  11  9.554e+03  2.198e+04  1.221e+03  1.959e+04  1.000e-09  1.000e-09  0.1250  1.642e-02  0.000e+00  1.221e+03  2.296e+03  7.055e+02  2.492e+03  2.271e+03
  12  6.532e+03  2.047e+04  1.300e+03  1.834e+04  1.000e-09  1.000e-09  0.2500  1.280e-02  0.000e+00  1.300e+03  4.012e+03  3.022e+03  3.802e+03  2.179e+03
