*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  2.026e+06  5.453e+06  2.288e+00  4.625e+06  1.000e-09  1.000e-09  0.0625  2.288e+00  0.000e+00  0.000e+00  2.800e+05  2.872e+05  2.722e+05  1.624e+05
   1  1.786e+06  5.652e+06  3.059e+00  4.050e+06  1.000e-09  1.000e-09  0.0625  3.059e+00  0.000e+00  0.000e+00  2.452e+05  2.400e+05  1.843e+05 -7.347e+05
   2  1.570e+06  5.628e+06  4.873e+00  3.571e+06  1.000e-09  1.000e-09  0.0625  4.873e+00  0.000e+00  0.000e+00  2.162e+05  2.165e+05  1.218e+05 -1.295e+06
   3  1.382e+06  4.628e+06  7.071e+00  3.137e+06  1.000e-09  1.000e-09  0.0625  7.071e+00  0.000e+00  0.000e+00  1.899e+05  1.878e+05  1.269e+05 -8.212e+05
   4  1.075e+06  4.120e+06  1.093e+01  2.761e+06  1.000e-09  1.000e-09  0.1250  1.093e+01  0.000e+00  0.000e+00  3.235e+05  3.074e+05  1.892e+05 -7.674e+05
   5  9.457e+05  2.385e+06  1.026e+01  2.147e+06  1.000e-09  1.000e-09  0.0625  1.026e+01  0.000e+00  0.000e+00  1.300e+05  1.291e+05  1.358e+05  2.224e+05
   6  6.287e+05  2.909e+06  1.735e+01  1.889e+06  1.000e-09  1.000e-09  0.2500  1.735e+01  0.000e+00  0.000e+00  4.132e+05  3.170e+05  1.803e+05 -6.145e+05
   7  4.356e+05  1.167e+06  1.112e+01  1.256e+06  1.000e-09  1.000e-09  0.2500  1.112e+01  0.000e+00  0.000e+00  2.748e+05  1.931e+05  3.770e+05  6.021e+05
   8  3.004e+05  8.924e+05  1.060e+01  8.698e+05  1.000e-09  1.000e-09  0.2500  1.060e+01  0.000e+00  0.000e+00  1.903e+05  1.352e+05  1.975e+05  1.643e+05
   9  2.039e+05  8.279e+05  1.546e+01  5.995e+05  1.000e-09  1.000e-09  0.5000  1.546e+01  0.000e+00  0.000e+00  2.248e+05  9.648e+04  1.267e+05 -9.963e+04
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.017e+05  4.215e+05  1.585e+01  4.068e+05  1.000e-09  1.000e-09  0.5000  1.585e+01  0.000e+00  0.000e+00  1.525e+05  1.022e+05  1.486e+05  9.442e+04
  11  2.997e+04  1.346e+05  1.038e+01  2.030e+05  1.000e-09  1.000e-09  0.5000  1.038e+01  0.000e+00  0.000e+00  7.612e+04  7.174e+04  1.037e+05  1.269e+05
  12  1.214e+04  6.618e+04  1.071e+01  5.968e+04  1.000e-09  1.000e-09  0.5000  1.071e+01  0.000e+00  0.000e+00  2.238e+04  1.783e+04  2.153e+04  1.613e+04
  13  9.951e+03  3.114e+04  8.400e+00  2.405e+04  1.000e-09  1.000e-09  0.2500  8.400e+00  0.000e+00  0.000e+00  5.261e+03  2.191e+03  6.720e+03  8.025e+03
  14  9.407e+03  2.127e+04  7.101e+00  1.966e+04  1.000e-09  1.000e-09  1.0000  7.101e+00  0.000e+00  0.000e+00  9.823e+03  5.437e+02  1.199e+04  2.715e+03
  15  1.018e+04  2.000e+04  5.246e+00  1.862e+04  1.000e-09  1.000e-09  0.2500  5.246e+00  0.000e+00  0.000e+00  4.072e+03 -7.713e+02  4.941e+03  2.703e+03
  16  5.621e+03  1.270e+04  2.577e+00  2.017e+04  1.000e-09  1.000e-09  0.5000  2.577e+00  0.000e+00  0.000e+00  7.564e+03  4.557e+03  1.123e+04  1.189e+04
  17  4.259e+03  9.444e+03  1.690e+00  1.107e+04  1.000e-09  1.000e-09  0.5000  1.690e+00  0.000e+00  0.000e+00  4.152e+03  1.362e+03  5.513e+03  4.085e+03
  18  3.177e+03  8.174e+03  1.414e+00  8.356e+03  1.000e-09  1.000e-09  0.2500  1.414e+00  0.000e+00  0.000e+00  1.828e+03  1.082e+03  2.071e+03  2.055e+03
  19  1.872e+03  6.199e+03  1.654e+00  6.196e+03  1.000e-09  1.000e-09  0.2500  1.383e+00  0.000e+00  0.000e+00  1.355e+03  1.304e+03  1.380e+03  1.404e+03
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  1.150e+03  5.532e+03  2.362e+00  3.591e+03  1.000e-09  1.000e-09  0.2500  2.362e+00  0.000e+00  0.000e+00  7.855e+02  7.227e+02  3.312e+02 -1.094e+03
  21  9.033e+02  3.650e+03  2.961e+00  2.147e+03  1.000e-09  1.000e-09  0.2500  2.961e+00  0.000e+00  0.000e+00  4.697e+02  2.463e+02  3.308e+02 -3.093e+02
  22  8.072e+02  2.079e+03  2.743e+00  1.657e+03  1.000e-09  1.000e-09  0.1250  2.743e+00  0.000e+00  0.000e+00  1.941e+02  9.607e+01  2.068e+02  1.974e+02
  23  3.013e+02  1.455e+03  3.024e+00  1.465e+03  1.000e-09  1.000e-09  0.5000  3.024e+00  0.000e+00  0.000e+00  5.494e+02  5.058e+02  4.957e+02  3.984e+02
  24  3.076e+02  8.492e+02  2.839e+00  4.575e+02  1.000e-09  1.000e-09  0.0625  2.839e+00  0.000e+00  0.000e+00  2.770e+01 -6.279e+00  2.992e+01  2.914e+01
  25  3.611e+02  5.536e+02  1.627e+00  4.697e+02  1.000e-09  1.000e-09  0.5000  1.627e+00  0.000e+00  0.000e+00  1.762e+02 -5.353e+01  2.479e+02  8.983e+01
  26  3.749e+02  7.642e+02  1.530e+00  5.791e+02  1.000e-09  1.000e-09  0.0625  1.530e+00  0.000e+00  0.000e+00  3.506e+01 -1.377e+01  3.660e+01  1.090e+01
  27  3.653e+02  6.401e+02  9.694e-01  6.068e+02  1.000e-09  1.000e-09  1.0000  9.694e-01  0.000e+00  0.000e+00  3.036e+02  9.651e+00  4.625e+02  1.685e+02
  28  3.695e+02  7.823e+02  9.397e-01  5.954e+02  1.000e-09  1.000e-09  0.0312  9.397e-01  0.000e+00  0.000e+00  1.831e+01 -4.257e+00  1.872e+01  8.772e+00
  29  3.282e+02  7.100e+02  9.161e-01  6.025e+02  1.000e-09  1.000e-09  0.1250  8.327e-01  0.000e+00  0.000e+00  7.061e+01  4.129e+01  7.674e+01  9.036e+01
