*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.322e+06  7.426e+06  1.639e+03  4.625e+06  1.000e-09  1.000e-09  0.2500  7.645e-01  0.000e+00  1.638e+03  1.012e+06  9.915e+05  3.110e+05 -1.811e+06
   1  1.015e+06  4.002e+06  1.604e+03  2.641e+06  1.000e-09  1.000e-09  0.1250  6.689e-01  0.000e+00  1.603e+03  3.094e+05  3.067e+05  3.175e+05  3.719e+05
   2  7.777e+05  2.963e+06  2.347e+03  2.028e+06  1.000e-09  1.000e-09  0.1250  5.853e-01  0.000e+00  2.347e+03  2.376e+05  2.376e+05  1.511e+05 -4.544e+05
   3  4.382e+05  1.263e+06  1.748e+03  1.553e+06  1.000e-09  1.000e-09  0.2500  4.390e-01  0.000e+00  1.747e+03  3.397e+05  3.395e+05  4.104e+05  6.226e+05
   4  1.104e+05  1.224e+06  3.117e+03  8.746e+05  1.000e-09  1.000e-09  0.5000  2.195e-01  0.000e+00  3.117e+03  3.280e+05  3.277e+05  8.328e+04 -1.616e+05
   5  2.818e+04  4.793e+05  2.525e+03  2.195e+05  1.000e-09  1.000e-09  0.5000  1.097e-01  0.000e+00  2.525e+03  8.228e+04  8.227e+04  1.352e+05  1.881e+05
   6  7.711e+03  1.638e+05  1.747e+03  5.499e+04  1.000e-09  1.000e-09  0.5000  5.487e-02  0.000e+00  1.747e+03  2.059e+04  2.046e+04  5.535e+04  8.998e+04
   7  4.626e+03  8.128e+04  1.716e+03  1.413e+04  1.000e-09  1.000e-09  0.2500  4.115e-02  0.000e+00  1.716e+03  3.087e+03  3.085e+03  3.430e+03  4.456e+03
   8  3.334e+03  3.229e+04  1.297e+03  7.933e+03  1.000e-09  1.000e-09  0.5000  2.058e-02  0.000e+00  1.297e+03  2.960e+03  1.292e+03  7.644e+03  1.066e+04
   9  3.446e+03  1.713e+04  1.225e+03  5.742e+03  1.000e-09  1.000e-09  0.0625  1.929e-02  0.000e+00  1.225e+03  3.476e+02 -1.116e+02  3.975e+02  6.866e+02
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  3.640e+03  1.009e+04  1.156e+03  6.029e+03  1.000e-09  1.000e-09  0.0625  1.808e-02  0.000e+00  1.156e+03  3.650e+02 -1.941e+02  3.891e+02  1.924e+02
  11  3.205e+03  6.963e+03  9.505e+02  6.424e+03  1.000e-09  1.000e-09  0.2500  1.356e-02  0.000e+00  9.504e+02  1.404e+03  4.352e+02  1.607e+03  1.247e+03
  12  3.743e+03  6.084e+03  5.517e+02  5.664e+03  1.000e-09  1.000e-09  0.5000  7.028e-03  0.000e+00  5.517e+02  2.122e+03 -5.383e+02  2.968e+03  1.154e+03
  13  3.529e+03  7.129e+03  3.954e+02  7.032e+03  1.000e-09  1.000e-09  0.2500  5.086e-03  0.000e+00  3.954e+02  1.538e+03  2.141e+02  1.894e+03  1.637e+03
  14  3.336e+03  5.843e+03  2.097e+02  6.619e+03  1.000e-09  1.000e-09  0.5000  2.847e-03  0.000e+00  2.097e+02  2.482e+03  1.927e+02  3.593e+03  2.414e+03
  15  4.054e+03  7.582e+03  1.648e+02  6.282e+03  1.000e-09  1.000e-09  0.2500  2.988e-03  0.000e+00  1.648e+02  1.374e+03 -7.181e+02  1.614e+03  2.420e+02
  16  3.153e+03  8.027e+03  1.454e+02  7.736e+03  1.000e-09  1.000e-09  0.1250  2.780e-03  0.000e+00  1.454e+02  9.066e+02  9.015e+02  9.880e+02  1.553e+03
  17  9.383e+02  5.429e+03  1.540e+02  5.934e+03  1.000e-09  1.000e-09  0.5000  5.121e-03  0.000e+00  1.540e+02  2.225e+03  2.214e+03  2.100e+03  1.963e+03
  18  9.934e+02  3.118e+03  1.457e+02  1.548e+03  1.000e-09  1.000e-09  0.0625  4.832e-03  0.000e+00  1.457e+02  9.372e+01 -5.508e+01  1.013e+02  6.579e+01
  19  9.713e+02  2.100e+03  1.382e+02  1.666e+03  1.000e-09  1.000e-09  0.0625  4.560e-03  0.000e+00  1.381e+02  1.008e+02  2.215e+01  1.047e+02  8.392e+01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  7.925e+02  1.925e+03  1.339e+02  1.635e+03  1.000e-09  1.000e-09  0.1250  4.627e-03  0.000e+00  1.339e+02  1.916e+02  1.788e+02  1.961e+02  2.151e+02
  21  5.150e+02  1.729e+03  1.763e+02  1.289e+03  1.000e-09  1.000e-09  0.2500  5.810e-03  0.000e+00  1.763e+02  2.821e+02  2.775e+02  2.091e+02 -1.454e+01
  22  4.728e+02  1.098e+03  1.817e+02  7.519e+02  1.000e-09  1.000e-09  0.1250  5.231e-03  0.000e+00  1.817e+02  8.812e+01  4.217e+01  8.578e+01  2.342e+01
  23  4.149e+02  9.224e+02  1.895e+02  6.802e+02  1.000e-09  1.000e-09  0.1250  4.634e-03  0.000e+00  1.895e+02  7.971e+01  5.792e+01  7.710e+01  3.698e+01
  24  2.888e+02  8.356e+02  2.511e+02  5.767e+02  1.000e-09  1.000e-09  0.2500  3.889e-03  0.000e+00  2.511e+02  1.262e+02  1.261e+02  9.266e+01 -7.997e+00
  25  2.149e+02  5.081e+02  2.694e+02  3.373e+02  1.000e-09  1.000e-09  0.2500  3.134e-03  0.000e+00  2.694e+02  7.383e+01  7.387e+01  6.887e+01  5.404e+01
  26  1.505e+02  3.555e+02  3.765e+02  1.988e+02  1.000e-09  1.000e-09  0.5000  3.184e-03  0.000e+00  3.765e+02  7.469e+01  6.437e+01  4.553e+01  6.042e+00
  27  1.489e+02  2.485e+02  3.662e+02  9.540e+01  1.000e-09  1.000e-09  0.0312  3.062e-03  0.000e+00  3.662e+02  2.935e+00  1.649e+00  3.023e+00  4.465e+00
  28  1.474e+02  2.137e+02  3.608e+02  9.295e+01  1.000e-09  1.000e-09  0.0156  3.002e-03  0.000e+00  3.608e+02  1.441e+00  1.436e+00  1.457e+00  2.428e+00
  29  1.475e+02  2.125e+02  3.580e+02  9.054e+01  1.000e-09  1.000e-09  0.0078  2.972e-03  0.000e+00  3.580e+02  7.046e-01 -6.762e-02  7.085e-01  4.304e-01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  30  1.465e+02  2.106e+02  3.527e+02  8.995e+01  1.000e-09  1.000e-09  0.0156  2.914e-03  0.000e+00  3.527e+02  1.395e+00  9.664e-01  1.410e+00  1.929e+00
  31  1.369e+02  1.950e+02  3.257e+02  8.691e+01  1.000e-09  1.000e-09  0.1250  2.503e-03  0.000e+00  3.257e+02  1.019e+01  9.602e+00  1.079e+01  1.441e+01
  32  1.367e+02  1.896e+02  3.162e+02  7.521e+01  1.000e-09  1.000e-09  0.0312  2.406e-03  0.000e+00  3.162e+02  2.314e+00  1.877e-01  2.364e+00  1.780e+00
  33  1.356e+02  1.895e+02  3.114e+02  7.560e+01  1.000e-09  1.000e-09  0.0156  2.359e-03  0.000e+00  3.114e+02  1.172e+00  1.116e+00  1.185e+00  1.947e+00
  34  1.346e+02  1.862e+02  3.067e+02  7.254e+01  1.000e-09  1.000e-09  0.0156  2.312e-03  0.000e+00  3.067e+02  1.125e+00  1.072e+00  1.137e+00  1.870e+00
  35  1.330e+02  1.824e+02  2.976e+02  7.038e+01  1.000e-09  1.000e-09  0.0312  2.222e-03  0.000e+00  2.976e+02  2.165e+00  1.514e+00  2.213e+00  3.027e+00
  36  1.315e+02  1.801e+02  2.887e+02  6.924e+01  1.000e-09  1.000e-09  0.0312  2.134e-03  0.000e+00  2.887e+02  2.130e+00  1.512e+00  2.177e+00  3.012e+00
  37  1.297e+02  1.759e+02  2.800e+02  6.588e+01  1.000e-09  1.000e-09  0.0312  2.049e-03  0.000e+00  2.800e+02  2.027e+00  1.837e+00  2.072e+00  3.271e+00
  38  1.295e+02  1.744e+02  2.789e+02  6.232e+01  1.000e-09  1.000e-09  0.0039  2.038e-03  0.000e+00  2.789e+02  2.430e-01  1.994e-01  2.436e-01  3.747e-01
  39  1.404e+02  1.680e+02  1.778e+02  5.996e+01  1.000e-09  1.000e-09  0.5000  2.902e-03  0.000e+00  1.778e+02  2.258e+01 -1.090e+01  3.043e+01  4.804e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  40  1.431e+02  2.085e+02  1.651e+02  9.791e+01  1.000e-09  1.000e-09  0.0625  2.743e-03  0.000e+00  1.651e+02  5.929e+00 -2.753e+00  6.244e+00  2.283e+00
  41  1.439e+02  2.162e+02  1.596e+02  1.041e+02  1.000e-09  1.000e-09  0.0312  2.666e-03  0.000e+00  1.596e+02  3.202e+00 -7.808e-01  3.281e+00  1.726e+00
  42  1.380e+02  2.086e+02  1.482e+02  1.058e+02  1.000e-09  1.000e-09  0.0625  2.519e-03  0.000e+00  1.482e+02  6.409e+00  5.917e+00  6.747e+00  1.133e+01
  43  1.374e+02  2.014e+02  1.394e+02  9.478e+01  1.000e-09  1.000e-09  0.0625  2.379e-03  0.000e+00  1.394e+02  5.740e+00  6.167e-01  5.994e+00  4.685e+00
  44  1.359e+02  2.004e+02  1.311e+02  9.540e+01  1.000e-09  1.000e-09  0.0625  2.245e-03  0.000e+00  1.311e+02  5.777e+00  1.471e+00  6.030e+00  5.523e+00
  45  1.331e+02  1.961e+02  1.233e+02  9.326e+01  1.000e-09  1.000e-09  0.0625  2.119e-03  0.000e+00  1.233e+02  5.648e+00  2.825e+00  5.896e+00  6.797e+00
  46  1.327e+02  1.955e+02  1.224e+02  8.820e+01  1.000e-09  1.000e-09  0.0078  2.104e-03  0.000e+00  1.224e+02  6.863e-01  4.300e-01  6.902e-01  9.219e-01
  47  1.265e+02  1.753e+02  9.637e+01  8.629e+01  1.000e-09  1.000e-09  0.2500  1.716e-03  0.000e+00  9.637e+01  1.889e+01  6.204e+00  2.218e+01  1.937e+01
  48  1.190e+02  1.683e+02  8.505e+01  7.776e+01  1.000e-09  1.000e-09  0.1250  1.524e-03  0.000e+00  8.505e+01  9.116e+00  7.443e+00  9.936e+00  1.400e+01
  49  1.115e+02  1.522e+02  7.497e+01  6.416e+01  1.000e-09  1.000e-09  0.1250  1.355e-03  0.000e+00  7.497e+01  7.522e+00  7.525e+00  8.205e+00  1.299e+01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  50  1.103e+02  1.444e+02  7.039e+01  5.040e+01  1.000e-09  1.000e-09  0.0625  1.277e-03  0.000e+00  7.039e+01  3.052e+00  1.207e+00  3.191e+00  3.424e+00
  51  1.096e+02  1.427e+02  6.609e+01  4.892e+01  1.000e-09  1.000e-09  0.0625  1.202e-03  0.000e+00  6.609e+01  2.963e+00  6.941e-01  3.097e+00  2.846e+00
  52  1.039e+02  1.345e+02  5.811e+01  4.820e+01  1.000e-09  1.000e-09  0.1250  1.074e-03  0.000e+00  5.811e+01  5.652e+00  5.656e+00  6.176e+00  9.846e+00
  53  1.025e+02  1.287e+02  5.450e+01  3.883e+01  1.000e-09  1.000e-09  0.0625  1.011e-03  0.000e+00  5.450e+01  2.352e+00  1.479e+00  2.460e+00  3.219e+00
