*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  2.594e+02  4.691e+02  4.415e+00  5.158e+02  1.000e-09  1.000e-09  0.0625  1.048e+00  0.000e+00  3.367e+00  3.069e+01  2.993e+01  2.831e+01 -8.170e+00
   1  2.465e+02  5.241e+02  4.284e+00  4.559e+02  1.000e-09  1.000e-09  0.0312  1.025e+00  0.000e+00  3.258e+00  1.400e+01  1.294e+01  1.427e+01  2.147e+01
   2  2.468e+02  4.928e+02  4.214e+00  4.106e+02  1.000e-09  1.000e-09  0.0156  1.008e+00  0.000e+00  3.207e+00  6.359e+00 -2.596e-01  6.422e+00  3.788e+00
   3  2.574e+02  4.834e+02  3.856e+00  4.117e+02  1.000e-09  1.000e-09  0.0625  8.528e-01  0.000e+00  3.004e+00  2.480e+01 -1.065e+01  2.611e+01  1.032e+01
   4  2.300e+02  4.902e+02  3.510e+00  4.589e+02  1.000e-09  1.000e-09  0.0625  6.945e-01  0.000e+00  2.815e+00  2.767e+01  2.741e+01  2.928e+01  5.310e+01
   5  2.168e+02  4.506e+02  3.221e+00  4.108e+02  1.000e-09  1.000e-09  0.0625  5.830e-01  0.000e+00  2.638e+00  2.476e+01  1.316e+01  2.608e+01  3.415e+01
   6  2.068e+02  4.338e+02  3.105e+00  3.823e+02  1.000e-09  1.000e-09  0.0312  5.498e-01  0.000e+00  2.555e+00  1.174e+01  1.004e+01  1.200e+01  1.852e+01
   7  2.023e+02  4.081e+02  3.066e+00  3.552e+02  1.000e-09  1.000e-09  0.0156  5.513e-01  0.000e+00  2.515e+00  5.499e+00  4.523e+00  5.539e+00  7.110e+00
   8  2.027e+02  4.027e+02  3.046e+00  3.450e+02  1.000e-09  1.000e-09  0.0078  5.504e-01  0.000e+00  2.495e+00  2.683e+00 -4.667e-01  2.693e+00  8.826e-01
   9  1.986e+02  3.961e+02  3.012e+00  3.447e+02  1.000e-09  1.000e-09  0.0156  5.557e-01  0.000e+00  2.456e+00  5.335e+00  4.167e+00  5.370e+00  6.379e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.973e+02  3.902e+02  3.001e+00  3.353e+02  1.000e-09  1.000e-09  0.0039  5.544e-01  0.000e+00  2.447e+00  1.307e+00  1.238e+00  1.309e+00  1.942e+00
  11  1.975e+02  3.890e+02  2.995e+00  3.328e+02  1.000e-09  1.000e-09  0.0020  5.535e-01  0.000e+00  2.442e+00  6.492e-01 -1.244e-01  6.499e-01  2.377e-01
  12  1.927e+02  3.802e+02  2.954e+00  3.324e+02  1.000e-09  1.000e-09  0.0312  5.885e-01  0.000e+00  2.366e+00  1.019e+01  4.758e+00  1.027e+01  7.380e+00
  13  1.904e+02  3.787e+02  2.933e+00  3.244e+02  1.000e-09  1.000e-09  0.0078  5.861e-01  0.000e+00  2.347e+00  2.522e+00  2.251e+00  2.533e+00  3.593e+00
  14  1.905e+02  3.758e+02  2.928e+00  3.193e+02  1.000e-09  1.000e-09  0.0020  5.851e-01  0.000e+00  2.343e+00  6.229e-01 -6.405e-02  6.236e-01  2.901e-01
  15  1.865e+02  3.691e+02  2.890e+00  3.191e+02  1.000e-09  1.000e-09  0.0156  5.845e-01  0.000e+00  2.306e+00  4.940e+00  4.020e+00  4.977e+00  6.369e+00
  16  1.847e+02  3.637e+02  2.870e+00  3.108e+02  1.000e-09  1.000e-09  0.0078  5.817e-01  0.000e+00  2.288e+00  2.417e+00  1.748e+00  2.427e+00  3.042e+00
  17  1.790e+02  3.528e+02  2.808e+00  3.069e+02  1.000e-09  1.000e-09  0.0312  5.911e-01  0.000e+00  2.217e+00  9.412e+00  5.789e+00  9.532e+00  9.631e+00
  18  1.790e+02  3.528e+02  2.808e+00  2.949e+02  1.000e-09  1.000e-09  0.0020  5.911e-01  0.000e+00  2.217e+00  5.753e-01 -6.628e-01  5.759e-01 -3.310e-01
  19  1.790e+02  3.528e+02  2.808e+00  2.949e+02  1.000e-08  1.000e-08  0.0020  5.911e-01  0.000e+00  2.217e+00  5.753e-01 -6.609e-01  5.759e-01 -3.291e-01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  1.790e+02  3.528e+02  2.808e+00  2.947e+02  1.000e-07  1.000e-07  0.0020  5.911e-01  0.000e+00  2.217e+00  5.750e-01 -6.432e-01  5.757e-01 -3.114e-01
  21  1.790e+02  3.528e+02  2.808e+00  2.936e+02  1.000e-06  1.000e-06  0.0020  5.911e-01  0.000e+00  2.217e+00  5.727e-01 -4.886e-01  5.733e-01 -1.563e-01
  22  1.796e+02  3.449e+02  2.797e+00  2.852e+02  1.000e-05  1.000e-05  0.0039  5.888e-01  0.000e+00  2.208e+00  1.112e+00 -6.418e-01  1.114e+00  2.752e-03
