iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  7.842e+01  7.842e+01  7.492e-01  9.125e+01  1.000e-01  1.000e-01  0.2500  2.132e-14  0.000e+00  0.000e+00  2.083e+01  2.032e+01  2.083e+01  2.032e+01
   1  6.741e+01  6.741e+01  8.470e-01  9.711e+01  2.000e-02  2.000e-02  0.1250  1.865e-14  0.000e+00  0.000e+00  1.153e+01  1.101e+01  1.153e+01  1.101e+01
   2  5.936e+01  5.936e+01  7.848e-01  7.585e+01  2.000e-02  2.000e-02  0.1250  1.632e-14  0.000e+00  0.000e+00  9.036e+00  8.051e+00  9.036e+00  8.051e+00
   3  5.647e+01  5.647e+01  6.699e-01  5.723e+01  2.000e-02  2.000e-02  0.0625  1.530e-14  0.000e+00  0.000e+00  3.504e+00  2.888e+00  3.504e+00  2.888e+00
   4  5.525e+01  5.525e+01  6.202e-01  5.020e+01  2.000e-02  2.000e-02  0.0312  1.482e-14  0.000e+00  0.000e+00  1.554e+00  1.227e+00  1.554e+00  1.227e+00
   5  5.315e+01  5.315e+01  4.479e-01  3.373e+01  2.000e-02  2.000e-02  0.0625  1.390e-14  0.000e+00  0.000e+00  2.071e+00  2.093e+00  2.071e+00  2.093e+00
   6  5.132e+01  5.132e+01  4.353e-01  3.104e+01  2.000e-02  2.000e-02  0.0625  1.304e-14  0.000e+00  0.000e+00  1.908e+00  1.833e+00  1.908e+00  1.833e+00
   7  4.970e+01  4.970e+01  4.464e-01  3.062e+01  2.000e-02  2.000e-02  0.0625  1.223e-14  0.000e+00  0.000e+00  1.883e+00  1.620e+00  1.883e+00  1.620e+00
   8  4.788e+01  4.788e+01  4.600e-01  3.051e+01  2.000e-02  2.000e-02  0.0625  1.148e-14  0.000e+00  0.000e+00  1.876e+00  1.822e+00  1.876e+00  1.822e+00
   9  4.609e+01  4.609e+01  4.588e-01  2.954e+01  2.000e-02  2.000e-02  0.0625  1.075e-14  0.000e+00  0.000e+00  1.815e+00  1.793e+00  1.815e+00  1.793e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  4.568e+01  4.568e+01  4.459e-01  2.877e+01  2.000e-02  2.000e-02  0.0156  1.057e-14  0.000e+00  0.000e+00  4.477e-01  4.022e-01  4.477e-01  4.022e-01
  11  4.426e+01  4.426e+01  4.061e-01  2.539e+01  2.000e-02  2.000e-02  0.0625  9.914e-15  0.000e+00  0.000e+00  1.560e+00  1.426e+00  1.560e+00  1.426e+00
  12  4.307e+01  4.307e+01  3.827e-01  2.333e+01  2.000e-02  2.000e-02  0.0625  9.296e-15  0.000e+00  0.000e+00  1.433e+00  1.189e+00  1.433e+00  1.189e+00
  13  4.204e+01  4.204e+01  3.763e-01  2.250e+01  2.000e-02  2.000e-02  0.0625  8.717e-15  0.000e+00  0.000e+00  1.382e+00  1.025e+00  1.382e+00  1.025e+00
  14  4.120e+01  4.120e+01  3.658e-01  2.167e+01  2.000e-02  2.000e-02  0.0625  8.174e-15  0.000e+00  0.000e+00  1.330e+00  8.478e-01  1.330e+00  8.478e-01
  15  4.101e+01  4.101e+01  3.503e-01  2.092e+01  2.000e-02  2.000e-02  0.0156  8.046e-15  0.000e+00  0.000e+00  3.254e-01  1.893e-01  3.254e-01  1.893e-01
  16  3.799e+01  3.799e+01  3.563e-01  1.941e+01  2.000e-02  2.000e-02  0.2500  6.037e-15  0.000e+00  0.000e+00  4.508e+00  3.020e+00  4.508e+00  3.020e+00
  17  3.311e+01  3.311e+01  6.205e-01  3.218e+01  4.000e-03  4.000e-03  0.1250  5.282e-15  0.000e+00  0.000e+00  3.851e+00  4.872e+00  3.851e+00  4.872e+00
  18  2.934e+01  2.934e+01  6.013e-01  2.865e+01  4.000e-03  4.000e-03  0.1250  4.627e-15  0.000e+00  0.000e+00  3.418e+00  3.778e+00  3.418e+00  3.778e+00
  19  2.619e+01  2.619e+01  5.741e-01  2.464e+01  4.000e-03  4.000e-03  0.1250  4.044e-15  0.000e+00  0.000e+00  2.939e+00  3.151e+00  2.939e+00  3.151e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  2.345e+01  2.345e+01  5.570e-01  2.176e+01  4.000e-03  4.000e-03  0.1250  3.540e-15  0.000e+00  0.000e+00  2.592e+00  2.740e+00  2.592e+00  2.740e+00
  21  1.905e+01  1.905e+01  5.990e-01  1.932e+01  4.000e-03  4.000e-03  0.2500  2.654e-15  0.000e+00  0.000e+00  4.374e+00  4.395e+00  4.374e+00  4.395e+00
  22  1.757e+01  1.757e+01  6.309e-01  2.037e+01  8.000e-04  8.000e-04  0.2500  1.998e-15  0.000e+00  0.000e+00  4.551e+00  1.484e+00  4.551e+00  1.484e+00
  23  1.463e+01  1.463e+01  8.065e-01  2.423e+01  1.600e-04  1.600e-04  0.1250  1.749e-15  0.000e+00  0.000e+00  2.847e+00  2.933e+00  2.847e+00  2.933e+00
  24  1.136e+01  1.136e+01  7.926e-01  1.879e+01  1.600e-04  1.600e-04  0.5000  8.882e-16  0.000e+00  0.000e+00  7.145e+00  3.278e+00  7.145e+00  3.278e+00
  25  8.333e+00  8.333e+00  7.796e-01  1.406e+01  3.200e-05  3.200e-05  0.2500  6.661e-16  0.000e+00  0.000e+00  3.090e+00  3.024e+00  3.090e+00  3.024e+00
  26  7.293e+00  7.293e+00  5.560e-01  8.892e+00  6.400e-06  6.400e-06  0.5000  3.331e-16  0.000e+00  0.000e+00  3.376e+00  1.040e+00  3.376e+00  1.040e+00
  27  5.722e+00  5.722e+00  5.505e-01  7.328e+00  1.280e-06  1.280e-06  0.2500  3.331e-16  0.000e+00  0.000e+00  1.605e+00  1.570e+00  1.605e+00  1.570e+00
  28  5.263e+00  5.263e+00  3.414e-01  4.264e+00  2.560e-07  2.560e-07  0.5000  2.220e-16  0.000e+00  0.000e+00  1.601e+00  4.591e-01  1.601e+00  4.591e-01
  29  4.122e+00  4.122e+00  3.283e-01  3.345e+00  2.560e-06  2.560e-06  1.0000  0.000e+00  0.000e+00  0.000e+00  1.681e+00  1.141e+00  1.681e+00  1.141e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  30  4.002e+00  4.002e+00  1.127e-01  1.126e+00  5.120e-07  5.120e-07  1.0000  0.000e+00  0.000e+00  0.000e+00  5.637e-01  1.200e-01  5.637e-01  1.200e-01
  31  3.929e+00  3.929e+00  9.221e-02  9.079e-01  5.120e-06  5.120e-06  1.0000  0.000e+00  0.000e+00  0.000e+00  4.545e-01  7.286e-02  4.545e-01  7.286e-02
  32  3.540e+00  3.540e+00  8.601e-02  7.797e-01  5.120e-05  5.120e-05  1.0000  0.000e+00  0.000e+00  0.000e+00  3.905e-01  3.896e-01  3.905e-01  3.896e-01
  33  3.536e+00  3.536e+00  1.042e-03  8.053e-03  5.120e-04  5.120e-04  1.0000  0.000e+00  0.000e+00  0.000e+00  4.724e-03  4.068e-03  4.724e-03  4.068e-03
  34  3.531e+00  3.531e+00  1.849e-03  1.096e-02  5.120e-03  5.120e-03  0.5000  1.110e-16  0.000e+00  0.000e+00  4.833e-03  4.676e-03  4.833e-03  4.676e-03
  35  3.530e+00  3.530e+00  2.940e-04  1.589e-03  5.120e-02  5.120e-02  1.0000  0.000e+00  0.000e+00  0.000e+00  1.332e-03  1.337e-03  1.332e-03  1.337e-03
  36  3.530e+00  3.530e+00  2.721e-05  1.266e-04  5.120e-01  5.120e-01  1.0000  0.000e+00  0.000e+00  0.000e+00  1.233e-04  1.234e-04  1.233e-04  1.234e-04
  37  3.530e+00  3.530e+00  2.674e-06  1.215e-05  5.120e+00  5.120e+00  1.0000  0.000e+00  0.000e+00  0.000e+00  1.211e-05  1.211e-05  1.211e-05  1.211e-05
  38  3.530e+00  3.530e+00  2.664e-07  1.207e-06  5.120e+01  5.120e+01  1.0000  0.000e+00  0.000e+00  0.000e+00  1.207e-06  1.207e-06  1.207e-06  1.207e-06
