iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  5.902e+01  0.000e+00  9.456e+01  1.891e+02  1.000e-09  1.000e-09  0.2500  2.753e-14  0.000e+00  0.000e+00  4.137e+01  3.971e+01  0.000e+00  0.000e+00
   1  4.924e+01  0.000e+00  5.505e+01  1.101e+02  1.000e-09  1.000e-09  0.1250  2.065e-14  0.000e+00  0.000e+00  1.290e+01  9.786e+00  0.000e+00  0.000e+00
   2  3.964e+01  0.000e+00  4.474e+01  8.948e+01  1.000e-09  1.000e-09  0.2500  1.807e-14  0.000e+00  0.000e+00  1.957e+01  9.598e+00  0.000e+00  0.000e+00
   3  3.861e+01  0.000e+00  3.457e+01  6.914e+01  1.000e-09  1.000e-09  0.0625  1.355e-14  0.000e+00  0.000e+00  4.186e+00  1.026e+00  0.000e+00  0.000e+00
   4  3.849e+01  0.000e+00  3.332e+01  6.663e+01  1.000e-09  1.000e-09  0.0156  1.271e-14  0.000e+00  0.000e+00  1.033e+00  1.253e-01  0.000e+00  0.000e+00
   5  3.849e+01  0.000e+00  3.317e+01  6.634e+01  1.000e-08  1.000e-08  0.0020  1.252e-14  0.000e+00  0.000e+00  1.294e-01  1.266e-02  0.000e+00  0.000e+00
   6  3.849e+01  0.000e+00  3.317e+01  6.634e+01  1.000e-07  1.000e-07  0.0020  1.252e-14  0.000e+00  0.000e+00  1.294e-01  1.271e-02  0.000e+00  0.000e+00
   7  3.847e+01  0.000e+00  3.316e+01  6.632e+01  1.000e-06  1.000e-06  0.0020  1.252e-14  0.000e+00  0.000e+00  1.294e-01  1.315e-02  0.000e+00  0.000e+00
   8  3.837e+01  0.000e+00  3.307e+01  6.614e+01  1.000e-06  1.000e-06  0.0156  1.249e-14  0.000e+00  0.000e+00  1.025e+00  1.071e-01  0.000e+00  0.000e+00
   9  3.837e+01  0.000e+00  3.294e+01  6.587e+01  1.000e-05  1.000e-05  0.0020  1.230e-14  0.000e+00  0.000e+00  1.285e-01  1.088e-02  0.000e+00  0.000e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  3.772e+01  0.000e+00  3.246e+01  6.491e+01  1.000e-05  1.000e-05  0.0625  1.230e-14  0.000e+00  0.000e+00  3.930e+00  6.467e-01  0.000e+00  0.000e+00
  11  3.726e+01  0.000e+00  3.161e+01  6.323e+01  1.000e-05  1.000e-05  0.0625  1.155e-14  0.000e+00  0.000e+00  3.828e+00  4.573e-01  0.000e+00  0.000e+00
  12  3.717e+01  0.000e+00  3.115e+01  6.230e+01  1.000e-05  1.000e-05  0.0156  1.080e-14  0.000e+00  0.000e+00  9.658e-01  9.770e-02  0.000e+00  0.000e+00
  13  3.717e+01  0.000e+00  3.106e+01  6.212e+01  1.000e-04  1.000e-04  0.0020  1.066e-14  0.000e+00  0.000e+00  1.212e-01  1.146e-02  0.000e+00  0.000e+00
  14  3.676e+01  0.000e+00  2.908e+01  5.816e+01  1.000e-04  1.000e-04  0.0625  1.066e-14  0.000e+00  0.000e+00  3.521e+00  4.098e-01  0.000e+00  0.000e+00
  15  3.282e+01  0.000e+00  2.860e+01  5.720e+01  1.000e-04  1.000e-04  0.2500  9.968e-15  0.000e+00  0.000e+00  1.251e+01  3.934e+00  0.000e+00  0.000e+00
  16  3.112e+01  0.000e+00  2.507e+01  5.014e+01  1.000e-04  1.000e-04  0.1250  7.476e-15  0.000e+00  0.000e+00  5.876e+00  1.704e+00  0.000e+00  0.000e+00
  17  2.869e+01  0.000e+00  2.317e+01  4.635e+01  1.000e-04  1.000e-04  0.2500  6.542e-15  0.000e+00  0.000e+00  1.014e+01  2.429e+00  0.000e+00  0.000e+00
  18  2.654e+01  0.000e+00  2.128e+01  4.256e+01  1.000e-04  1.000e-04  0.2500  4.906e-15  0.000e+00  0.000e+00  9.311e+00  2.151e+00  0.000e+00  0.000e+00
  19  2.510e+01  0.000e+00  2.027e+01  4.053e+01  1.000e-04  1.000e-04  0.2500  3.681e-15  0.000e+00  0.000e+00  8.867e+00  1.437e+00  0.000e+00  0.000e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  2.178e+01  0.000e+00  1.918e+01  3.837e+01  1.000e-05  1.000e-05  1.0000  2.762e-15  0.000e+00  0.000e+00  1.918e+01  3.324e+00  0.000e+00  0.000e+00
  21  1.217e+01  0.000e+00  1.077e+01  2.872e+01  1.000e-05  1.000e-05  0.5000  0.000e+00  0.000e+00  0.000e+00  9.874e+00  9.605e+00  0.000e+00  0.000e+00
  22  6.282e+00  0.000e+00  5.571e+00  1.163e+01  1.000e-06  1.000e-06  1.0000  0.000e+00  0.000e+00  0.000e+00  5.571e+00  5.888e+00  0.000e+00  0.000e+00
  23  6.221e+00  0.000e+00  7.702e-01  1.643e+00  1.000e-06  1.000e-06  0.2500  0.000e+00  0.000e+00  0.000e+00  3.562e-01  6.078e-02  0.000e+00  0.000e+00
  24  5.663e+00  0.000e+00  7.827e-01  1.579e+00  1.000e-06  1.000e-06  0.5000  0.000e+00  0.000e+00  0.000e+00  5.905e-01  5.585e-01  0.000e+00  0.000e+00
  25  5.396e+00  0.000e+00  2.904e-01  5.808e-01  1.000e-07  1.000e-07  1.0000  0.000e+00  0.000e+00  0.000e+00  2.904e-01  2.664e-01  0.000e+00  0.000e+00
  26  5.392e+00  0.000e+00  1.463e-01  2.925e-01  1.000e-07  1.000e-07  0.0312  0.000e+00  0.000e+00  0.000e+00  8.999e-03  4.410e-03  0.000e+00  0.000e+00
  27  5.246e+00  0.000e+00  1.408e-01  2.815e-01  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  0.000e+00  1.408e-01  1.456e-01  0.000e+00  0.000e+00
  28  5.165e+00  0.000e+00  7.720e-02  1.544e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  7.720e-02  8.121e-02  0.000e+00  0.000e+00
  29  5.124e+00  0.000e+00  1.937e-02  5.646e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.937e-02  4.060e-02  0.000e+00  0.000e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  30  5.106e+00  0.000e+00  2.196e-02  4.392e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.196e-02  1.816e-02  0.000e+00  0.000e+00
  31  5.087e+00  0.000e+00  1.923e-02  3.846e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.923e-02  1.965e-02  0.000e+00  0.000e+00
  32  5.076e+00  0.000e+00  1.096e-02  2.191e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.096e-02  1.098e-02  0.000e+00  0.000e+00
  33  5.067e+00  0.000e+00  8.298e-03  1.660e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  8.298e-03  8.329e-03  0.000e+00  0.000e+00
  34  5.059e+00  0.000e+00  3.159e-02  6.319e-02  1.000e-09  1.000e-09  0.2500  0.000e+00  0.000e+00  0.000e+00  1.382e-02  8.171e-03  0.000e+00  0.000e+00
  35  5.054e+00  0.000e+00  2.427e-02  4.853e-02  1.000e-09  1.000e-09  0.2500  0.000e+00  0.000e+00  0.000e+00  1.062e-02  4.641e-03  0.000e+00  0.000e+00
  36  5.049e+00  0.000e+00  2.030e-02  4.061e-02  1.000e-09  1.000e-09  0.2500  0.000e+00  0.000e+00  0.000e+00  8.883e-03  5.505e-03  0.000e+00  0.000e+00
  37  5.043e+00  0.000e+00  1.533e-02  3.065e-02  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  0.000e+00  1.149e-02  5.400e-03  0.000e+00  0.000e+00
  38  5.037e+00  0.000e+00  1.057e-02  2.113e-02  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  0.000e+00  7.925e-03  6.765e-03  0.000e+00  0.000e+00
  39  5.034e+00  0.000e+00  4.193e-03  8.386e-03  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  0.000e+00  3.145e-03  2.970e-03  0.000e+00  0.000e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  40  5.033e+00  0.000e+00  1.490e-03  2.981e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.490e-03  9.261e-04  0.000e+00  0.000e+00
  41  5.032e+00  0.000e+00  8.428e-04  1.686e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  8.428e-04  8.891e-04  0.000e+00  0.000e+00
  42  5.032e+00  0.000e+00  2.185e-04  4.369e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.185e-04  2.382e-04  0.000e+00  0.000e+00
  43  5.032e+00  0.000e+00  1.484e-04  2.968e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.484e-04  1.364e-04  0.000e+00  0.000e+00
  44  5.031e+00  0.000e+00  1.945e-04  3.889e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.945e-04  1.986e-04  0.000e+00  0.000e+00
  45  5.031e+00  0.000e+00  1.388e-04  2.775e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.388e-04  1.412e-04  0.000e+00  0.000e+00
  46  5.031e+00  0.000e+00  1.131e-04  2.262e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.131e-04  1.148e-04  0.000e+00  0.000e+00
  47  5.031e+00  0.000e+00  9.357e-05  1.871e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  9.357e-05  8.598e-05  0.000e+00  0.000e+00
  48  5.031e+00  0.000e+00  8.710e-05  1.742e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  8.710e-05  8.810e-05  0.000e+00  0.000e+00
  49  5.031e+00  0.000e+00  6.614e-05  1.323e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  6.614e-05  6.459e-05  0.000e+00  0.000e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  50  5.030e+00  0.000e+00  9.914e-04  1.983e-03  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  0.000e+00  7.436e-04  6.419e-04  0.000e+00  0.000e+00
  51  5.030e+00  0.000e+00  3.559e-04  7.117e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  3.559e-04  1.828e-04  0.000e+00  0.000e+00
  52  5.030e+00  0.000e+00  1.833e-04  3.665e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.833e-04  1.312e-04  0.000e+00  0.000e+00
  53  5.030e+00  0.000e+00  5.197e-05  1.039e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  5.197e-05  5.196e-05  0.000e+00  0.000e+00
  54  5.030e+00  0.000e+00  2.499e-08  4.997e-08  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.499e-08  2.000e-08  0.000e+00  0.000e+00
Finally reached = (0.400, 0.000, 1.200)
Distance between hand and target = 1.814E-05
Distance to default state = 1.616E+00
XY distance to CoM reference = 4.191E-02
