iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.631e+02  1.631e+02  1.051e+00  3.451e+02  1.000e-09  1.000e-09  0.0625  8.527e-14  0.000e+00  0.000e+00  2.090e+01  1.585e+01  2.090e+01  1.585e+01
   1  1.415e+02  1.415e+02  1.104e+00  3.146e+02  1.000e-09  1.000e-09  0.0625  7.994e-14  0.000e+00  0.000e+00  1.905e+01  2.165e+01  1.905e+01  2.165e+01
   2  1.258e+02  1.258e+02  1.067e+00  2.706e+02  1.000e-09  1.000e-09  0.0625  7.494e-14  0.000e+00  0.000e+00  1.638e+01  1.570e+01  1.638e+01  1.570e+01
   3  1.126e+02  1.126e+02  1.053e+00  2.393e+02  1.000e-09  1.000e-09  0.0625  7.026e-14  0.000e+00  0.000e+00  1.449e+01  1.315e+01  1.449e+01  1.315e+01
   4  1.061e+02  1.061e+02  9.940e-01  2.130e+02  1.000e-09  1.000e-09  0.0312  6.806e-14  0.000e+00  0.000e+00  6.551e+00  6.514e+00  6.551e+00  6.514e+00
   5  1.000e+02  1.000e+02  9.895e-01  1.999e+02  1.000e-09  1.000e-09  0.0312  6.594e-14  0.000e+00  0.000e+00  6.151e+00  6.101e+00  6.151e+00  6.101e+00
   6  9.432e+01  9.432e+01  9.848e-01  1.877e+02  1.000e-09  1.000e-09  0.0312  6.387e-14  0.000e+00  0.000e+00  5.775e+00  5.711e+00  5.775e+00  5.711e+00
   7  8.897e+01  8.897e+01  9.799e-01  1.763e+02  1.000e-09  1.000e-09  0.0312  6.188e-14  0.000e+00  0.000e+00  5.424e+00  5.342e+00  5.424e+00  5.342e+00
   8  8.400e+01  8.400e+01  9.743e-01  1.656e+02  1.000e-09  1.000e-09  0.0312  5.994e-14  0.000e+00  0.000e+00  5.095e+00  4.970e+00  5.095e+00  4.970e+00
   9  7.897e+01  7.897e+01  9.717e-01  1.554e+02  1.000e-09  1.000e-09  0.0312  5.807e-14  0.000e+00  0.000e+00  4.781e+00  5.034e+00  4.781e+00  5.034e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  7.746e+01  7.746e+01  9.261e-01  1.453e+02  1.000e-09  1.000e-09  0.0312  5.626e-14  0.000e+00  0.000e+00  4.470e+00  1.515e+00  4.470e+00  1.515e+00
  11  7.171e+01  7.171e+01  9.778e-01  1.422e+02  1.000e-09  1.000e-09  0.0312  5.450e-14  0.000e+00  0.000e+00  4.374e+00  5.746e+00  4.374e+00  5.746e+00
  12  7.006e+01  7.006e+01  9.197e-01  1.307e+02  1.000e-09  1.000e-09  0.0156  5.365e-14  0.000e+00  0.000e+00  2.026e+00  1.648e+00  2.026e+00  1.648e+00
  13  6.635e+01  6.635e+01  9.455e-01  1.273e+02  1.000e-09  1.000e-09  0.0312  5.197e-14  0.000e+00  0.000e+00  3.917e+00  3.715e+00  3.917e+00  3.715e+00
  14  6.454e+01  6.454e+01  9.143e-01  1.198e+02  1.000e-09  1.000e-09  0.0156  5.116e-14  0.000e+00  0.000e+00  1.858e+00  1.806e+00  1.858e+00  1.806e+00
  15  6.279e+01  6.279e+01  9.108e-01  1.162e+02  1.000e-09  1.000e-09  0.0156  5.036e-14  0.000e+00  0.000e+00  1.801e+00  1.747e+00  1.801e+00  1.747e+00
  16  6.111e+01  6.111e+01  9.071e-01  1.127e+02  1.000e-09  1.000e-09  0.0156  4.958e-14  0.000e+00  0.000e+00  1.747e+00  1.687e+00  1.747e+00  1.687e+00
  17  5.948e+01  5.948e+01  9.035e-01  1.093e+02  1.000e-09  1.000e-09  0.0156  4.880e-14  0.000e+00  0.000e+00  1.694e+00  1.631e+00  1.694e+00  1.631e+00
  18  5.790e+01  5.790e+01  8.996e-01  1.060e+02  1.000e-09  1.000e-09  0.0156  4.804e-14  0.000e+00  0.000e+00  1.643e+00  1.575e+00  1.643e+00  1.575e+00
  19  5.638e+01  5.638e+01  8.957e-01  1.028e+02  1.000e-09  1.000e-09  0.0156  4.729e-14  0.000e+00  0.000e+00  1.594e+00  1.520e+00  1.594e+00  1.520e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  5.491e+01  5.491e+01  8.918e-01  9.973e+01  1.000e-09  1.000e-09  0.0156  4.655e-14  0.000e+00  0.000e+00  1.546e+00  1.469e+00  1.546e+00  1.469e+00
  21  5.350e+01  5.350e+01  8.877e-01  9.675e+01  1.000e-09  1.000e-09  0.0156  4.583e-14  0.000e+00  0.000e+00  1.500e+00  1.416e+00  1.500e+00  1.416e+00
  22  5.222e+01  5.222e+01  8.795e-01  9.361e+01  1.000e-09  1.000e-09  0.0156  4.511e-14  0.000e+00  0.000e+00  1.451e+00  1.277e+00  1.451e+00  1.277e+00
  23  5.152e+01  5.152e+01  8.667e-01  9.103e+01  1.000e-09  1.000e-09  0.0156  4.440e-14  0.000e+00  0.000e+00  1.411e+00  7.028e-01  1.411e+00  7.028e-01
  24  4.891e+01  4.891e+01  8.957e-01  8.941e+01  1.000e-09  1.000e-09  0.0312  4.301e-14  0.000e+00  0.000e+00  2.750e+00  2.607e+00  2.750e+00  2.607e+00
  25  4.645e+01  4.645e+01  8.864e-01  8.412e+01  1.000e-09  1.000e-09  0.0312  4.167e-14  0.000e+00  0.000e+00  2.588e+00  2.455e+00  2.588e+00  2.455e+00
  26  4.420e+01  4.420e+01  8.763e-01  7.921e+01  1.000e-09  1.000e-09  0.0312  4.037e-14  0.000e+00  0.000e+00  2.437e+00  2.254e+00  2.437e+00  2.254e+00
  27  4.210e+01  4.210e+01  8.666e-01  7.470e+01  1.000e-09  1.000e-09  0.0312  3.911e-14  0.000e+00  0.000e+00  2.298e+00  2.098e+00  2.298e+00  2.098e+00
  28  4.045e+01  4.045e+01  8.504e-01  7.049e+01  1.000e-09  1.000e-09  0.0312  3.789e-14  0.000e+00  0.000e+00  2.169e+00  1.654e+00  2.169e+00  1.654e+00
  29  3.858e+01  3.858e+01  8.485e-01  6.717e+01  1.000e-09  1.000e-09  0.0312  3.670e-14  0.000e+00  0.000e+00  2.066e+00  1.863e+00  2.066e+00  1.863e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  30  3.708e+01  3.708e+01  8.331e-01  6.345e+01  1.000e-09  1.000e-09  0.0312  3.556e-14  0.000e+00  0.000e+00  1.952e+00  1.506e+00  1.952e+00  1.506e+00
  31  3.534e+01  3.534e+01  8.312e-01  6.042e+01  1.000e-09  1.000e-09  0.0312  3.444e-14  0.000e+00  0.000e+00  1.859e+00  1.735e+00  1.859e+00  1.735e+00
  32  3.367e+01  3.367e+01  8.223e-01  5.702e+01  1.000e-09  1.000e-09  0.0312  3.337e-14  0.000e+00  0.000e+00  1.754e+00  1.672e+00  1.754e+00  1.672e+00
  33  3.211e+01  3.211e+01  8.105e-01  5.367e+01  1.000e-09  1.000e-09  0.0312  3.233e-14  0.000e+00  0.000e+00  1.651e+00  1.557e+00  1.651e+00  1.557e+00
  34  2.922e+01  2.922e+01  8.360e-01  5.053e+01  1.000e-09  1.000e-09  0.0625  3.031e-14  0.000e+00  0.000e+00  3.060e+00  2.891e+00  3.060e+00  2.891e+00
  35  2.746e+01  2.746e+01  7.868e-01  4.479e+01  1.000e-09  1.000e-09  0.0625  2.841e-14  0.000e+00  0.000e+00  2.712e+00  1.762e+00  2.712e+00  1.762e+00
  36  2.549e+01  2.549e+01  7.781e-01  4.122e+01  1.000e-09  1.000e-09  0.0625  2.664e-14  0.000e+00  0.000e+00  2.496e+00  1.974e+00  2.496e+00  1.974e+00
  37  2.442e+01  2.442e+01  7.270e-01  3.696e+01  1.000e-09  1.000e-09  0.0312  2.581e-14  0.000e+00  0.000e+00  1.137e+00  1.067e+00  1.137e+00  1.067e+00
  38  2.326e+01  2.326e+01  7.173e-01  3.480e+01  1.000e-09  1.000e-09  0.0625  2.419e-14  0.000e+00  0.000e+00  2.107e+00  1.160e+00  2.107e+00  1.160e+00
  39  2.114e+01  2.114e+01  7.344e-01  3.251e+01  1.000e-09  1.000e-09  0.0625  2.268e-14  0.000e+00  0.000e+00  1.969e+00  2.125e+00  1.969e+00  2.125e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  40  2.044e+01  2.044e+01  6.593e-01  2.827e+01  1.000e-09  1.000e-09  0.0625  2.127e-14  0.000e+00  0.000e+00  1.712e+00  6.972e-01  1.712e+00  6.972e-01
  41  1.966e+01  1.966e+01  6.503e-01  2.687e+01  1.000e-09  1.000e-09  0.0312  2.061e-14  0.000e+00  0.000e+00  8.266e-01  7.781e-01  8.266e-01  7.781e-01
  42  1.930e+01  1.930e+01  6.235e-01  2.532e+01  1.000e-09  1.000e-09  0.0625  1.932e-14  0.000e+00  0.000e+00  1.533e+00  3.592e-01  1.533e+00  3.592e-01
  43  1.879e+01  1.879e+01  6.233e-01  2.467e+01  1.000e-09  1.000e-09  0.0625  1.811e-14  0.000e+00  0.000e+00  1.493e+00  5.143e-01  1.493e+00  5.143e-01
