*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  7.291e+04  3.135e+05  2.248e+00  1.550e+05  1.000e-09  1.000e-09  0.0625  2.248e+00  0.000e+00  0.000e+00  9.384e+03  6.731e+03  1.281e+03 -1.229e+05
   1  6.763e+04  2.255e+05  2.950e+00  1.443e+05  1.000e-09  1.000e-09  0.1250  2.950e+00  0.000e+00  0.000e+00  1.691e+04  5.281e+03  1.222e+04 -3.227e+04
   2  5.305e+04  1.511e+05  3.035e+00  1.337e+05  1.000e-09  1.000e-09  0.1250  3.035e+00  0.000e+00  0.000e+00  1.566e+04  1.459e+04  1.532e+04  1.185e+04
   3  5.137e+04  1.255e+05  3.039e+00  1.039e+05  1.000e-09  1.000e-09  0.0312  3.039e+00  0.000e+00  0.000e+00  3.197e+03  1.675e+03  3.194e+03  1.571e+03
   4  4.990e+04  1.211e+05  3.035e+00  1.002e+05  1.000e-09  1.000e-09  0.0312  3.035e+00  0.000e+00  0.000e+00  3.082e+03  1.475e+03  3.085e+03  1.570e+03
   5  4.865e+04  1.169e+05  2.976e+00  9.767e+04  1.000e-09  1.000e-09  0.0312  2.976e+00  0.000e+00  0.000e+00  3.004e+03  1.249e+03  3.046e+03  2.594e+03
   6  4.898e+04  1.154e+05  2.910e+00  9.535e+04  1.000e-09  1.000e-09  0.0312  2.910e+00  0.000e+00  0.000e+00  2.933e+03 -3.344e+02  2.980e+03  1.187e+03
   7  4.783e+04  1.144e+05  2.823e+00  9.622e+04  1.000e-09  1.000e-09  0.0312  2.823e+00  0.000e+00  0.000e+00  2.960e+03  1.150e+03  3.024e+03  3.208e+03
   8  4.713e+04  1.121e+05  2.732e+00  9.404e+04  1.000e-09  1.000e-09  0.0312  2.732e+00  0.000e+00  0.000e+00  2.893e+03  7.056e+02  2.960e+03  2.849e+03
   9  4.750e+04  1.115e+05  2.642e+00  9.275e+04  1.000e-09  1.000e-09  0.0312  2.642e+00  0.000e+00  0.000e+00  2.853e+03 -3.695e+02  2.921e+03  1.808e+03
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  4.772e+04  1.098e+05  2.456e+00  9.357e+04  1.000e-09  1.000e-09  0.0625  2.456e+00  0.000e+00  0.000e+00  5.665e+03 -2.221e+02  5.960e+03  4.488e+03
  11  4.755e+04  1.125e+05  2.375e+00  9.416e+04  1.000e-09  1.000e-09  0.0312  2.375e+00  0.000e+00  0.000e+00  2.897e+03  1.676e+02  2.966e+03  2.387e+03
  12  4.787e+04  1.099e+05  2.200e+00  9.384e+04  1.000e-09  1.000e-09  0.0625  2.200e+00  0.000e+00  0.000e+00  5.682e+03 -3.247e+02  5.990e+03  4.612e+03
  13  4.834e+04  1.136e+05  2.124e+00  9.461e+04  1.000e-09  1.000e-09  0.0312  2.124e+00  0.000e+00  0.000e+00  2.910e+03 -4.673e+02  2.983e+03  1.853e+03
  14  4.511e+04  1.091e+05  1.993e+00  9.557e+04  1.000e-09  1.000e-09  0.0625  1.993e+00  0.000e+00  0.000e+00  5.786e+03  3.235e+03  6.051e+03  7.468e+03
  15  4.960e+04  1.041e+05  1.706e+00  8.919e+04  1.000e-09  1.000e-09  0.1250  1.706e+00  0.000e+00  0.000e+00  1.045e+04 -4.494e+03  1.160e+04  4.656e+03
  16  4.897e+04  1.181e+05  1.681e+00  9.835e+04  1.000e-09  1.000e-09  0.0156  1.681e+00  0.000e+00  0.000e+00  1.525e+03  6.276e+02  1.541e+03  1.682e+03
  17  4.597e+04  1.142e+05  1.654e+00  9.708e+04  1.000e-09  1.000e-09  0.1250  1.654e+00  0.000e+00  0.000e+00  1.138e+04  3.005e+03  1.151e+04  4.101e+03
  18  4.540e+04  1.092e+05  1.621e+00  9.118e+04  1.000e-09  1.000e-09  0.0312  1.621e+00  0.000e+00  0.000e+00  2.805e+03  5.675e+02  2.846e+03  1.880e+03
