*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  7.095e+04  1.813e+05  8.796e+02  1.550e+05  1.000e-09  1.000e-09  0.0625  2.107e-01  0.000e+00  8.794e+02  9.383e+03  8.693e+03  9.430e+03  9.445e+03
   1  6.061e+04  1.648e+05  9.103e+02  1.410e+05  1.000e-09  1.000e-09  0.1250  3.126e-01  0.000e+00  9.100e+02  1.652e+04  1.034e+04  1.608e+04  6.829e+03
   2  5.957e+04  1.331e+05  7.846e+02  1.197e+05  1.000e-09  1.000e-09  0.1250  3.428e-01  0.000e+00  7.843e+02  1.402e+04  1.034e+03  1.549e+04  1.281e+04
   3  5.682e+04  1.368e+05  7.595e+02  1.163e+05  1.000e-09  1.000e-09  0.0312  3.249e-01  0.000e+00  7.591e+02  3.576e+03  2.757e+03  3.659e+03  5.405e+03
   4  6.001e+04  1.338e+05  7.088e+02  1.111e+05  1.000e-09  1.000e-09  0.0625  2.952e-01  0.000e+00  7.085e+02  6.725e+03 -3.196e+03  7.055e+03  2.083e+03
   5  6.275e+04  1.403e+05  6.533e+02  1.179e+05  1.000e-09  1.000e-09  0.0625  2.616e-01  0.000e+00  6.530e+02  7.141e+03 -2.732e+03  7.552e+03  3.852e+03
   6  5.902e+04  1.405e+05  6.030e+02  1.236e+05  1.000e-09  1.000e-09  0.0625  2.522e-01  0.000e+00  6.027e+02  7.486e+03  3.727e+03  7.911e+03  1.052e+04
   7  5.504e+04  1.319e+05  5.575e+02  1.164e+05  1.000e-09  1.000e-09  0.0625  3.003e-01  0.000e+00  5.572e+02  7.047e+03  3.975e+03  7.438e+03  1.024e+04
   8  5.073e+04  1.228e+05  5.183e+02  1.086e+05  1.000e-09  1.000e-09  0.0625  3.275e-01  0.000e+00  5.179e+02  6.573e+03  4.312e+03  6.915e+03  9.769e+03
   9  5.001e+04  1.191e+05  5.019e+02  9.999e+04  1.000e-09  1.000e-09  0.0312  3.240e-01  0.000e+00  5.016e+02  3.076e+03  7.229e+02  3.146e+03  2.973e+03
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  4.404e+04  1.153e+05  5.082e+02  9.858e+04  1.000e-09  1.000e-09  0.1250  4.149e-01  0.000e+00  5.078e+02  1.155e+04  5.971e+03  1.144e+04  5.093e+03
  11  4.131e+04  1.032e+05  5.072e+02  8.683e+04  1.000e-09  1.000e-09  0.1250  5.081e-01  0.000e+00  5.067e+02  1.017e+04  2.727e+03  1.019e+04  2.847e+03
  12  3.434e+04  9.045e+04  4.886e+02  8.158e+04  1.000e-09  1.000e-09  0.1250  5.113e-01  0.000e+00  4.881e+02  9.560e+03  6.975e+03  9.826e+03  9.109e+03
  13  3.230e+04  7.550e+04  4.362e+02  6.777e+04  1.000e-09  1.000e-09  0.2500  5.723e-01  0.000e+00  4.356e+02  1.482e+04  2.036e+03  1.612e+04  7.228e+03
  14  2.031e+04  5.439e+04  3.256e+02  6.392e+04  1.000e-09  1.000e-09  0.2500  5.022e-01  0.000e+00  3.251e+02  1.398e+04  1.199e+04  1.688e+04  2.357e+04
  15  1.403e+04  3.860e+04  2.796e+02  4.005e+04  1.000e-09  1.000e-09  0.2500  3.590e-01  0.000e+00  2.793e+02  8.761e+03  6.283e+03  9.770e+03  1.032e+04
  16  8.614e+03  3.023e+04  3.072e+02  2.754e+04  1.000e-09  1.000e-09  0.2500  2.584e-01  0.000e+00  3.070e+02  6.024e+03  5.413e+03  5.538e+03  3.471e+03
  17  3.702e+03  1.931e+04  4.009e+02  1.675e+04  1.000e-09  1.000e-09  0.5000  1.601e-01  0.000e+00  4.007e+02  6.280e+03  4.912e+03  4.457e+03  1.266e+03
  18  2.644e+03  9.350e+03  3.444e+02  6.963e+03  1.000e-09  1.000e-09  0.5000  9.537e-02  0.000e+00  3.443e+02  2.611e+03  1.058e+03  3.161e+03  2.157e+03
  19  1.911e+03  3.678e+03  1.743e+02  4.887e+03  1.000e-09  1.000e-09  0.5000  6.713e-02  0.000e+00  1.742e+02  1.833e+03  7.324e+02  2.695e+03  2.458e+03
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  7.498e+02  4.438e+03  2.609e+02  3.447e+03  1.000e-09  1.000e-09  0.5000  6.329e-02  0.000e+00  2.608e+02  1.293e+03  1.161e+03  6.805e+02 -6.339e+01
  21  6.501e+02  2.183e+03  2.170e+02  1.137e+03  1.000e-09  1.000e-09  0.5000  5.604e-02  0.000e+00  2.169e+02  4.266e+02  9.976e+01  5.818e+02  4.103e+02
  22  4.707e+02  9.028e+02  1.223e+02  9.451e+02  1.000e-09  1.000e-09  1.0000  1.441e-01  0.000e+00  1.221e+02  4.731e+02  1.794e+02  8.077e+02  5.140e+02
