*** SOLVE initial ***
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
   0  1.17752e+04  4.84898e+02  3.38333e+03  1.00000e-02  1.00000e-02   1.0000     1
   1  2.59198e+03  8.91627e+02  2.22041e+04  1.00000e-02  1.00000e-02   0.5000     1
   2  2.52588e+03  3.85175e+01  1.59079e+03  1.00000e-02  1.00000e-02   0.5000     1
   3  2.22078e+03  8.01951e+01  2.79656e+03  1.00000e-02  1.00000e-02   0.2500     1
   4  2.12391e+03  1.41535e+01  5.61665e+02  1.00000e-02  1.00000e-02   0.5000     1
   5  1.98989e+03  3.38612e+01  1.18231e+03  1.00000e-02  1.00000e-02   0.2500     1
   6  1.74753e+03  1.25645e+01  4.68305e+02  1.00000e-03  1.00000e-03   1.0000     1
   7  1.56686e+03  2.31277e+01  2.03268e+03  1.00000e-03  1.00000e-03   0.5000     1
   8  1.11406e+03  1.54722e+01  1.45534e+03  1.00000e-03  1.00000e-03   0.5000     1
   9  9.24579e+02  6.25448e+00  6.81984e+02  1.00000e-04  1.00000e-04   1.0000     1
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
  10  7.70688e+02  4.17501e+00  6.04569e+02  1.00000e-04  1.00000e-04   0.5000     1
  11  6.81607e+02  1.27474e+00  2.25539e+02  1.00000e-05  1.00000e-05   1.0000     1
  12  6.57323e+02  9.02370e-01  1.80942e+02  1.00000e-05  1.00000e-05   0.2500     1
  13  6.18060e+02  5.77193e-01  7.95231e+01  1.00000e-06  1.00000e-06   1.0000     1
  14  6.15577e+02  1.74579e-01  4.69509e+01  1.00000e-07  1.00000e-07   1.0000     1
  15  5.98393e+02  2.54169e-01  7.78558e+01  1.00000e-07  1.00000e-07   0.5000     1
  16  5.94851e+02  4.53791e-02  1.23712e+01  1.00000e-08  1.00000e-08   1.0000     1
  17  5.90609e+02  5.83059e-02  1.82680e+01  1.00000e-08  1.00000e-08   0.5000     1
  18  5.88707e+02  9.50854e-03  4.02685e+00  1.00000e-09  1.00000e-09   1.0000     1
  19  5.87305e+02  1.56682e-02  5.30648e+00  1.00000e-09  1.00000e-09   0.5000     1
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
  20  5.86186e+02  3.29302e-03  1.71856e+00  1.00000e-09  1.00000e-09   1.0000     1
  21  5.85649e+02  5.68570e-03  2.01966e+00  1.00000e-09  1.00000e-09   1.0000     1
  22  5.84804e+02  9.20968e-03  3.71051e+00  1.00000e-09  1.00000e-09   0.5000     1
  23  5.84323e+02  2.63734e-03  9.78989e-01  1.00000e-09  1.00000e-09   1.0000     1
  24  5.84190e+02  3.38475e-03  1.45292e+00  1.00000e-09  1.00000e-09   1.0000     1
  25  5.83573e+02  8.91393e-03  3.08348e+00  1.00000e-09  1.00000e-09   0.5000     1
  26  5.83379e+02  1.51379e-03  6.95037e-01  1.00000e-09  1.00000e-09   1.0000     1
  27  5.83088e+02  3.72776e-03  1.28498e+00  1.00000e-09  1.00000e-09   0.5000     1
  28  5.82922e+02  7.97361e-04  3.61190e-01  1.00000e-09  1.00000e-09   1.0000     1
  29  5.82776e+02  1.63845e-03  5.72074e-01  1.00000e-09  1.00000e-09   0.5000     1
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
  30  5.82657e+02  5.02152e-04  2.10583e-01  1.00000e-09  1.00000e-09   1.0000     1
  31  5.82635e+02  7.81924e-04  3.08615e-01  1.00000e-09  1.00000e-09   1.0000     1
  32  5.82500e+02  1.82297e-03  7.87419e-01  1.00000e-09  1.00000e-09   0.5000     1
  33  5.82445e+02  4.71860e-04  2.43747e-01  1.00000e-09  1.00000e-09   0.5000     1
  34  5.82415e+02  2.97239e-04  1.20896e-01  1.00000e-09  1.00000e-09   1.0000     1
  35  5.82366e+02  4.50210e-04  3.16020e-01  1.00000e-09  1.00000e-09   0.5000     1
  36  5.82335e+02  3.12304e-04  1.48855e-01  1.00000e-09  1.00000e-09   0.5000     1
  37  5.82327e+02  1.28827e-04  7.99367e-02  1.00000e-09  1.00000e-09   1.0000     1
