*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  6.403e+02  1.569e+03  1.044e+00  1.349e+03  1.000e-09  1.000e-09  0.0312  4.499e-01  0.000e+00  2.050e-01  4.148e+01  4.396e+01  4.233e+01  7.123e+01
   1  6.123e+02  1.464e+03  1.020e+00  1.261e+03  1.000e-09  1.000e-09  0.0625  4.218e-01  0.000e+00  2.025e-01  7.630e+01  2.799e+01  7.892e+01  6.984e+01
   2  5.427e+02  1.344e+03  1.101e+00  1.203e+03  1.000e-09  1.000e-09  0.0625  3.954e-01  0.000e+00  1.898e-01  7.281e+01  6.969e+01  7.615e+01  1.231e+02
   3  4.851e+02  1.230e+03  1.090e+00  1.064e+03  1.000e-09  1.000e-09  0.0625  3.707e-01  0.000e+00  2.051e-01  6.439e+01  5.755e+01  6.515e+01  6.971e+01
   4  3.708e+02  1.201e+03  1.271e+00  9.488e+02  1.000e-09  1.000e-09  0.1250  3.244e-01  0.000e+00  3.839e-01  1.112e+02  1.143e+02  9.176e+01 -4.089e+01
   5  2.378e+02  9.949e+02  1.502e+00  7.244e+02  1.000e-09  1.000e-09  0.2500  2.433e-01  0.000e+00  8.032e-01  1.582e+02  1.330e+02  9.708e+01 -1.117e+02
   6  1.573e+02  6.807e+02  1.447e+00  4.546e+02  1.000e-09  1.000e-09  0.2500  1.825e-01  0.000e+00  1.264e+00  9.916e+01  8.047e+01  6.296e+01 -6.432e+01
   7  1.045e+02  4.678e+02  2.009e+00  2.837e+02  1.000e-09  1.000e-09  0.5000  9.123e-02  0.000e+00  1.917e+00  1.054e+02  5.282e+01  5.456e+01 -4.879e+01
   8  9.312e+01  2.538e+02  1.777e+00  1.587e+02  1.000e-09  1.000e-09  0.0625  8.553e-02  0.000e+00  1.691e+00  9.588e+00  1.139e+01  1.090e+01  3.233e+01
   9  9.433e+01  1.768e+02  1.501e+00  1.439e+02  1.000e-09  1.000e-09  0.0625  8.018e-02  0.000e+00  1.421e+00  8.700e+00 -1.213e+00  9.647e+00  1.393e+01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  9.232e+01  1.828e+02  1.259e+00  1.546e+02  1.000e-09  1.000e-09  0.0625  7.517e-02  0.000e+00  1.184e+00  9.351e+00  2.013e+00  1.044e+01  1.943e+01
  11  8.368e+01  1.787e+02  1.083e+00  1.563e+02  1.000e-09  1.000e-09  0.0625  7.047e-02  0.000e+00  1.012e+00  9.463e+00  8.645e+00  1.043e+01  2.410e+01
  12  7.594e+01  1.646e+02  9.524e-01  1.424e+02  1.000e-09  1.000e-09  0.0625  6.607e-02  0.000e+00  8.864e-01  8.618e+00  7.739e+00  9.376e+00  1.987e+01
  13  6.982e+01  1.510e+02  8.992e-01  1.287e+02  1.000e-09  1.000e-09  0.0625  6.194e-02  0.000e+00  7.882e-01  7.790e+00  6.121e+00  8.401e+00  1.589e+01
  14  6.498e+01  1.395e+02  8.776e-01  1.172e+02  1.000e-09  1.000e-09  0.0625  5.807e-02  0.000e+00  7.081e-01  7.093e+00  4.833e+00  7.604e+00  1.301e+01
  15  8.608e+01  1.385e+02  6.103e-01  1.075e+02  1.000e-09  1.000e-09  0.1250  5.081e-02  0.000e+00  4.785e-01  1.258e+01 -2.110e+01  1.552e+01  2.367e+00
  16  7.521e+01  1.629e+02  9.571e-01  1.485e+02  1.000e-09  1.000e-09  0.1250  4.446e-02  0.000e+00  4.008e-01  1.738e+01  1.087e+01  1.945e+01  2.743e+01
  17  6.416e+01  1.417e+02  9.483e-01  1.270e+02  1.000e-09  1.000e-09  0.1250  3.890e-02  0.000e+00  3.523e-01  1.485e+01  1.105e+01  1.619e+01  2.176e+01
  18  5.983e+01  1.383e+02  8.332e-01  1.049e+02  1.000e-09  1.000e-09  0.2500  2.917e-02  0.000e+00  3.950e-01  2.284e+01  4.322e+00  2.132e+01 -1.781e+00
  19  5.174e+01  1.312e+02  8.733e-01  9.743e+01  1.000e-09  1.000e-09  0.5000  1.459e-02  0.000e+00  4.978e-01  3.587e+01  8.088e+00  2.903e+01 -5.589e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  8.260e+01  9.565e+01  4.537e-01  8.229e+01  1.000e-09  1.000e-09  0.5000  7.294e-03  0.000e+00  1.160e-01  3.005e+01 -3.086e+01  5.063e+01  1.028e+01
  21  5.225e+01  1.672e+02  1.314e+00  1.407e+02  1.000e-09  1.000e-09  0.2500  5.470e-03  0.000e+00  1.364e-01  3.076e+01  3.035e+01  2.700e+01  1.533e+01
  22  2.747e+01  1.146e+02  1.394e+00  8.039e+01  1.000e-09  1.000e-09  0.5000  2.735e-03  0.000e+00  2.123e-01  3.002e+01  2.478e+01  1.519e+01 -4.878e+00
  23  1.461e+01  3.165e+01  9.693e-01  3.163e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  8.407e-02  1.514e+01  1.285e+01  4.168e+01  3.940e+01
  24  1.289e+01  1.567e+01  1.430e-01  4.593e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.745e-02  1.986e+00  1.729e+00  7.723e+00  7.466e+00
  25  1.262e+01  1.262e+01  2.032e-02  6.036e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.632e-04  2.767e-01  2.703e-01  1.659e+00  1.653e+00
  26  1.261e+01  1.261e+01  1.643e-04  3.924e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  5.293e-06  2.237e-03  2.272e-03  6.238e-03  6.273e-03
  27  1.261e+01  1.261e+01  2.431e-06  3.269e-05  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  5.973e-08 -3.309e-05 -3.308e-05  3.320e-05  3.321e-05
  28  1.261e+01  1.261e+01  6.820e-09  1.121e-07  1.000e-07  1.000e-07  1.0000  0.000e+00  0.000e+00  2.854e-09  9.285e-08  9.429e-08  4.531e-07  4.545e-07
  29  1.261e+01  1.261e+01  2.756e-10  4.693e-09  1.000e-06  1.000e-06  1.0000  0.000e+00  0.000e+00  1.380e-10  3.752e-09  3.814e-09  2.095e-08  2.101e-08
*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  3.963e+02  1.122e+03  1.685e+00  1.349e+03  1.000e-09  1.000e-09  0.2500  3.491e-01  0.000e+00  1.628e-01  2.947e+02  2.880e+02  3.522e+02  5.181e+02
