*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  4.200e-01  4.200e-01  1.002e+01  1.032e-03  1.000e-09  1.000e-09  0.0625  2.164e+00  0.000e+00  2.072e+00 -5.551e-02 -4.200e-01 -5.551e-02 -4.200e-01
   1  6.490e-01  6.490e-01  8.108e+00  5.277e-01  1.000e-09  1.000e-09  0.0312  2.096e+00  0.000e+00  1.992e+00 -2.903e-02 -2.290e-01 -2.903e-02 -2.290e-01
   2  7.147e-01  7.147e-01  7.386e+00  6.193e-01  1.000e-09  1.000e-09  0.0156  2.063e+00  0.000e+00  1.957e+00 -1.262e-02 -6.573e-02 -1.262e-02 -6.573e-02
   3  9.703e-01  9.703e-01  6.295e+00  8.101e-01  1.000e-09  1.000e-09  0.0312  1.999e+00  0.000e+00  1.882e+00 -3.664e-02 -2.556e-01 -3.664e-02 -2.556e-01
   4  1.229e+00  1.229e+00  5.239e+00  8.063e-01  1.000e-09  1.000e-09  0.0312  1.936e+00  0.000e+00  1.811e+00 -3.581e-02 -2.589e-01 -3.581e-02 -2.589e-01
   5  1.482e+00  1.482e+00  4.437e+00  8.090e-01  1.000e-09  1.000e-09  0.0312  1.876e+00  0.000e+00  1.746e+00 -3.525e-02 -2.533e-01 -3.525e-02 -2.533e-01
   6  1.725e+00  1.725e+00  3.835e+00  8.544e-01  1.000e-09  1.000e-09  0.0312  1.817e+00  0.000e+00  1.687e+00 -3.607e-02 -2.425e-01 -3.607e-02 -2.425e-01
   7  1.954e+00  1.954e+00  3.395e+00  9.560e-01  1.000e-09  1.000e-09  0.0312  1.761e+00  0.000e+00  1.634e+00 -3.870e-02 -2.289e-01 -3.870e-02 -2.289e-01
   8  2.764e+00  2.764e+00  3.229e+00  1.113e+00  1.000e-09  1.000e-09  0.0625  1.650e+00  0.000e+00  1.578e+00 -1.029e-01 -8.097e-01 -1.029e-01 -8.097e-01
   9  3.432e+00  3.432e+00  3.110e+00  8.616e-01  1.000e-09  1.000e-09  0.0625  1.547e+00  0.000e+00  1.563e+00 -8.421e-02 -6.679e-01 -8.421e-02 -6.679e-01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  3.855e+00  3.855e+00  3.013e+00  9.091e-01  1.000e-09  1.000e-09  0.0625  1.451e+00  0.000e+00  1.562e+00 -8.393e-02 -4.231e-01 -8.393e-02 -4.231e-01
