*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  2.650e+01  2.650e+01  1.348e+00  2.406e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.348e+00 -1.423e+01 -2.650e+01 -1.423e+01 -2.650e+01
   1  1.727e+01  3.209e+01  9.507e-01  3.231e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  9.507e-01  1.470e+01  9.228e+00  2.089e+01  1.542e+01
   2  1.788e+01  1.915e+01  1.627e-01  1.177e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.627e-01  2.018e+00 -6.107e-01  8.157e+00  5.528e+00
   3  1.278e+01  1.996e+01  4.613e-01  1.129e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.287e-01  6.355e+00  5.108e+00  8.252e+00  7.004e+00
   4  1.143e+01  1.324e+01  1.066e-01  2.245e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  6.463e-02  1.326e+00  1.344e+00  3.114e+00  3.132e+00
   5  1.129e+01  1.172e+01  3.040e-02  2.712e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  3.040e-02  1.672e-01  1.400e-01  6.447e-01  6.175e-01
   6  1.121e+01  1.129e+01  1.126e-02  1.381e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.126e-02  9.809e-02  8.360e-02  2.316e-01  2.171e-01
   7  1.114e+01  1.126e+01  1.185e-02  1.103e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.185e-02  7.818e-02  6.443e-02  7.237e-02  5.862e-02
   8  1.107e+01  1.127e+01  1.885e-02  1.284e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.885e-02  8.768e-02  7.589e-02  1.363e-02  1.837e-03
   9  1.098e+01  1.121e+01  2.066e-02  2.312e-01  1.000e-09  1.000e-09  0.5000  1.384e-17  0.000e+00  2.066e-02  9.501e-02  8.942e-02  8.477e-02  6.895e-02
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.083e+01  1.138e+01  3.433e-02  3.917e-01  1.000e-09  1.000e-09  0.5000  5.551e-17  0.000e+00  3.433e-02  1.562e-01  1.476e-01  4.607e-02 -7.262e-02
  11  1.064e+01  1.147e+01  4.220e-02  8.604e-01  1.000e-09  1.000e-09  0.2500  2.082e-17  0.000e+00  4.026e-02  1.920e-01  1.882e-01  1.618e-01  6.713e-02
  12  1.034e+01  1.181e+01  6.745e-02  1.389e+00  1.000e-09  1.000e-09  0.2500  2.048e-17  0.000e+00  5.397e-02  3.083e-01  3.030e-01  2.153e-01 -6.916e-02
  13  9.852e+00  1.225e+01  1.113e-01  2.236e+00  1.000e-09  1.000e-09  0.2500  8.327e-17  0.000e+00  7.493e-02  4.947e-01  4.885e-01  3.271e-01 -1.819e-01
  14  9.149e+00  1.221e+01  1.692e-01  3.204e+00  1.000e-09  1.000e-09  0.2500  8.327e-17  0.000e+00  9.356e-02  7.082e-01  7.029e-01  5.557e-01  9.296e-02
  15  7.754e+00  1.226e+01  2.238e-01  3.658e+00  1.000e-09  1.000e-09  0.5000  5.551e-17  0.000e+00  1.506e-01  1.404e+00  1.395e+00  5.516e-01 -3.100e-01
