iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
   0  7.48904e-01  6.02035e+00  6.03188e+00  1.00000e-09  1.00000e-09   0.5000     0
   1  1.31935e-01  1.48892e+00  1.49138e+00  1.00000e-09  1.00000e-09   1.0000     1
   2  1.79622e-02  2.52607e-01  2.52607e-01  1.00000e-09  1.00000e-09   1.0000     1
   3  5.24941e-03  2.54160e-02  2.54160e-02  1.00000e-09  1.00000e-09   1.0000     1
   4  5.22344e-03  4.63301e-05  4.63301e-05  1.00000e-09  1.00000e-09   1.0000     1
   5  5.21590e-03  1.42315e-05  1.42315e-05  1.00000e-09  1.00000e-09   1.0000     1
   6  5.21239e-03  7.52295e-06  7.52295e-06  1.00000e-09  1.00000e-09   1.0000     1
   7  5.21065e-03  4.23123e-06  4.23123e-06  1.00000e-09  1.00000e-09   1.0000     1
   8  5.20975e-03  2.46186e-06  2.46186e-06  1.00000e-09  1.00000e-09   1.0000     1
   9  5.20926e-03  1.49253e-06  1.49253e-06  1.00000e-09  1.00000e-09   1.0000     1
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
  10  5.20900e-03  9.08730e-07  9.08730e-07  1.00000e-09  1.00000e-09   1.0000     1
  11  5.20885e-03  5.70667e-07  5.70667e-07  1.00000e-09  1.00000e-09   1.0000     1
  12  5.20876e-03  3.56658e-07  3.56658e-07  1.00000e-09  1.00000e-09   1.0000     1
  13  5.20871e-03  2.28013e-07  2.28013e-07  1.00000e-09  1.00000e-09   1.0000     1
  14  5.20869e-03  1.44848e-07  1.44848e-07  1.00000e-09  1.00000e-09   1.0000     1
  15  5.20867e-03  9.35183e-08  9.35183e-08  1.00000e-09  1.00000e-09   1.0000     1
  16  5.20866e-03  6.00468e-08  6.00468e-08  1.00000e-09  1.00000e-09   1.0000     1
  17  5.20865e-03  3.89972e-08  3.89972e-08  1.00000e-09  1.00000e-09   1.0000     1
  18  5.20865e-03  2.52217e-08  2.52217e-08  1.00000e-09  1.00000e-09   1.0000     1
  19  5.20864e-03  1.64423e-08  1.64423e-08  1.00000e-09  1.00000e-09   1.0000     1
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
  20  5.20864e-03  1.06878e-08  1.06878e-08  1.00000e-09  1.00000e-09   1.0000     1
  21  5.20864e-03  6.98549e-09  6.98549e-09  1.00000e-09  1.00000e-09   1.0000     1
  22  5.20864e-03  4.55676e-09  4.55676e-09  1.00000e-09  1.00000e-09   1.0000     1
  23  5.20864e-03  2.98372e-09  2.98372e-09  1.00000e-09  1.00000e-09   1.0000     1
  24  5.20864e-03  1.95122e-09  1.95122e-09  1.00000e-09  1.00000e-09   1.0000     1
  25  5.20864e-03  1.27933e-09  1.27933e-09  1.00000e-09  1.00000e-09   1.0000     1
  26  5.20864e-03  8.38121e-10  8.38121e-10  1.00000e-09  1.00000e-09   1.0000     1
