iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  7.489e-01  2.895e+00  1.718e+00  6.009e+00  1.000e-09  1.000e-09  0.5000  1.472e-01  0.000e+00  0.000e+00  2.253e+00  2.261e+00  3.326e+00  4.407e+00
   1  1.319e-01  1.319e-01  6.566e-01  1.486e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  7.432e-01  6.170e-01  1.816e+00  1.690e+00
   2  1.796e-02  1.796e-02  1.244e-01  2.526e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.266e-01  1.140e-01  1.266e-01  1.140e-01
   3  5.249e-03  5.249e-03  1.264e-02  2.542e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.271e-02  1.271e-02  1.271e-02  1.271e-02
   4  5.223e-03  5.223e-03  2.318e-05  4.633e-05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.330e-05  2.597e-05  2.330e-05  2.597e-05
   5  5.216e-03  5.216e-03  7.089e-06  1.423e-05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  7.126e-06  7.540e-06  7.126e-06  7.540e-06
   6  5.212e-03  5.212e-03  3.742e-06  6.958e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  0.000e+00  3.762e-06  3.591e-06  3.762e-06  3.591e-06
   7  5.210e-03  5.210e-03  1.653e-06  3.025e-06  1.000e-07  1.000e-07  1.0000  0.000e+00  0.000e+00  0.000e+00  1.662e-06  1.809e-06  1.662e-06  1.809e-06
   8  5.210e-03  5.210e-03  2.377e-07  3.446e-07  1.000e-06  1.000e-06  1.0000  0.000e+00  0.000e+00  0.000e+00  2.389e-07  2.695e-07  2.389e-07  2.695e-07
   9  5.210e-03  5.210e-03  2.728e-08  3.132e-08  1.000e-05  1.000e-05  1.0000  0.000e+00  0.000e+00  0.000e+00  2.742e-08  2.880e-08  2.742e-08  2.880e-08
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  5.210e-03  5.210e-03  2.781e-09  2.850e-09  1.000e-04  1.000e-04  1.0000  0.000e+00  0.000e+00  0.000e+00  2.796e-09  2.814e-09  2.796e-09  2.814e-09
  11  5.210e-03  5.210e-03  2.782e-10  2.802e-10  1.000e-03  1.000e-03  1.0000  0.000e+00  0.000e+00  0.000e+00  2.797e-10  2.799e-10  2.797e-10  2.799e-10
