iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  7.253e-01  7.253e-01  3.005e+00  6.009e+00  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  2.177e+00  2.253e+00  2.285e+00  2.253e+00  2.285e+00
   1  1.329e-02  7.534e-01  1.568e+00  1.437e+00  1.000e-09  1.000e-09  1.0000  2.776e-17  0.000e+00  1.568e+00  7.196e-01  7.120e-01  1.007e+00  9.998e-01
   2  5.351e-03  3.186e-01  6.635e-01  1.580e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  6.635e-01  7.964e-03  7.936e-03  4.349e-01  4.349e-01
   3  5.249e-03  8.657e-02  1.722e-01  1.646e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.722e-01  9.435e-05  1.018e-04  2.320e-01  2.320e-01
   4  5.229e-03  4.345e-02  8.096e-02  3.327e-05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  8.096e-02  1.972e-05  2.047e-05  4.312e-02  4.312e-02
   5  5.218e-03  2.185e-02  3.524e-02  1.409e-05  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  3.524e-02  9.496e-06  1.083e-05  2.159e-02  2.159e-02
   6  5.214e-03  1.359e-02  1.775e-02  5.416e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.775e-02  3.279e-06  3.666e-06  8.262e-03  8.262e-03
   7  5.212e-03  9.895e-03  9.920e-03  3.128e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  9.920e-03  2.045e-06  2.351e-06  3.697e-03  3.698e-03
   8  5.211e-03  8.150e-03  6.226e-03  1.655e-06  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  6.226e-03  1.053e-06  1.193e-06  1.745e-03  1.745e-03
   9  5.210e-03  7.102e-03  4.009e-03  9.975e-07  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  4.009e-03  6.502e-07  7.491e-07  1.047e-03  1.047e-03
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  5.209e-03  6.387e-03  2.494e-03  5.844e-07  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  2.494e-03  3.754e-07  4.311e-07  7.157e-04  7.157e-04
  11  5.209e-03  5.956e-03  1.583e-03  3.645e-07  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.583e-03  2.359e-07  2.736e-07  4.302e-04  4.302e-04
  12  5.209e-03  5.676e-03  9.893e-04  2.259e-07  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  9.893e-04  1.450e-07  1.684e-07  2.805e-04  2.805e-04
  13  5.209e-03  5.505e-03  6.267e-04  1.445e-07  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  6.267e-04  9.288e-08  1.086e-07  1.713e-04  1.713e-04
  14  5.209e-03  5.395e-03  3.944e-04  9.256e-08  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  3.944e-04  5.921e-08  6.940e-08  1.097e-04  1.097e-04
  15  5.209e-03  5.327e-03  2.504e-04  6.030e-08  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  2.504e-04  3.855e-08  4.539e-08  6.802e-05  6.803e-05
  16  5.209e-03  5.284e-03  1.586e-04  3.945e-08  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.586e-04  2.514e-08  2.969e-08  4.334e-05  4.334e-05
  17  5.209e-03  5.256e-03  1.011e-04  2.606e-08  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.011e-04  1.658e-08  1.965e-08  2.718e-05  2.718e-05
  18  5.209e-03  5.239e-03  6.445e-05  1.728e-08  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  6.445e-05  1.097e-08  1.304e-08  1.731e-05  1.732e-05
  19  5.209e-03  5.228e-03  4.126e-05  1.153e-08  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  4.126e-05  7.314e-09  8.718e-09  1.095e-05  1.096e-05
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  5.209e-03  5.221e-03  2.646e-05  7.725e-09  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  2.646e-05  4.891e-09  5.843e-09  6.996e-06  6.996e-06
  21  5.209e-03  5.217e-03  1.702e-05  5.195e-09  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.702e-05  3.285e-09  3.934e-09  4.458e-06  4.459e-06
  22  5.209e-03  5.214e-03  1.097e-05  3.504e-09  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.097e-05  2.213e-09  2.656e-09  2.858e-06  2.858e-06
  23  5.209e-03  5.212e-03  7.103e-06  2.370e-09  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  7.103e-06  1.495e-09  1.798e-09  1.827e-06  1.827e-06
  24  5.209e-03  5.211e-03  4.993e-06  1.607e-09  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  4.993e-06  1.013e-09  1.220e-09  9.970e-07  9.972e-07
  25  5.209e-03  5.210e-03  3.507e-06  1.092e-09  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  3.507e-06  6.876e-10  8.295e-10  7.024e-07  7.026e-07
  26  5.209e-03  5.210e-03  2.458e-06  7.432e-10  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  2.458e-06  4.676e-10  5.649e-10  4.954e-07  4.955e-07
  27  5.209e-03  5.209e-03  1.722e-06  5.067e-10  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.722e-06  3.186e-10  3.854e-10  3.481e-07  3.481e-07
  28  5.209e-03  5.209e-03  1.204e-06  3.459e-10  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.204e-06  2.173e-10  2.633e-10  2.445e-07  2.446e-07
  29  5.209e-03  5.209e-03  8.416e-07  2.365e-10  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  8.416e-07  1.485e-10  1.800e-10  1.714e-07  1.714e-07
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  30  5.209e-03  5.209e-03  5.875e-07  1.618e-10  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  5.875e-07  1.015e-10  1.233e-10  1.200e-07  1.201e-07
  31  5.209e-03  5.209e-03  4.098e-07  1.108e-10  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  4.098e-07  6.950e-11  8.446e-11  8.395e-08  8.397e-08
  32  5.209e-03  5.209e-03  2.857e-07  7.597e-11  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  2.857e-07  4.762e-11  5.792e-11  5.867e-08  5.868e-08
  33  5.209e-03  5.209e-03  1.990e-07  5.212e-11  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.990e-07  3.265e-11  3.975e-11  4.096e-08  4.096e-08
  34  5.209e-03  5.209e-03  1.385e-07  3.578e-11  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.385e-07  2.241e-11  2.730e-11  2.857e-08  2.858e-08
  35  5.209e-03  5.209e-03  9.635e-08  2.457e-11  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  9.635e-08  1.538e-11  1.875e-11  1.991e-08  1.992e-08
  36  5.209e-03  5.209e-03  6.699e-08  1.689e-11  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  6.699e-08  1.057e-11  1.289e-11  1.387e-08  1.387e-08
  37  5.209e-03  5.209e-03  4.655e-08  1.161e-11  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  4.655e-08  7.264e-12  8.866e-12  9.655e-09  9.656e-09
  38  5.209e-03  5.209e-03  3.234e-08  7.986e-12  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  3.234e-08  4.994e-12  6.100e-12  6.717e-09  6.718e-09
  39  5.209e-03  5.209e-03  2.245e-08  5.495e-12  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  2.245e-08  3.435e-12  4.198e-12  4.670e-09  4.671e-09
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  40  5.209e-03  5.209e-03  1.558e-08  3.782e-12  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.558e-08  2.364e-12  2.890e-12  3.245e-09  3.246e-09
  41  5.209e-03  5.209e-03  1.081e-08  2.604e-12  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.081e-08  1.627e-12  1.990e-12  2.254e-09  2.255e-09
  42  5.209e-03  5.209e-03  7.499e-09  1.793e-12  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  7.499e-09  1.120e-12  1.371e-12  1.565e-09  1.565e-09
  43  5.209e-03  5.209e-03  5.199e-09  1.235e-12  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  5.199e-09  7.715e-13  9.444e-13  1.086e-09  1.087e-09
  44  5.209e-03  5.209e-03  3.604e-09  8.509e-13  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  3.604e-09  5.314e-13  6.507e-13  7.537e-10  7.538e-10
  45  5.209e-03  5.209e-03  2.497e-09  5.863e-13  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  2.497e-09  3.661e-13  4.485e-13  5.228e-10  5.228e-10
  46  5.209e-03  5.209e-03  1.730e-09  4.041e-13  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.730e-09  2.523e-13  3.091e-13  3.625e-10  3.625e-10
  47  5.209e-03  5.209e-03  1.198e-09  2.785e-13  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  1.198e-09  1.739e-13  2.131e-13  2.512e-10  2.513e-10
  48  5.209e-03  5.209e-03  8.299e-10  1.920e-13  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  8.299e-10  1.198e-13  1.469e-13  1.741e-10  1.741e-10
