iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  5.248e+00  0.000e+00  3.034e+00  6.067e+00  1.000e-09  1.000e-09  1.0000  2.943e-01  0.000e+00  0.000e+00  3.034e+00 -2.238e+00  0.000e+00  0.000e+00
   1  1.604e+00  0.000e+00  1.868e+01  3.238e+00  1.000e-09  1.000e-09  0.0625  0.000e+00  0.000e+00  0.000e+00  1.168e-01  3.644e+00  0.000e+00  0.000e+00
   2  1.311e+00  0.000e+00  2.806e+00  1.003e+00  1.000e-09  1.000e-09  0.0156  0.000e+00  0.000e+00  0.000e+00  1.475e-02  2.936e-01  0.000e+00  0.000e+00
   3  1.249e+00  0.000e+00  2.585e+00  1.147e+00  1.000e-09  1.000e-09  0.0156  0.000e+00  0.000e+00  0.000e+00  1.702e-02  6.185e-02  0.000e+00  0.000e+00
   4  1.249e+00  0.000e+00  2.302e+00  1.286e+00  1.000e-08  1.000e-08  0.0020  0.000e+00  0.000e+00  0.000e+00  2.498e-03 -8.035e-02  0.000e+00  0.000e+00
   5  1.249e+00  0.000e+00  4.980e-01  5.454e-03  1.000e-07  1.000e-07  0.0020  0.000e+00  0.000e+00  0.000e+00 -1.253e-05 -2.085e-02  0.000e+00  0.000e+00
   6  1.211e+00  0.000e+00  1.496e+00  1.162e+00  1.000e-07  1.000e-07  0.0312  0.000e+00  0.000e+00  0.000e+00  3.372e-02  3.734e-02  0.000e+00  0.000e+00
   7  1.196e+00  0.000e+00  6.237e-01  4.591e-02  1.000e-06  1.000e-06  0.0078  0.000e+00  0.000e+00  0.000e+00  3.178e-04  1.520e-02  0.000e+00  0.000e+00
   8  1.053e+00  0.000e+00  1.471e+00  5.783e-01  1.000e-06  1.000e-06  0.0156  0.000e+00  0.000e+00  0.000e+00  8.536e-03  1.433e-01  0.000e+00  0.000e+00
   9  1.053e+00  0.000e+00  1.733e+00  1.008e+00  1.000e-05  1.000e-05  0.0020  0.000e+00  0.000e+00  0.000e+00  1.959e-03 -1.409e-02  0.000e+00  0.000e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.051e+00  0.000e+00  2.063e+00  1.109e+00  1.000e-04  1.000e-04  0.0020  0.000e+00  0.000e+00  0.000e+00  2.154e-03  1.487e-03  0.000e+00  0.000e+00
  11  1.023e+00  0.000e+00  1.367e+00  1.021e+00  1.000e-03  1.000e-03  0.0039  0.000e+00  0.000e+00  0.000e+00  3.952e-03  2.836e-02  0.000e+00  0.000e+00
  12  7.008e-01  0.000e+00  2.327e-02  8.728e-01  1.000e-03  1.000e-03  0.1250  0.000e+00  0.000e+00  0.000e+00  9.582e-02  3.224e-01  0.000e+00  0.000e+00
  13  5.735e-01  0.000e+00  3.475e-03  4.856e-01  1.000e-03  1.000e-03  0.5000  0.000e+00  0.000e+00  0.000e+00  1.223e-01  1.273e-01  0.000e+00  0.000e+00
  14  4.051e-01  0.000e+00  3.265e-01  7.662e-01  1.000e-03  1.000e-03  0.2500  0.000e+00  0.000e+00  0.000e+00  1.641e-01  1.684e-01  0.000e+00  0.000e+00
  15  3.511e-01  0.000e+00  3.147e-02  4.617e-01  1.000e-03  1.000e-03  0.0625  0.000e+00  0.000e+00  0.000e+00  2.718e-02  5.403e-02  0.000e+00  0.000e+00
  16  2.012e-01  0.000e+00  1.234e-01  3.441e-01  1.000e-03  1.000e-03  0.2500  0.000e+00  0.000e+00  0.000e+00  7.223e-02  1.499e-01  0.000e+00  0.000e+00
  17  1.215e-01  0.000e+00  2.260e-02  8.166e-02  1.000e-03  1.000e-03  0.5000  0.000e+00  0.000e+00  0.000e+00  2.606e-02  7.968e-02  0.000e+00  0.000e+00
  18  1.174e-01  0.000e+00  3.466e-02  7.789e-02  1.000e-03  1.000e-03  0.0312  0.000e+00  0.000e+00  0.000e+00  2.392e-03  4.109e-03  0.000e+00  0.000e+00
  19  9.891e-02  0.000e+00  8.996e-03  2.745e-02  1.000e-03  1.000e-03  0.5000  0.000e+00  0.000e+00  0.000e+00  9.111e-03  1.845e-02  0.000e+00  0.000e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  9.663e-02  0.000e+00  2.649e-02  5.398e-02  1.000e-03  1.000e-03  0.0312  0.000e+00  0.000e+00  0.000e+00  1.660e-03  2.286e-03  0.000e+00  0.000e+00
