*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.866e+01  1.866e+01  5.656e+00  8.335e+00  1.000e-09  1.000e-09  0.2500  5.116e-15  0.000e+00  7.512e-02 -5.389e+00 -8.052e+00 -5.389e+00 -8.052e+00
   1  1.077e+02  1.077e+02  8.745e-01  2.891e+01  1.000e-09  1.000e-09  0.2500  3.835e-15  0.000e+00  5.644e-02 -1.136e+01 -8.905e+01 -1.136e+01 -8.905e+01
   2  1.061e+02  1.061e+02  4.940e-02  1.113e+02  1.000e-09  1.000e-09  0.1250  3.400e-15  0.000e+00  4.940e-02  1.212e+01  1.609e+00  1.212e+01  1.609e+00
   3  9.617e+01  9.617e+01  5.055e-02  9.406e+01  1.000e-09  1.000e-09  0.1250  3.011e-15  0.000e+00  4.324e-02  1.021e+01  9.937e+00  1.021e+01  9.937e+00
   4  9.053e+01  9.053e+01  1.604e-01  6.186e+01  1.000e-09  1.000e-09  0.1250  2.720e-15  0.000e+00  3.785e-02  6.537e+00  5.642e+00  6.537e+00  5.642e+00
   5  8.834e+01  8.834e+01  2.242e-01  3.949e+01  1.000e-09  1.000e-09  0.0625  2.498e-15  0.000e+00  3.548e-02  2.236e+00  2.186e+00  2.236e+00  2.186e+00
   6  8.543e+01  8.543e+01  2.593e-01  3.038e+01  1.000e-09  1.000e-09  0.2500  1.832e-15  0.000e+00  2.664e-02  4.296e+00  2.916e+00  4.296e+00  2.916e+00
   7  1.230e+02  1.230e+02  2.025e-01  6.317e+00  1.000e-09  1.000e-09  0.5000  9.055e-16  0.000e+00  1.339e-02 -4.695e+00 -3.753e+01 -4.695e+00 -3.753e+01
   8  1.218e+02  1.310e+02  1.044e-01  5.381e+01  1.000e-09  1.000e-09  0.5000  4.528e-16  0.000e+00  6.712e-03  1.666e+01  1.165e+00  2.122e+01  1.030e+01
   9  1.107e+02  1.191e+02  1.049e-01  3.754e+01  1.000e-09  1.000e-09  0.5000  2.255e-16  0.000e+00  3.360e-03  1.232e+01  1.111e+01  1.650e+01  1.947e+01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.102e+02  1.123e+02  5.814e-03  8.336e+00  1.000e-09  1.000e-09  0.5000  2.220e-16  0.000e+00  1.681e-03  2.245e+00  5.217e-01  3.292e+00  2.616e+00
  11  1.100e+02  1.100e+02  1.133e-03  3.774e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  8.992e-07  1.258e-01  1.328e-01  1.173e+00  1.180e+00
  12  1.100e+02  1.101e+02  2.500e-04  5.680e-02  1.000e-09  1.000e-09  0.2500  4.163e-17  0.000e+00  6.677e-07  1.239e-02 -9.847e-04  1.494e-02  9.226e-03
  13  1.100e+02  1.100e+02  2.537e-04  5.727e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  6.490e-08  2.816e-02  2.802e-02  6.448e-02  6.433e-02
  14  1.100e+02  1.100e+02  1.740e-06  2.506e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  4.124e-11  1.931e-04  1.930e-04  2.147e-03  2.147e-03
  15  1.100e+02  1.100e+02  6.781e-10  7.530e-08  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.527e-15  7.527e-08  7.527e-08  1.318e-06  1.318e-06
*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.898e+01  1.900e+03  5.566e+00  8.335e+00  1.000e-09  1.000e-09  0.2500  4.957e-02  0.000e+00  7.531e-02 -5.389e+00 -8.371e+00 -9.908e+01 -3.832e+02
   1  2.452e+01  8.888e+02  3.710e+00  2.926e+01  1.000e-09  1.000e-09  0.1250  4.883e-02  0.000e+00  6.593e-02 -4.679e+00 -5.534e+00  4.849e+00  7.069e+01
   2  7.093e+01  4.543e+02  1.227e+00  3.699e+01  1.000e-09  1.000e-09  0.2500  5.227e-02  0.000e+00  4.954e-02 -1.245e+01 -4.642e+01 -2.625e-01  2.351e+00
   3  7.137e+01  2.432e+02  5.533e-01  2.263e+01  1.000e-09  1.000e-09  0.1250  4.789e-02  0.000e+00  4.336e-02  1.850e+00 -4.398e-01  4.336e+00  1.945e+01
   4  8.599e+01  1.567e+02  4.532e-01  1.128e+01  1.000e-09  1.000e-09  0.2500  4.258e-02  0.000e+00  3.255e-02 -3.491e-01 -1.461e+01  3.443e+00  5.546e-01
   5  8.997e+01  1.183e+02  2.689e-01  1.861e+01  1.000e-09  1.000e-09  0.2500  3.579e-02  0.000e+00  2.443e-02  1.961e+00 -3.984e+00  3.716e+00  3.037e+00
   6  8.945e+01  1.006e+02  2.256e-01  9.993e+00  1.000e-09  1.000e-09  0.2500  2.912e-02  0.000e+00  1.833e-02  5.982e-01  5.242e-01  1.350e+00  3.529e+00
   7  1.010e+02  1.045e+02  2.047e-01  3.539e+00  1.000e-09  1.000e-09  0.5000  1.996e-02  0.000e+00  9.183e-03 -6.105e+00 -1.158e+01 -5.028e+00 -9.424e+00
   8  1.410e+02  1.413e+02  6.398e-02  7.753e-01  1.000e-09  1.000e-09  1.0000  6.181e-03  0.000e+00  4.666e-05 -9.083e+00 -3.996e+01 -7.735e+00 -3.861e+01
