*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.894e+01  1.894e+01  5.579e+00  8.334e+00  1.000e-09  1.000e-09  0.2500  0.000e+00  0.000e+00  3.060e+00 -5.389e+00 -8.325e+00 -5.389e+00 -8.325e+00
   1  1.080e+02  1.080e+02  3.497e+00  2.923e+01  1.000e-09  1.000e-09  0.2500  4.163e-17  0.000e+00  3.497e+00 -1.140e+01 -8.901e+01 -1.140e+01 -8.901e+01
   2  1.063e+02  1.063e+02  3.299e+00  1.108e+02  1.000e-09  1.000e-09  0.1250  4.857e-17  0.000e+00  3.299e+00  1.207e+01  1.629e+00  1.207e+01  1.629e+00
   3  9.644e+01  9.644e+01  3.078e+00  9.359e+01  1.000e-09  1.000e-09  0.1250  9.714e-17  0.000e+00  3.078e+00  1.016e+01  9.884e+00  1.016e+01  9.884e+00
   4  9.084e+01  9.084e+01  2.844e+00  6.159e+01  1.000e-09  1.000e-09  0.1250  9.714e-17  0.000e+00  2.844e+00  6.510e+00  5.598e+00  6.510e+00  5.598e+00
   5  8.866e+01  8.866e+01  2.696e+00  3.938e+01  1.000e-09  1.000e-09  0.0625  1.561e-16  0.000e+00  2.696e+00  2.230e+00  2.185e+00  2.230e+00  2.185e+00
   6  8.577e+01  8.577e+01  2.448e+00  3.031e+01  1.000e-09  1.000e-09  0.2500  1.249e-16  0.000e+00  2.448e+00  4.300e+00  2.889e+00  4.300e+00  2.889e+00
   7  8.620e+01  8.620e+01  2.082e+00  6.388e+00  1.000e-09  1.000e-09  0.2500  8.327e-17  0.000e+00  2.082e+00 -3.512e-01 -4.347e-01 -3.512e-01 -4.347e-01
   8  1.055e+02  1.055e+02  1.696e+00  6.306e+00  1.000e-09  1.000e-09  0.2500  8.327e-17  0.000e+00  1.696e+00 -2.679e+00 -1.925e+01 -2.679e+00 -1.925e+01
   9  1.017e+02  1.017e+02  1.349e+00  2.181e+01  1.000e-09  1.000e-09  0.2500  8.327e-17  0.000e+00  1.349e+00  3.793e+00  3.802e+00  3.793e+00  3.802e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.014e+02  1.014e+02  1.267e+00  6.530e+00  1.000e-09  1.000e-09  0.0625  1.041e-16  0.000e+00  1.267e+00  3.497e-01  2.876e-01  3.497e-01  2.876e-01
  11  1.653e+02  1.653e+02  5.923e-01  4.508e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  5.923e-01 -8.737e+00 -6.391e+01 -8.737e+00 -6.391e+01
  12  1.182e+02  1.226e+02  4.639e-01  1.105e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  3.297e-02  5.528e+01  4.709e+01  1.299e+02  1.217e+02
  13  1.100e+02  1.104e+02  7.369e-02  1.636e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.219e-03  8.179e+00  8.179e+00  1.943e+01  1.943e+01
  14  1.100e+02  1.100e+02  7.925e-08  8.927e-06  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.032e-08  8.797e-06  8.797e-06  2.160e-01  2.160e-01
  15  1.100e+02  1.100e+02  4.590e-12  5.227e-10  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  7.958e-13  5.095e-10  5.096e-10  1.829e-06  1.829e-06
*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.894e+01  2.901e+02  5.579e+00  8.334e+00  1.000e-09  1.000e-09  0.2500  2.363e-07  0.000e+00  3.060e+00 -5.389e+00 -8.325e+00 -7.095e+01 -2.706e+02
   1  1.080e+02  2.629e+02  3.497e+00  2.923e+01  1.000e-09  1.000e-09  0.2500  3.799e-07  0.000e+00  3.497e+00 -1.140e+01 -8.901e+01 -1.625e+01 -1.084e+02
   2  1.063e+02  1.794e+02  3.299e+00  1.108e+02  1.000e-09  1.000e-09  0.1250  3.722e-07  0.000e+00  3.299e+00  1.207e+01  1.629e+00  1.262e+01  6.024e+00
   3  9.644e+01  1.305e+02  3.078e+00  9.359e+01  1.000e-09  1.000e-09  0.1250  3.600e-07  0.000e+00  3.078e+00  1.016e+01  9.884e+00  1.047e+01  1.233e+01
   4  9.084e+01  1.066e+02  2.844e+00  6.159e+01  1.000e-09  1.000e-09  0.1250  3.439e-07  0.000e+00  2.844e+00  6.510e+00  5.598e+00  6.672e+00  6.890e+00
   5  8.866e+01  9.612e+01  2.696e+00  3.938e+01  1.000e-09  1.000e-09  0.0625  3.284e-07  0.000e+00  2.696e+00  2.230e+00  2.185e+00  2.256e+00  2.596e+00
   6  8.577e+01  8.916e+01  2.448e+00  3.031e+01  1.000e-09  1.000e-09  0.2500  3.339e-07  0.000e+00  2.448e+00  4.300e+00  2.889e+00  4.386e+00  3.232e+00
   7  8.620e+01  8.764e+01  2.082e+00  6.388e+00  1.000e-09  1.000e-09  0.2500  3.064e-07  0.000e+00  2.082e+00 -3.512e-01 -4.347e-01 -2.879e-01 -1.813e-01
   8  1.055e+02  1.060e+02  1.696e+00  6.306e+00  1.000e-09  1.000e-09  0.2500  2.634e-07  0.000e+00  1.696e+00 -2.679e+00 -1.925e+01 -2.646e+00 -1.912e+01
   9  1.017e+02  1.019e+02  1.349e+00  2.181e+01  1.000e-09  1.000e-09  0.2500  2.180e-07  0.000e+00  1.349e+00  3.793e+00  3.802e+00  3.808e+00  3.862e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.014e+02  1.015e+02  1.267e+00  6.530e+00  1.000e-09  1.000e-09  0.0625  2.051e-07  0.000e+00  1.267e+00  3.497e-01  2.876e-01  3.502e-01  2.947e-01
  11  1.653e+02  1.653e+02  5.923e-01  4.508e+00  1.000e-09  1.000e-09  1.0000  1.697e-07  0.000e+00  5.923e-01 -8.737e+00 -6.391e+01 -8.708e+00 -6.388e+01
  12  1.182e+02  1.226e+02  4.639e-01  1.105e+02  1.000e-09  1.000e-09  1.0000  4.837e-08  0.000e+00  3.297e-02  5.528e+01  4.709e+01  1.299e+02  1.217e+02
  13  1.100e+02  1.104e+02  7.369e-02  1.636e+01  1.000e-09  1.000e-09  1.0000  1.284e-09  0.000e+00  1.219e-03  8.179e+00  8.179e+00  1.943e+01  1.943e+01
  14  1.100e+02  1.100e+02  7.928e-08  8.930e-06  1.000e-09  1.000e-09  1.0000  2.182e-14  0.000e+00  1.032e-08  8.800e-06  8.800e-06  2.160e-01  2.160e-01
