*** SOLVE ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  2.098e+05  2.098e+05  3.860e+00  1.620e+06  1.000e-09  1.000e-09  0.5000  6.821e-15  0.000e+00  0.000e+00  6.076e+05  6.015e+05  6.076e+05  6.015e+05
   1  1.056e+05  1.056e+05  1.977e+00  4.176e+05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.088e+05  1.042e+05  2.088e+05  1.042e+05
   2  3.685e+04  3.685e+04  2.830e+00  2.085e+05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.043e+05  6.878e+04  1.043e+05  6.878e+04
   3  1.779e+04  1.779e+04  2.010e+00  7.150e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  3.575e+04  1.906e+04  3.575e+04  1.906e+04
   4  4.944e+03  4.944e+03  3.385e+00  3.348e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.674e+04  1.284e+04  1.674e+04  1.284e+04
   5  1.170e+03  1.170e+03  3.344e+00  7.830e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  3.915e+03  3.775e+03  3.915e+03  3.775e+03
   6  1.151e+03  1.151e+03  1.302e-01  3.001e+02  1.000e-09  1.000e-09  0.1250  9.487e-20  0.000e+00  0.000e+00  3.516e+01  1.879e+01  3.516e+01  1.879e+01
   7  1.028e+03  1.028e+03  1.263e-01  2.600e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.300e+02  1.228e+02  1.300e+02  1.228e+02
   8  1.020e+03  1.020e+03  8.284e-03  1.692e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  8.460e+00  8.090e+00  8.460e+00  8.090e+00
   9  1.020e+03  1.020e+03  4.222e-04  8.619e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  4.309e-01  4.306e-01  4.309e-01  4.306e-01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.020e+03  1.020e+03  6.810e-07  1.390e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  6.952e-04  6.939e-04  6.952e-04  6.939e-04
