*** SOLVE ***
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
   0  5.72465e+03  2.29751e+08  2.22313e+06  1.00000e-02  1.00000e-02   1.0000     1
   1  3.41930e+03  2.94674e+05  1.08434e+04  1.00000e-02  1.00000e-02   0.2500     1
   2  2.01350e+03  1.72405e+05  4.65717e+03  1.00000e-03  1.00000e-03   1.0000     1
   3  1.68417e+03  1.26949e+06  2.03810e+03  1.00000e-03  1.00000e-03   0.5000     1
   4  1.23292e+03  6.44277e+05  1.34497e+03  1.00000e-04  1.00000e-04   1.0000     1
   5  1.20536e+03  2.02600e+04  4.50864e+02  1.00000e-04  1.00000e-04   0.1250     1
   6  1.00911e+03  1.69710e+04  3.94161e+02  1.00000e-05  1.00000e-05   1.0000     1
   7  1.00815e+03  2.16781e+02  1.93077e+00  1.00000e-06  1.00000e-06   1.0000     1
   8  1.00815e+03  9.21750e-05  4.24151e-04  1.00000e-07  1.00000e-07   1.0000     1
   9  1.00815e+03  1.32050e-07  9.82474e-07  1.00000e-06  1.00000e-06   0.0020     1
[Box-DDP] Solved in 0.38482093811 - 9 iterations
