*** SOLVE ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  6.114e+03  6.114e+03  8.090e+05  1.615e+06  1.000e-01  1.000e-01  1.0000  0.000e+00  0.000e+00  0.000e+00  8.090e+05  8.052e+05  8.090e+05  8.052e+05
   1  2.925e+03  2.925e+03  4.916e+03  9.491e+03  2.000e-02  2.000e-02  1.0000  0.000e+00  0.000e+00  0.000e+00  4.916e+03  3.189e+03  4.916e+03  3.189e+03
   2  1.919e+03  1.919e+03  1.877e+03  3.690e+03  4.000e-03  4.000e-03  0.5000  2.711e-20  0.000e+00  0.000e+00  1.392e+03  1.006e+03  1.392e+03  1.006e+03
   3  1.651e+03  1.651e+03  8.969e+02  1.770e+03  8.000e-04  8.000e-04  0.2500  1.626e-19  0.000e+00  0.000e+00  3.879e+02  2.683e+02  3.879e+02  2.683e+02
   4  1.432e+03  1.432e+03  6.321e+02  1.258e+03  1.600e-04  1.600e-04  0.2500  1.626e-19  0.000e+00  0.000e+00  2.753e+02  2.186e+02  2.753e+02  2.186e+02
   5  1.237e+03  1.237e+03  4.126e+02  8.243e+02  3.200e-05  3.200e-05  0.5000  1.084e-19  0.000e+00  0.000e+00  3.092e+02  1.946e+02  3.092e+02  1.946e+02
   6  1.150e+03  1.150e+03  2.179e+02  4.356e+02  6.400e-06  6.400e-06  0.5000  1.084e-19  0.000e+00  0.000e+00  1.634e+02  8.753e+01  1.634e+02  8.753e+01
   7  1.022e+03  1.022e+03  1.302e+02  2.605e+02  1.280e-06  1.280e-06  1.0000  0.000e+00  0.000e+00  0.000e+00  1.302e+02  1.273e+02  1.302e+02  1.273e+02
   8  1.020e+03  1.020e+03  3.131e+00  6.262e+00  2.560e-07  2.560e-07  1.0000  0.000e+00  0.000e+00  0.000e+00  3.131e+00  2.206e+00  3.131e+00  2.206e+00
   9  1.019e+03  1.019e+03  9.239e-01  1.848e+00  5.120e-08  5.120e-08  1.0000  0.000e+00  0.000e+00  0.000e+00  9.239e-01  9.239e-01  9.239e-01  9.239e-01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.019e+03  1.019e+03  6.516e-07  1.303e-06  1.024e-08  1.024e-08  1.0000  0.000e+00  0.000e+00  0.000e+00  6.516e-07  8.002e-07  6.516e-07  8.002e-07
