*** SOLVE ***
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
   0  7.03540e+04  1.33209e+05  2.88691e+05  1.00000e-09  1.00000e-09   0.2500     0
   1  4.56977e+04  3.34332e+05  1.52185e+05  1.00000e-09  1.00000e-09   1.0000     1
   2  1.00787e+04  5.18198e+06  9.12575e+04  1.00000e-09  1.00000e-09   0.5000     1
   3  3.24510e+02  1.01039e+06  2.00990e+04  1.00000e-09  1.00000e-09   0.5000     1
   4  1.62401e+02  2.31210e+04  6.03614e+02  1.00000e-09  1.00000e-09   0.5000     1
   5  6.49080e+01  1.16404e+04  2.85672e+02  1.00000e-09  1.00000e-09   1.0000     1
   6  2.13390e+01  3.44314e+03  9.53300e+01  1.00000e-09  1.00000e-09   1.0000     1
   7  1.77578e+01  3.79884e+02  1.01657e+01  1.00000e-09  1.00000e-09   1.0000     1
   8  1.61879e+01  2.85490e+01  3.14924e+00  1.00000e-09  1.00000e-09   1.0000     1
   9  1.61796e+01  5.85776e-01  1.63908e-02  1.00000e-09  1.00000e-09   1.0000     1
iter 	 cost 	      stop 	    grad 	  xreg 	      ureg 	 step 	 feas
  10  1.61795e+01  7.64327e-04  1.43142e-04  1.00000e-09  1.00000e-09   1.0000     1
  11  1.61795e+01  3.20116e-06  7.83313e-06  1.00000e-09  1.00000e-09   1.0000     1
  12  1.61795e+01  2.35400e-08  5.40809e-07  1.00000e-09  1.00000e-09   1.0000     1
