*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.016e-02  1.016e-02  1.802e+00  1.118e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.802e+00 -1.351e-02 -7.691e-03 -1.351e-02 -7.691e-03
   1  1.469e+00  1.469e+00  1.420e+02  8.552e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.420e+02 -2.295e-01 -1.459e+00 -2.295e-01 -1.459e+00
   2  1.403e+00  3.529e+00  1.080e+02  1.906e+00  1.000e-05  1.000e-05  0.0625  3.847e-17  0.000e+00  1.080e+02  1.193e-01  6.632e-02  1.612e-01  7.364e-01
   3  1.361e+00  4.079e+00  9.623e+01  1.902e+00  1.000e-05  1.000e-05  0.0312  4.159e-17  0.000e+00  9.623e+01  5.967e-02  4.249e-02  7.002e-02  3.739e-01
   4  1.322e+00  4.076e+00  8.742e+01  1.862e+00  1.000e-05  1.000e-05  0.0312  3.998e-17  0.000e+00  8.742e+01  5.843e-02  3.871e-02  6.710e-02  3.162e-01
   5  1.368e+00  3.165e+00  5.035e+01  1.862e+00  1.000e-05  1.000e-05  0.0625  5.924e-17  0.000e+00  5.035e+01  1.177e-01 -4.596e-02  2.003e-01  1.277e+00
   6  1.332e+00  2.856e+00  4.767e+01  1.354e+00  1.000e-05  1.000e-05  0.0625  4.289e-17  0.000e+00  4.767e+01  8.376e-02  3.630e-02  8.911e-02  1.219e-01
   7  1.294e+00  2.703e+00  4.561e+01  1.278e+00  1.000e-05  1.000e-05  0.0625  7.076e-17  0.000e+00  4.561e+01  7.893e-02  3.750e-02  8.292e-02  1.012e-01
   8  1.253e+00  2.561e+00  4.380e+01  1.215e+00  1.000e-05  1.000e-05  0.0625  6.179e-17  0.000e+00  4.380e+01  7.494e-02  4.082e-02  7.832e-02  9.489e-02
   9  1.208e+00  2.411e+00  4.190e+01  1.150e+00  1.000e-05  1.000e-05  0.0625  6.893e-17  0.000e+00  4.190e+01  7.083e-02  4.496e-02  7.422e-02  9.931e-02
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.160e+00  2.251e+00  3.976e+01  1.077e+00  1.000e-05  1.000e-05  0.0625  6.026e-17  0.000e+00  3.976e+01  6.627e-02  4.874e-02  6.995e-02  1.076e-01
  11  1.095e+00  2.086e+00  3.772e+01  9.991e-01  1.000e-05  1.000e-05  0.1250  5.677e-17  0.000e+00  3.772e+01  1.207e-01  6.418e-02  1.274e-01  1.176e-01
  12  8.966e-01  1.563e+00  2.787e+01  8.896e-01  1.000e-05  1.000e-05  0.2500  4.378e-17  0.000e+00  2.787e+01  2.063e-01  1.987e-01  2.652e-01  4.343e-01
  13  7.570e-01  1.503e+00  3.081e+01  8.099e-01  2.000e-06  2.000e-06  0.2500  3.391e-17  0.000e+00  3.081e+01  1.814e-01  1.396e-01  1.636e-01  6.850e-02
  14  5.897e-01  8.884e-01  2.466e+01  3.981e-01  4.000e-07  4.000e-07  0.5000  1.828e-17  0.000e+00  2.466e+01  1.596e-01  1.672e-01  1.967e-01  2.416e-01
  15  5.443e-01  7.319e-01  3.098e+01  1.624e-01  8.000e-08  8.000e-08  0.5000  1.551e-17  0.000e+00  3.098e+01  6.305e-02  4.547e-02  4.391e-02  7.193e-03
  16  5.331e-01  6.259e-01  2.942e+01  1.440e-01  1.600e-08  1.600e-08  0.1250  4.233e-17  0.000e+00  2.942e+01  1.682e-02  1.119e-02  1.744e-02  1.614e-02
  17  5.164e-01  6.524e-01  4.639e+01  1.255e-01  1.600e-08  1.600e-08  0.2500  2.364e-17  0.000e+00  4.639e+01  2.731e-02  1.669e-02  1.486e-02 -3.310e-02
  18  5.330e-01  5.803e-01  2.513e+01  1.330e-01  3.200e-09  3.200e-09  0.5000  2.804e-17  0.000e+00  2.513e+01  4.853e-02 -1.661e-02  6.853e-02  2.339e-02
  19  4.398e-01  5.913e-01  2.278e+01  2.333e-01  1.000e-09  1.000e-09  0.5000  2.093e-17  0.000e+00  2.278e+01  8.756e-02  9.315e-02  9.537e-02  1.088e-01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  3.804e-01  5.120e-01  1.442e+01  2.887e-01  1.000e-09  1.000e-09  0.2500  2.705e-17  0.000e+00  1.442e+01  6.323e-02  5.942e-02  8.230e-02  1.357e-01
