*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  2.719e+02  2.719e+02  1.928e+04  1.054e+00  1.000e-09  1.000e-09  0.0039  0.000e+00  0.000e+00  3.172e+02 -8.025e+01 -2.719e+02 -8.025e+01 -2.719e+02
   1  2.557e+02  1.417e+03  3.008e+02  2.759e+02  1.000e-09  1.000e-09  0.0156  2.717e-17  0.000e+00  3.008e+02  4.453e+00  1.616e+01  5.438e+00  7.916e+01
   2  2.330e+02  9.138e+02  2.866e+02  2.654e+02  1.000e-09  1.000e-09  0.0312  6.286e-17  0.000e+00  2.866e+02  8.524e+00  2.267e+01  9.581e+00  5.650e+01
   3  2.230e+02  7.855e+02  2.776e+02  2.467e+02  1.000e-09  1.000e-09  0.0312  5.633e-17  0.000e+00  2.776e+02  7.866e+00  1.003e+01  8.436e+00  2.827e+01
   4  1.924e+02  6.530e+02  2.594e+02  2.403e+02  1.000e-09  1.000e-09  0.0625  7.354e-17  0.000e+00  2.594e+02  1.543e+01  3.060e+01  1.745e+01  6.298e+01
   5  1.777e+02  5.323e+02  2.420e+02  2.208e+02  1.000e-09  1.000e-09  0.0625  4.713e-17  0.000e+00  2.420e+02  1.398e+01  1.469e+01  1.557e+01  4.017e+01
   6  1.628e+02  4.798e+02  2.269e+02  2.083e+02  1.000e-09  1.000e-09  0.0625  4.822e-17  0.000e+00  2.269e+02  1.313e+01  1.492e+01  1.444e+01  3.595e+01
   7  1.563e+02  4.487e+02  2.199e+02  1.903e+02  1.000e-09  1.000e-09  0.0312  3.741e-17  0.000e+00  2.199e+02  5.966e+00  6.505e+00  6.259e+00  1.588e+01
   8  1.500e+02  4.183e+02  2.130e+02  1.789e+02  1.000e-09  1.000e-09  0.0312  5.477e-17  0.000e+00  2.130e+02  5.606e+00  6.275e+00  5.875e+00  1.487e+01
   9  1.442e+02  3.926e+02  2.063e+02  1.700e+02  1.000e-09  1.000e-09  0.0312  4.457e-17  0.000e+00  2.063e+02  5.320e+00  5.820e+00  5.573e+00  1.390e+01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.302e+02  3.535e+02  1.942e+02  1.612e+02  1.000e-09  1.000e-09  0.0625  4.880e-17  0.000e+00  1.942e+02  1.009e+01  1.403e+01  1.097e+01  2.804e+01
  11  1.193e+02  3.208e+02  1.823e+02  1.481e+02  1.000e-09  1.000e-09  0.0625  5.260e-17  0.000e+00  1.823e+02  9.262e+00  1.083e+01  1.008e+01  2.399e+01
  12  1.112e+02  2.820e+02  1.710e+02  1.281e+02  1.000e-09  1.000e-09  0.0625  4.928e-17  0.000e+00  1.710e+02  8.003e+00  8.114e+00  8.704e+00  1.933e+01
  13  1.038e+02  2.540e+02  1.602e+02  1.147e+02  1.000e-09  1.000e-09  0.0625  6.495e-17  0.000e+00  1.602e+02  7.158e+00  7.459e+00  7.793e+00  1.763e+01
  14  8.905e+01  2.117e+02  1.408e+02  1.032e+02  1.000e-09  1.000e-09  0.1250  5.268e-17  0.000e+00  1.408e+02  1.282e+01  1.471e+01  1.493e+01  3.163e+01
  15  7.807e+01  1.847e+02  1.430e+02  8.140e+01  1.000e-09  1.000e-09  0.1250  6.874e-17  0.000e+00  1.430e+02  1.005e+01  1.098e+01  9.847e+00  9.339e+00
  16  7.418e+01  1.482e+02  1.336e+02  6.625e+01  1.000e-09  1.000e-09  0.0625  7.251e-17  0.000e+00  1.336e+02  4.098e+00  3.894e+00  4.424e+00  9.103e+00
  17  6.757e+01  1.275e+02  1.188e+02  5.896e+01  1.000e-09  1.000e-09  0.1250  6.908e-17  0.000e+00  1.188e+02  7.185e+00  6.604e+00  8.118e+00  1.407e+01
  18  6.410e+01  1.180e+02  1.304e+02  4.906e+01  1.000e-09  1.000e-09  0.0625  6.114e-17  0.000e+00  1.304e+02  3.009e+00  3.469e+00  2.709e+00 -1.324e+00
  19  6.142e+01  1.125e+02  1.686e+02  4.229e+01  1.000e-09  1.000e-09  0.0625  7.518e-17  0.000e+00  1.686e+02  2.586e+00  2.687e+00  1.861e+00 -8.916e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  5.907e+01  9.581e+01  1.836e+02  3.784e+01  1.000e-09  1.000e-09  0.0625  6.397e-17  0.000e+00  1.836e+02  2.309e+00  2.347e+00  2.122e+00 -6.481e-01
  21  5.618e+01  1.016e+02  4.535e+02  3.183e+01  1.000e-09  1.000e-09  0.1250  6.515e-17  0.000e+00  4.535e+02  3.660e+00  2.888e+00  2.839e-01 -2.412e+01
  22  5.594e+01  7.889e+01  4.587e+02  9.151e+00  1.000e-09  1.000e-09  0.0625  7.442e-17  0.000e+00  4.587e+02  4.371e-01  2.382e-01  4.210e-01 -1.931e-02
  23  5.596e+01  6.705e+01  4.433e+02  4.947e-02  1.000e-09  1.000e-09  0.0312  6.284e-17  0.000e+00  4.433e+02 -3.671e-02 -1.375e-02 -2.473e-02  3.695e-01
  24  5.657e+01  6.241e+01  4.672e+02  5.590e+00  1.000e-09  1.000e-09  0.0625  5.679e-17  0.000e+00  4.672e+02 -5.161e-01 -6.138e-01 -5.348e-01 -9.120e-01
  25  5.810e+01  6.079e+01  4.306e+02  1.671e+01  1.000e-09  1.000e-09  0.0625  7.214e-17  0.000e+00  4.306e+02 -1.242e+00 -1.525e+00 -1.228e+00 -1.296e+00
  26  6.267e+01  6.394e+01  4.068e+02  1.267e+01  1.000e-09  1.000e-09  0.1250  6.104e-17  0.000e+00  4.068e+02 -2.118e+00 -4.575e+00 -2.109e+00 -4.501e+00
  27  4.949e+01  5.506e+01  1.170e+02  3.634e+01  1.000e-09  1.000e-09  0.5000  3.116e-17  0.000e+00  1.170e+02  1.248e+01  1.318e+01  1.938e+01  2.699e+01
  28  4.613e+01  5.813e+01  1.075e+02  2.356e+01  1.000e-09  1.000e-09  0.2500  3.048e-17  0.000e+00  1.075e+02  4.988e+00  3.363e+00  5.252e+00  4.421e+00
  29  4.267e+01  5.016e+01  7.981e+01  1.776e+01  1.000e-09  1.000e-09  0.5000  2.315e-17  0.000e+00  7.981e+01  6.205e+00  3.459e+00  7.503e+00  6.055e+00
