*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.653e+02  6.588e+02  1.947e+00  6.863e+02  1.000e-01  1.000e-01  1.0000  0.000e+00  0.000e+00  7.193e-01  3.237e+02  5.190e+02  2.928e+02  4.880e+02
   1  1.372e+02  2.203e+02  2.421e-01  1.338e+02  2.000e-01  2.000e-01  1.0000  0.000e+00  0.000e+00  2.421e-01  2.325e+01  2.806e+01  1.869e+02  1.918e+02
   2  2.076e+02  2.270e+02  4.221e-01  3.717e+01  4.000e-01  4.000e-01  1.0000  0.000e+00  0.000e+00  1.131e-01 -8.806e+01 -7.035e+01 -6.594e+01 -4.824e+01
   3  5.930e+02  6.023e+02  2.669e-01  5.181e+01  8.000e-01  8.000e-01  1.0000  0.000e+00  0.000e+00  1.083e-01 -1.585e+02 -3.854e+02 -1.581e+02 -3.850e+02
   4  4.753e+02  5.265e+02  2.989e-01  2.217e+02  1.600e-01  1.600e-01  1.0000  0.000e+00  0.000e+00  2.727e-02  1.423e+02  1.177e+02  2.945e+02  2.698e+02
   5  4.015e+02  4.092e+02  1.942e-01  8.786e+01  3.200e-01  3.200e-01  1.0000  0.000e+00  0.000e+00  1.878e-03  7.816e+01  7.376e+01  1.821e+02  1.777e+02
   6  3.414e+02  4.585e+02  3.517e-01  1.270e+02  6.400e-02  6.400e-02  0.5000  2.346e-17  0.000e+00  1.279e-03  6.185e+01  6.012e+01  8.931e+01  1.150e+02
   7  2.886e+02  4.024e+02  1.884e-01  5.610e+01  1.280e-01  1.280e-01  1.0000  0.000e+00  0.000e+00  1.867e-03  5.455e+01  5.280e+01  1.870e+01  1.694e+01
   8  2.655e+02  2.792e+02  8.801e-02  2.372e+01  2.560e-01  2.560e-01  1.0000  0.000e+00  0.000e+00  4.470e-04  2.346e+01  2.305e+01  6.673e+01  6.632e+01
   9  2.535e+02  4.095e+02  3.677e-01  9.734e+01  5.120e-02  5.120e-02  0.1250  4.900e-17  0.000e+00  5.215e-04  1.211e+01  1.203e+01  9.320e+00 -1.028e+01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  2.420e+02  3.860e+02  3.684e-01  9.301e+01  5.120e-02  5.120e-02  0.1250  4.032e-17  0.000e+00  5.868e-04  1.157e+01  1.149e+01  9.569e+00 -4.526e+00
  11  2.203e+02  4.297e+02  3.871e-01  8.890e+01  5.120e-02  5.120e-02  0.2500  4.256e-17  0.000e+00  1.004e-03  2.202e+01  2.171e+01  2.668e-01 -6.532e+01
  12  1.998e+02  3.276e+02  2.062e-01  4.228e+01  1.024e-01  1.024e-01  0.5000  2.859e-17  0.000e+00  1.226e-03  2.092e+01  2.052e+01  9.348e+00 -2.624e+00
  13  1.808e+02  2.245e+02  1.071e-01  1.966e+01  2.048e-01  2.048e-01  1.0000  0.000e+00  0.000e+00  8.392e-04  1.946e+01  1.900e+01  3.963e+01  3.918e+01
  14  1.719e+02  1.778e+02  5.189e-02  9.017e+00  4.096e-01  4.096e-01  1.0000  0.000e+00  0.000e+00  2.266e-04  8.973e+00  8.855e+00  2.494e+01  2.482e+01
  15  1.669e+02  2.322e+02  2.363e-01  4.050e+01  8.192e-02  8.192e-02  0.1250  2.423e-17  0.000e+00  2.609e-04  5.050e+00  5.025e+00  3.978e+00 -3.554e+00
  16  1.620e+02  2.235e+02  2.367e-01  3.938e+01  8.192e-02  8.192e-02  0.1250  4.404e-17  0.000e+00  2.911e-04  4.911e+00  4.886e+00  4.114e+00 -1.484e+00
  17  1.526e+02  2.411e+02  2.444e-01  3.830e+01  8.192e-02  8.192e-02  0.2500  4.228e-17  0.000e+00  4.801e-04  9.528e+00  9.430e+00  8.178e-01 -2.541e+01
  18  1.435e+02  1.957e+02  1.267e-01  1.851e+01  1.638e-01  1.638e-01  0.5000  2.174e-17  0.000e+00  5.664e-04  9.206e+00  9.084e+00  5.233e+00  1.138e+00
  19  1.348e+02  1.521e+02  6.487e-02  8.856e+00  3.277e-01  3.277e-01  1.0000  0.000e+00  0.000e+00  3.756e-04  8.812e+00  8.672e+00  1.760e+01  1.746e+01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
