*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.390e+00  4.009e+00  3.075e+00  4.058e+00  1.000e-09  1.000e-09  0.1250  2.760e+00  0.000e+00  3.146e-01  4.756e-01  6.144e-01  5.107e-01  8.953e-01
   1  1.023e+00  3.359e+00  2.675e+00  3.728e+00  1.000e-09  1.000e-09  0.1250  2.415e+00  0.000e+00  2.596e-01  4.371e-01  3.668e-01  4.808e-01  7.161e-01
   2  9.538e-01  1.977e+00  2.343e+00  1.579e+00  1.000e-09  1.000e-09  0.1250  2.113e+00  0.000e+00  2.296e-01  1.848e-01  6.911e-02  2.029e-01  2.140e-01
   3  9.656e-01  1.734e+00  1.765e+00  1.444e+00  1.000e-09  1.000e-09  0.2500  1.585e+00  0.000e+00  1.802e-01  3.154e-01 -1.173e-02  3.783e-01  2.399e-01
   4  8.025e-01  1.588e+00  1.328e+00  1.469e+00  1.000e-09  1.000e-09  0.2500  1.189e+00  0.000e+00  1.395e-01  3.212e-01  1.630e-01  3.857e-01  4.213e-01
   5  4.903e-01  9.123e-01  6.807e-01  1.158e+00  1.000e-09  1.000e-09  0.5000  5.944e-01  0.000e+00  8.630e-02  4.336e-01  3.122e-01  6.344e-01  7.137e-01
   6  2.896e-01  4.901e-01  3.488e-01  5.468e-01  1.000e-09  1.000e-09  0.5000  2.972e-01  0.000e+00  5.160e-02  2.052e-01  2.007e-01  3.006e-01  3.915e-01
   7  3.033e-01  3.114e-01  7.238e-02  1.868e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.076e-02  9.433e-02 -1.373e-02  2.211e-01  1.130e-01
   8  2.449e-01  3.720e-01  1.073e-01  2.660e-01  1.000e-09  1.000e-09  0.5000  1.735e-18  0.000e+00  1.383e-02  9.987e-02  5.841e-02  1.317e-01  1.221e-01
   9  1.862e-01  2.243e-01  6.441e-02  1.522e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  4.830e-03  7.640e-02  5.870e-02  1.474e-01  1.297e-01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.863e-01  2.171e-01  1.823e-02  4.373e-02  1.000e-09  1.000e-09  0.0020  3.463e-18  0.000e+00  4.820e-03  8.533e-05 -2.494e-05  8.545e-05  3.586e-05
  11  1.893e-01  2.128e-01  1.591e-02  3.835e-02  1.000e-09  1.000e-09  0.1250  3.036e-18  0.000e+00  4.178e-03  4.491e-03 -3.092e-03  4.941e-03  5.112e-04
