*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.098e+00  4.694e+00  1.680e+02  4.148e+00  1.000e-09  1.000e-09  0.5000  0.000e+00  0.000e+00  1.680e+02  1.564e+00  9.060e-01  1.270e+00  3.190e-01
   1  5.343e-01  1.649e+00  1.041e+02  2.194e+00  1.000e-09  1.000e-09  0.5000  1.735e-18  0.000e+00  1.041e+02  8.259e-01  5.639e-01  1.168e+00  1.247e+00
   2  4.605e-01  7.282e-01  5.002e+01  5.674e-01  1.000e-09  1.000e-09  0.5000  8.674e-19  0.000e+00  5.002e+01  2.116e-01  7.381e-02  3.564e-01  3.634e-01
   3  2.190e-01  4.770e-01  3.433e+01  5.295e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  3.433e+01  2.631e-01  2.415e-01  3.811e-01  3.594e-01
   4  2.189e-01  3.324e-01  3.019e+01  9.719e-02  1.000e-09  1.000e-09  0.1250  3.036e-18  0.000e+00  3.019e+01  1.138e-02  7.816e-05  1.332e-02  1.561e-02
   5  1.832e-01  2.263e-01  1.956e+01  9.470e-02  1.000e-09  1.000e-09  0.5000  1.735e-18  0.000e+00  1.956e+01  3.532e-02  3.573e-02  4.703e-02  5.916e-02
   6  1.854e-01  2.042e-01  1.710e+01  3.054e-02  1.000e-09  1.000e-09  0.1250  3.036e-18  0.000e+00  1.710e+01  3.565e-03 -2.159e-03  3.905e-03  5.582e-04
   7  1.757e-01  1.779e-01  1.512e+00  3.577e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.512e+00  1.721e-02  9.620e-03  3.962e-02  3.203e-02
   8  1.745e-01  1.833e-01  9.381e-01  1.939e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  9.381e-01  9.926e-03  1.238e-03  1.531e-02  6.618e-03
   9  1.732e-01  1.924e-01  1.303e+00  1.901e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.303e+00  9.675e-03  1.310e-03  4.297e-03 -4.068e-03
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.708e-01  1.772e-01  6.764e-01  1.699e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  6.764e-01  8.511e-03  2.346e-03  1.436e-02  8.193e-03
  11  1.678e-01  1.781e-01  7.687e-01  1.269e-02  1.000e-09  1.000e-09  0.5000  8.674e-19  0.000e+00  7.687e-01  4.762e-03  3.060e-03  4.142e-03  1.821e-03
  12  1.646e-01  1.663e-01  2.509e-01  6.420e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.509e-01  3.178e-03  3.194e-03  6.656e-03  6.671e-03
  13  1.646e-01  1.651e-01  1.602e-01  9.285e-05  1.000e-09  1.000e-09  0.5000  8.674e-19  0.000e+00  1.602e-01  3.701e-05  4.050e-05  1.893e-04  3.451e-04
  14  1.645e-01  1.647e-01  1.116e-01  2.341e-05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.116e-01  1.324e-05  2.155e-05  9.489e-05  1.032e-04
  15  1.645e-01  1.646e-01  7.727e-02  2.484e-05  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  7.727e-02  1.625e-05  2.064e-05  4.508e-05  4.946e-05
  16  1.645e-01  1.645e-01  6.439e-02  6.219e-05  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  6.439e-02  4.011e-05  4.273e-05  4.967e-05  5.228e-05
  17  1.645e-01  1.645e-01  7.607e-03  3.419e-05  1.000e-07  1.000e-07  1.0000  0.000e+00  0.000e+00  7.607e-03 -1.776e-06 -2.517e-06  1.928e-05  1.854e-05
  18  1.645e-01  1.645e-01  4.678e-04  1.202e-05  1.000e-06  1.000e-06  1.0000  0.000e+00  0.000e+00  4.678e-04 -2.477e-05 -2.349e-05 -2.345e-05 -2.217e-05
  19  1.645e-01  1.645e-01  5.821e-05  1.349e-05  1.000e-05  1.000e-05  1.0000  0.000e+00  0.000e+00  5.821e-05 -1.534e-05 -1.520e-05 -1.531e-05 -1.517e-05
*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  8.345e-01  4.399e+00  1.665e+02  4.148e+00  1.000e-09  1.000e-09  0.5000  3.038e+00  0.000e+00  1.634e+02  1.564e+00  1.170e+00  1.286e+00  6.147e-01
   1  3.626e-01  1.565e+00  1.123e+02  1.277e+00  1.000e-09  1.000e-09  0.5000  1.373e+00  0.000e+00  1.109e+02  4.784e-01  4.719e-01  7.685e-01  1.052e+00
