*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.522e+02  1.767e+02  4.666e-01  1.619e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.405e-02  7.147e+01  8.473e+01  1.490e+02  1.623e+02
   1  1.454e+02  1.503e+02  3.727e-02  1.613e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  9.624e-03  5.457e+00  6.748e+00  1.282e+01  1.411e+01
   2  1.478e+02  1.480e+02  1.607e-02  1.880e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  1.063e-03 -2.391e+00 -2.357e+00 -2.056e-01 -1.712e-01
   3  1.479e+02  1.479e+02  1.608e-03  1.425e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.149e-04 -2.395e-01 -1.348e-01 -1.313e-01 -2.659e-02
   4  1.479e+02  1.480e+02  5.442e-04  1.787e-01  1.000e-09  1.000e-09  0.5000  1.355e-20  0.000e+00  9.176e-05  6.494e-02 -1.958e-02  9.812e-02  4.677e-02
   5  1.480e+02  1.481e+02  3.108e-04  3.267e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  3.108e-04  2.703e-03 -7.926e-02 -5.630e-02 -1.383e-01
   6  1.478e+02  1.486e+02  2.209e-03  7.514e-01  1.000e-09  1.000e-09  0.5000  1.355e-20  0.000e+00  5.332e-04  2.700e-01  2.312e-01  1.020e-01 -1.048e-01
   7  1.479e+02  1.479e+02  8.444e-04  1.020e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  3.307e-05 -1.257e-01 -1.363e-01  2.521e-01  2.416e-01
   8  1.479e+02  1.479e+02  9.315e-05  3.729e-02  1.000e-09  1.000e-09  0.5000  1.694e-21  0.000e+00  3.153e-05  1.279e-02  8.418e-03  1.325e-02  9.340e-03
*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.764e+02  2.763e+02  4.029e-01  1.619e+02  1.000e-09  1.000e-09  0.5000  4.794e-02  0.000e+00  4.987e-02  5.834e+01  6.049e+01  5.946e+01  6.273e+01
   1  1.431e+02  1.699e+02  1.810e-01  6.266e+01  1.000e-09  1.000e-09  1.0000  5.247e-02  0.000e+00  1.704e-04  2.607e+01  3.335e+01  4.913e+01  5.641e+01
   2  1.464e+02  1.482e+02  2.646e-02  7.895e-01  1.000e-09  1.000e-09  1.0000  6.974e-03  0.000e+00  1.207e-06 -3.900e+00 -3.341e+00  7.755e+00  8.315e+00
   3  1.479e+02  1.485e+02  8.964e-03  7.056e-01  1.000e-09  1.000e-09  1.0000  5.321e-03  0.000e+00  4.676e-09 -1.334e+00 -1.452e+00 -1.123e+00 -1.241e+00
