*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  2.272e+02  3.837e+02  3.132e-01  1.619e+02  1.000e-09  1.000e-09  0.0625  0.000e+00  0.000e+00  1.533e-01  9.766e+00  9.728e+00  6.363e+00 -4.471e+01
   1  2.184e+02  3.861e+02  2.939e-01  1.465e+02  1.000e-09  1.000e-09  0.0625  3.970e-22  0.000e+00  2.791e-01  8.837e+00  8.793e+00  4.114e+00 -6.678e+01
   2  2.104e+02  3.249e+02  3.812e-01  1.325e+02  1.000e-09  1.000e-09  0.0625  0.000e+00  0.000e+00  3.812e-01  7.988e+00  7.943e+00  6.072e+00 -2.272e+01
   3  1.967e+02  3.436e+02  7.513e-01  1.196e+02  1.000e-09  1.000e-09  0.1250  3.706e-22  0.000e+00  7.513e-01  1.390e+01  1.377e+01  4.852e+00 -5.860e+01
   4  1.855e+02  2.817e+02  9.843e-01  9.719e+01  1.000e-09  1.000e-09  0.1250  1.158e-23  0.000e+00  9.843e-01  1.129e+01  1.116e+01  8.437e+00 -1.162e+01
   5  1.689e+02  2.536e+02  1.733e+00  7.860e+01  1.000e-09  1.000e-09  0.2500  2.541e-21  0.000e+00  1.733e+00  1.683e+01  1.656e+01  7.681e+00 -2.002e+01
   6  1.515e+02  2.266e+02  3.074e+00  5.068e+01  1.000e-09  1.000e-09  0.5000  5.421e-20  0.000e+00  3.074e+00  1.783e+01  1.749e+01  1.440e+00 -1.530e+01
   7  1.452e+02  1.761e+02  2.528e+00  1.707e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.528e+00  5.381e+00  6.225e+00  1.205e+01  1.290e+01
   8  1.481e+02  1.503e+02  3.553e-01  2.357e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  3.553e-01 -2.845e+00 -2.852e+00  1.043e+01  1.043e+01
   9  1.478e+02  1.479e+02  6.184e-03  4.369e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  6.184e-03  2.465e-01  2.470e-01  1.313e+00  1.314e+00
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  1.478e+02  1.478e+02  3.513e-03  2.298e-01  1.000e-09  1.000e-09  0.5000  1.355e-20  0.000e+00  3.513e-03  6.292e-02  4.223e-02  6.966e-02  5.572e-02
  11  1.479e+02  1.479e+02  6.096e-04  6.100e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  5.234e-04 -9.076e-02 -9.979e-02 -8.321e-02 -9.224e-02
  12  1.480e+02  1.480e+02  3.588e-04  4.796e-02  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  2.838e-04 -5.344e-02 -7.023e-02 -5.314e-02 -6.993e-02
  13  1.479e+02  1.481e+02  6.946e-04  2.201e-01  1.000e-09  1.000e-09  0.2500  9.926e-24  0.000e+00  3.622e-04  4.774e-02  4.598e-02  3.754e-02  5.153e-03
  14  1.479e+02  1.480e+02  8.330e-05  4.788e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  8.330e-05 -9.153e-03 -3.156e-02  6.346e-02  4.106e-02
*** SOLVE (MultiShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  2.271e+02  3.867e+02  3.133e-01  1.619e+02  1.000e-09  1.000e-09  0.0625  3.332e-04  0.000e+00  1.560e-01  9.766e+00  9.772e+00  6.173e+00 -4.771e+01
   1  2.183e+02  3.857e+02  2.936e-01  1.463e+02  1.000e-09  1.000e-09  0.0625  6.214e-04  0.000e+00  2.838e-01  8.826e+00  8.831e+00  4.113e+00 -6.657e+01
   2  2.103e+02  3.245e+02  3.882e-01  1.324e+02  1.000e-09  1.000e-09  0.0625  8.688e-04  0.000e+00  3.873e-01  7.982e+00  7.986e+00  6.073e+00 -2.255e+01
   3  1.964e+02  3.444e+02  7.720e-01  1.194e+02  1.000e-09  1.000e-09  0.1250  1.807e-03  0.000e+00  7.702e-01  1.388e+01  1.390e+01  4.681e+00 -5.965e+01
   4  1.851e+02  2.821e+02  1.013e+00  9.728e+01  1.000e-09  1.000e-09  0.1250  2.471e-03  0.000e+00  1.010e+00  1.130e+01  1.132e+01  8.415e+00 -1.173e+01
